rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.3329644276907,89.41749964285447,688195,腾景科技,bottom_area,2022-10-11,23.27,2022-10-11,22.99,1.2179208351457205,3.3492822966507316,32.122822556834954,False,0.3017,1.5108,5,5,5,100.0,20.292253478423152,38.77410468319559,6.782079164854279,1.2179208351457205,历史5/5次成功; 当前距低点1.22%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
2,89.71566539550881,85.71435456457664,002600,领益智造,bottom_area,2022-10-11,4.37,2022-10-10,4.3,1.6279069767441927,4.651162790697678,30.533117932148635,False,1.1574,0.2635,3,3,3,100.0,22.07517457824405,38.381201044386415,6.3720930232558075,1.6279069767441927,历史3/3次成功; 当前距低点1.63%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
3,89.17596732784682,84.9937704918033,002636,金安国纪,bottom_area,2022-10-11,7.43,2022-10-11,7.32,1.5027322404371506,2.049180327868845,27.236580516898606,False,0.5413,0.2081,1,1,1,100.0,69.0,69.0,6.49726775956285,1.5027322404371506,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
4,88.22218303267164,83.7102337538905,300484,蓝海华腾,bottom_area,2022-10-11,10.36,2022-10-10,10.23,1.2707722385141642,4.887585532746823,32.91803278688524,False,0.9747,1.0716,2,2,2,100.0,23.589217514531214,28.708133971291865,6.729227761485836,1.2707722385141642,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
5,88.1680004921963,84.29855846432562,002222,福晶科技,bottom_area,2022-10-11,13.42,2022-10-11,13.2,1.6666666666666714,3.1818181818181817,28.955866523143165,False,1.0542,1.0283,3,3,3,100.0,14.938486367342122,25.783972125435533,6.333333333333329,1.6666666666666714,历史3/3次成功; 当前距低点1.67%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
6,87.95957365943487,84.31558955895588,002202,金风科技,bottom_area,2022-10-11,11.31,2022-10-10,11.11,1.80018001800181,3.78037803780378,29.50507614213198,False,1.435,0.481,1,1,1,100.0,55.172413793103445,55.172413793103445,6.199819981998191,1.80018001800181,历史1/1次成功; 当前距低点1.80%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
7,87.14103894277135,82.91530463546152,300342,天银机电,bottom_area,2022-10-11,7.88,2022-10-10,7.77,1.4157014157014198,3.8610038610038706,31.8421052631579,False,0.5102,0.5571,2,2,2,100.0,21.09195625409008,26.68539325842696,6.58429858429858,1.4157014157014198,历史2/2次成功; 当前距低点1.42%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
8,86.60081733637435,83.55065326633165,000762,西藏矿业,bottom_area,2022-10-11,40.65,2022-10-10,39.8,2.135678391959803,5.904522613065331,28.223624887285855,False,1.321,3.0378,1,1,1,100.0,71.15671641791043,71.15671641791043,5.864321608040197,2.135678391959803,历史1/1次成功; 当前距低点2.14%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
9,85.79780069901207,82.1120821908506,688199,久日新材,bottom_area,2022-10-11,32.58,2022-10-11,32.03,1.7171401810802283,2.497658445207609,32.4831365935919,False,0.7421,0.3853,1,1,1,100.0,37.135278514588855,37.135278514588855,6.282859818919773,1.7171401810802283,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
10,85.74578261827996,81.9739111509425,000620,盈新发展,bottom_area,2022-10-11,3.06,2022-10-11,3.01,1.6611295681063212,5.315614617940204,32.662192393736014,False,-5.5556,10.7034,3,3,3,100.0,35.0606804635748,58.4192439862543,6.338870431893678,1.6611295681063212,历史3/3次成功; 当前距低点1.66%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
11,85.31110192810907,80.84410448279407,300604,长川科技,bottom_area,2022-10-11,45.39,2022-10-11,44.85,1.2040133779264195,6.6666666666666705,28.21702944942381,False,-0.5042,4.0503,2,2,2,100.0,29.834704217560827,36.28082648300379,6.795986622073581,1.2040133779264195,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
