rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.96680731495341,85.42568395229411,302132,中航成飞,bottom_area,2025-09-16,81.78,2025-09-09,79.5,2.8679245283018884,6.163522012578623,27.595628415300546,False,0.2083,1.8876,4,4,4,100.0,19.056730520550555,28.81165919282512,7.132075471698113,2.8679245283018884,历史4/4次成功; 当前距低点2.87%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,87.20448740097657,81.26404986906341,600316,洪都航空,bottom_area,2025-09-16,34.35,2025-09-16,33.91,1.2975523444411823,1.7988793866116384,28.565409732462616,False,0.1166,1.5683,4,5,4,80.0,20.76596351822217,30.462519936204153,8.702447655558817,1.2975523444411823,历史4/5次成功; 当前距低点1.30%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
3,86.19554075353071,80.26507461850541,002041,登海种业,bottom_area,2025-09-16,9.65,2025-06-23,9.53,1.2591815320042077,7.345225603357829,29.719764011799416,True,-0.3099,0.7377,2,2,2,100.0,18.2043468358871,21.395106715252467,8.740818467995792,1.2591815320042077,历史2/2次成功; 当前距低点1.26%; 最新日涨幅-0.31%; 状态bottom_area; 底部已确认
4,85.22843866192241,82.32100283291595,002826,易明医药,bottom_area,2025-09-16,19.48,2025-09-03,18.88,3.1779661016949228,7.786016949152555,29.631010063361906,True,1.0373,2.5864,2,2,2,100.0,30.305191100969765,50.0,6.822033898305077,3.1779661016949228,历史2/2次成功; 当前距低点3.18%; 最新日涨幅1.04%; 状态bottom_area; 底部已确认
5,84.76038740680372,83.62011313675706,300510,金冠股份,bottom_area,2025-09-16,4.62,2025-09-03,4.43,4.288939051918745,6.997742663656896,30.01579778830964,False,2.439,4.3098,4,4,4,100.0,26.76824825339677,40.000000000000014,5.711060948081256,4.288939051918745,历史4/4次成功; 当前距低点4.29%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
6,79.56273396963678,78.55134328358209,301009,可靠股份,bottom_area,2025-09-16,13.98,2025-09-05,13.4,4.328358208955224,5.522388059701494,27.762803234501348,False,1.5251,2.737,1,1,1,100.0,53.96648044692738,53.96648044692738,5.6716417910447765,4.328358208955224,历史1/1次成功; 当前距低点4.33%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
7,78.53030087234927,76.52547999080113,300645,正元智慧,bottom_area,2025-09-16,18.78,2025-09-05,18.12,3.6423841059602653,5.242825607064013,27.3164861612515,False,1.6234,3.6137,1,1,1,100.0,30.699547055863096,30.699547055863096,6.357615894039735,3.6423841059602653,历史1/1次成功; 当前距低点3.64%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
8,77.52023794877921,75.02439174860227,300218,安利股份,bottom_area,2025-09-16,20.14,2025-09-16,19.5,3.2820512820512846,4.102564102564106,27.102803738317753,False,2.4936,5.4909,1,1,1,100.0,18.212197159565576,18.212197159565576,6.717948717948715,3.2820512820512846,历史1/1次成功; 当前距低点3.28%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
9,76.78368744207614,75.869712921135,300902,国安达,bottom_area,2025-09-16,23.16,2025-09-04,22.19,4.371338440739066,5.04731861198737,32.798304058146584,False,1.8022,4.0627,2,2,2,100.0,19.4428202474198,26.906779661016937,5.628661559260935,4.371338440739066,历史2/2次成功; 当前距低点4.37%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
10,70.45032579525929,69.78999630331923,603280,南方路机,bottom_area,2025-09-16,42.91,2025-09-04,41.06,4.505601558694579,8.13443740867023,30.875420875420872,True,-0.9236,11.008,1,1,1,100.0,18.348214285714302,18.348214285714302,5.494398441305422,4.505601558694579,历史1/1次成功; 当前距低点4.51%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
11,67.05820479317454,63.436940737453426,605169,洪通燃气,bottom_area,2025-09-16,14.68,2025-09-05,14.38,2.0862308762169604,5.354659248956882,31.064237775647165,False,-2.0027,1.8425,2,4,2,50.0,22.06208137219406,26.09375,7.91376912378304,2.0862308762169604,历史2/4次成功; 当前距低点2.09%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
12,65.72053414561503,62.538738669450055,603839,安正时尚,bottom_area,2025-09-16,8.55,2025-09-15,8.35,2.3952095808383365,2.6347305389221636,27.892918825561313,False,1.5439,5.0195,1,2,1,50.0,31.88073394495412,31.88073394495412,7.604790419161664,2.3952095808383365,历史1/2次成功; 当前距低点2.40%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
13,63.1404466501241,57.569230769230785,601900,南方传媒,bottom_area,2025-09-16,13.02,2025-09-16,13.0,0.15384615384615058,0.9230769230769171,27.697441601779754,False,-0.6865,1.0066,1,2,1,50.0,39.999999999999986,39.999999999999986,9.84615384615385,0.15384615384615058,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
14,61.77533866626427,57.70557692522228,601669,中国电建,bottom_area,2025-09-16,5.7,2025-09-10,5.62,1.4234875444839872,4.448398576512456,28.31632653061224,False,-1.0417,1.8047,1,2,1,50.0,16.457680250783696,16.457680250783696,8.576512455516013,1.4234875444839872,历史1/2次成功; 当前距低点1.42%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
