rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.79516292369378,76.69473547165346,002279,久其软件,bottom_area,2022-11-25,6.03,2022-11-23,5.95,1.3445378151260516,5.042016806722685,27.261613691931537,False,-0.495,7.391,1,1,1,100.0,25.915492957746476,25.915492957746476,18.65546218487395,1.3445378151260516,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
2,88.95588725050597,74.56854453937876,002322,理工能科,bottom_area,2022-11-25,9.35,2022-11-25,9.32,0.3218884120171605,2.5751072961373414,28.5823754789272,False,-1.6824,1.751,2,2,2,100.0,25.120699563321974,28.6908077994429,19.67811158798284,0.3218884120171605,历史2/2次成功; 当前距低点0.32%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
3,82.56698097851509,74.17723263996177,001296,长江材料,bottom_area,2022-11-25,21.52,2022-10-28,20.67,4.112239961296554,11.27237542331881,28.724137931034477,True,-1.0575,3.6125,2,2,2,100.0,20.446987912461964,20.884413309982484,15.887760038703448,4.112239961296554,历史2/2次成功; 当前距低点4.11%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
4,80.72927472527472,67.27439560439561,002474,榕基软件,bottom_area,2022-11-25,8.71,2022-11-25,8.71,0.0,6.544202066590109,27.41666666666666,False,-5.2231,22.1226,1,1,1,100.0,21.0989010989011,21.0989010989011,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
5,58.17311663479923,48.47759719566603,000681,视觉中国,bottom_area,2022-11-25,11.9,2022-11-25,11.9,0.0,2.6890756302521033,27.172582619339043,False,-2.1382,5.6551,1,3,1,33.33333333333333,20.93690248565965,20.93690248565965,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
