rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.5912809912274,87.00952766967949,601127,赛力斯,bottom_area,2025-12-09,124.0,2025-11-24,122.37,1.332025823322706,7.232164746261334,28.854651162790695,True,-1.2582,1.0497,9,9,9,100.0,22.02444380029711,42.19143576826195,6.667974176677294,1.332025823322706,历史9/9次成功; 当前距低点1.33%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
2,89.8472331475685,85.0996625550778,002176,江特电机,bottom_area,2025-12-09,9.45,2025-12-05,9.34,1.17773019271948,4.817987152034254,27.428127428127425,False,-2.0725,2.9733,5,5,5,100.0,19.058534378915056,39.01808785529715,6.82226980728052,1.17773019271948,历史5/5次成功; 当前距低点1.18%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
3,89.54285378240557,85.62533043180443,300358,楚天科技,bottom_area,2025-12-09,9.11,2025-12-05,8.96,1.6741071428571268,4.575892857142839,27.74193548387096,False,-1.8319,2.2175,4,4,4,100.0,27.96932643827245,38.205499276411004,6.325892857142873,1.6741071428571268,历史4/4次成功; 当前距低点1.67%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
4,88.7982421976825,85.18203302491146,002759,天际股份,bottom_area,2025-12-09,34.9,2025-12-08,34.27,1.8383425736795898,7.090749927049897,27.33248515691263,True,-4.1209,13.7868,5,5,5,100.0,28.62072092957485,72.99787384833452,6.16165742632041,1.8383425736795898,历史5/5次成功; 当前距低点1.84%; 最新日涨幅-4.12%; 状态bottom_area; 底部已确认
5,87.1141905759993,85.09449573823322,002459,晶澳科技,bottom_area,2025-12-09,11.46,2025-12-05,11.15,2.7802690582959686,3.4080717488789145,27.12418300653595,False,0.3503,1.2624,6,6,6,100.0,16.2016623180001,26.683937823834192,5.219730941704031,2.7802690582959686,历史6/6次成功; 当前距低点2.78%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
6,86.2336145575942,83.63127191783943,300598,诚迈科技,bottom_area,2025-12-09,46.38,2025-12-05,45.29,2.4067122985206524,4.52638551556636,29.234375,False,-1.2981,2.9467,5,5,5,100.0,26.22890300250812,45.24950099800398,5.593287701479348,2.4067122985206524,历史5/5次成功; 当前距低点2.41%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
7,83.25151040427093,81.06387947393972,000803,山高环能,bottom_area,2025-12-09,6.67,2025-12-05,6.5,2.615384615384614,3.8461538461538463,32.22106360792492,False,0.0,2.316,2,2,2,100.0,25.843851596863644,36.1111111111111,5.384615384615386,2.615384615384614,历史2/2次成功; 当前距低点2.62%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,80.55386156157749,81.36880726650318,000619,海螺新材,bottom_area,2025-12-09,6.47,2025-11-21,6.19,4.523424878836823,7.108239095315015,27.85547785547785,True,-1.372,2.6008,4,4,4,100.0,30.81836553898465,43.133047210300425,3.4765751211631772,4.523424878836823,历史4/4次成功; 当前距低点4.52%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
9,80.43005288256781,80.85420609486876,002104,恒宝股份,bottom_area,2025-12-09,18.3,2025-12-04,17.55,4.273504273504273,7.578347578347569,27.027027027027028,True,-1.9818,4.1016,4,4,4,100.0,24.988149669131648,43.85245901639344,3.7264957264957266,4.273504273504273,历史4/4次成功; 当前距低点4.27%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
10,80.09349980737335,74.4288880626103,000661,长春高新,bottom_area,2025-12-09,96.19,2025-12-09,96.01,0.1874804707842856,3.291323820435368,32.27763278549764,False,-3.0343,1.8788,3,3,3,100.0,16.270664172034742,25.03526756324649,7.812519529215714,0.1874804707842856,历史3/3次成功; 当前距低点0.19%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
11,78.7372385028637,78.60427201899456,300768,迪普科技,bottom_area,2025-12-09,19.39,2025-12-05,18.66,3.9121114683815668,6.216505894962488,27.05238467552775,False,-0.5641,1.8038,3,3,3,100.0,34.32196863927173,47.28781110402041,4.087888531618433,3.9121114683815668,历史3/3次成功; 当前距低点3.91%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
12,77.78710786887575,76.55682043618015,603178,圣龙股份,bottom_area,2025-12-09,18.22,2025-12-05,17.66,3.1710079275198115,4.0203850509626315,28.182187881252542,False,-0.3282,0.7652,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,4.8289920724801885,3.1710079275198115,历史6/7次成功; 当前距低点3.17%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
13,76.34747471499996,74.58551169966967,603197,保隆科技,bottom_area,2025-12-09,35.05,2025-11-21,34.1,2.7859237536656765,5.014662756598243,27.431368376250266,False,-1.4342,0.8116,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,5.214076246334323,2.7859237536656765,历史5/6次成功; 当前距低点2.79%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
14,75.79434012236331,71.18413911029894,688050,爱博医疗,bottom_area,2025-12-09,60.07,2025-11-21,59.63,0.7378836156297128,3.5552574207613574,28.86794703566742,False,-1.8304,1.0448,2,2,2,100.0,12.024267494272554,12.90770757525636,7.262116384370287,0.7378836156297128,历史2/2次成功; 当前距低点0.74%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
15,75.45901954736874,73.72529838105667,300035,中科电气,bottom_area,2025-12-09,20.99,2025-12-05,20.42,2.791380999020552,5.729676787463261,29.097222222222218,False,-2.1901,3.4599,1,1,1,100.0,27.686274509803933,27.686274509803933,5.208619000979448,2.791380999020552,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
16,74.78213005248405,73.16165941660672,003038,鑫铂股份,bottom_area,2025-12-09,15.82,2025-11-24,15.38,2.86085825747724,5.7867360208062335,28.76331635016211,False,-1.9219,1.7505,1,1,1,100.0,25.507614213197975,25.507614213197975,5.13914174252276,2.86085825747724,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
17,74.76425213854215,69.95472567003898,688190,云路股份,bottom_area,2025-12-09,94.31,2025-12-05,93.8,0.543710021321967,3.7100213219616247,27.73497688751927,False,-1.7809,0.4559,1,1,1,100.0,19.70099203576919,19.70099203576919,7.456289978678034,0.543710021321967,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
18,74.69145033699863,69.29733966099819,301177,迪阿股份,bottom_area,2025-12-09,28.89,2025-12-09,28.86,0.10395010395010788,1.593901593901597,30.070268960504006,False,-1.6008,0.2321,1,1,1,100.0,10.776053215077603,10.776053215077603,7.896049896049892,0.10395010395010788,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
19,73.13918439069141,72.65231733059039,300612,宣亚国际,bottom_area,2025-12-09,17.31,2025-12-05,16.7,3.6526946107784397,7.544910179640728,28.418345477925417,True,-2.4789,10.7741,4,5,4,80.0,16.615381952501274,25.592417061611382,4.34730538922156,3.6526946107784397,历史4/5次成功; 当前距低点3.65%; 最新日涨幅-2.48%; 状态bottom_area; 底部已确认
20,72.43236857973318,70.5859778777538,688337,普源精电,bottom_area,2025-12-09,36.7,2025-12-04,35.75,2.6573426573426655,5.398601398601397,28.499999999999996,False,-1.6613,0.6506,4,6,4,66.66666666666666,31.387378870045207,54.46153846153845,5.342657342657335,2.6573426573426655,历史4/6次成功; 当前距低点2.66%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
21,71.57492213081919,67.50210598801303,000998,隆平高科,bottom_area,2025-12-09,9.52,2025-12-09,9.43,0.9544008483563081,1.2725344644750902,27.40569668976136,False,-0.3141,1.3591,1,1,1,100.0,11.549139367018313,11.549139367018313,7.0455991516436915,0.9544008483563081,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
22,71.35616349218581,66.0705217520239,600383,金地集团,bottom_area,2025-12-09,3.14,2025-12-09,3.14,0.0,2.866242038216556,31.140350877192972,False,-3.0864,2.4159,3,4,3,75.0,18.793127699053183,32.594936708860764,8.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
23,71.24328350994705,71.67587463678716,603173,福斯达,bottom_area,2025-12-09,38.44,2025-11-24,36.85,4.314789687924006,6.1058344640434195,32.86573146292585,False,-0.1818,3.6199,1,1,1,100.0,35.34190927555856,35.34190927555856,3.685210312075994,4.314789687924006,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
