rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.58495741286268,83.8207138718079,000532,华金资本,bottom_area,2024-09-03,10.45,2024-09-03,10.28,1.653696498054474,2.1400778210116793,27.50352609308886,False,0.0,2.7827,2,2,2,100.0,28.877106921355356,32.044198895027606,18.346303501945528,1.653696498054474,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,95.10249425319348,83.6594236605443,002219,新里程,bottom_area,2024-09-03,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,0.578,0.6547,2,2,2,100.0,34.81175156302061,45.685279187817265,17.041420118343193,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.58%; 状态bottom_area; 底部已确认
3,94.51658969112299,80.77979519869561,301333,诺思格,bottom_area,2024-09-03,38.2,2024-08-29,37.68,1.380042462845019,6.661358811040334,28.744326777609686,False,0.7916,1.8802,1,1,1,100.0,25.840279645065877,25.840279645065877,18.61995753715498,1.380042462845019,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
4,92.29514869959375,79.1516681664443,001218,丽臣实业,bottom_area,2024-09-03,13.61,2024-08-30,13.4,1.5671641791044706,4.850746268656718,32.323232323232325,False,-0.1467,0.7037,2,2,2,100.0,25.18711018711019,29.999999999999993,18.43283582089553,1.5671641791044706,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
5,90.58169635013643,79.12495834180045,002674,兴业科技,bottom_area,2024-09-03,7.97,2024-08-21,7.77,2.5740025740025763,6.30630630630631,31.72231985940247,False,0.1256,0.4144,1,1,1,100.0,31.578947368421055,31.578947368421055,17.425997425997426,2.5740025740025763,历史1/1次成功; 当前距低点2.57%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
6,88.0468146502662,74.71526700771342,000517,荣安地产,bottom_area,2024-09-03,2.04,2024-09-03,2.02,0.990099009900991,2.970297029702973,28.36879432624113,False,-0.4878,1.0125,2,2,2,100.0,34.10049865746067,40.92827004219408,19.00990099009901,0.990099009900991,历史2/2次成功; 当前距低点0.99%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
7,86.44122910154029,76.1221069017999,301571,国科天成,bottom_area,2024-09-03,38.92,2024-09-03,37.78,3.017469560614083,5.346744309158273,32.919034090909086,False,-0.4858,32.4934,1,1,1,100.0,43.34374999999999,43.34374999999999,16.98253043938592,3.017469560614083,历史1/1次成功; 当前距低点3.02%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
8,84.75318466706867,76.95080250111857,002715,登云股份,bottom_area,2024-09-03,10.04,2024-08-23,9.59,4.692387904066729,7.4035453597497485,31.45103645461044,True,0.9045,1.0133,1,1,1,100.0,36.66369313113291,36.66369313113291,15.30761209593327,4.692387904066729,历史1/1次成功; 当前距低点4.69%; 最新日涨幅0.90%; 状态bottom_area; 底部已确认
9,82.90784173833748,74.25814320567629,603079,圣达生物,bottom_area,2024-09-03,10.8,2024-08-26,10.39,3.9461020211742066,6.929740134744936,28.83561643835616,False,0.3717,1.08,1,1,1,100.0,22.232558139534888,22.232558139534888,16.053897978825795,3.9461020211742066,历史1/1次成功; 当前距低点3.95%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
10,82.8658201654494,69.99286366160459,600011,华能国际,bottom_area,2024-09-03,6.84,2024-09-03,6.79,0.7363770250368162,2.7982326951399172,31.414141414141415,False,-1.4409,0.5535,1,1,1,100.0,22.267759562841515,22.267759562841515,19.263622974963184,0.7363770250368162,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
11,81.5922039353527,69.96692949601486,002357,富临运业,bottom_area,2024-09-03,5.2,2024-08-29,5.12,1.5625000000000013,4.492187499999991,28.08988764044944,False,0.3861,2.1814,2,4,2,50.0,28.276502666746573,31.941031941031934,18.4375,1.5625000000000013,历史2/4次成功; 当前距低点1.56%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
