rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.56018708425496,81.32755015100939,300411,金盾股份,bottom_area,2024-08-20,10.67,2024-08-20,10.55,1.1374407582938313,5.1184834123222664,27.739726027397253,False,-0.2804,6.5616,2,2,2,100.0,31.617823010318947,33.550488599348526,13.862559241706169,1.1374407582938313,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
2,89.1890387022901,80.17893129770994,002687,乔治白,bottom_area,2024-08-20,4.0,2024-07-25,3.93,1.7811704834605555,5.852417302798981,32.82051282051282,False,-0.9901,1.1698,1,1,1,100.0,64.00000000000001,64.00000000000001,13.218829516539444,1.7811704834605555,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
3,86.82600522750121,78.89151388817342,600343,航天动力,bottom_area,2024-08-20,7.83,2024-08-19,7.65,2.3529411764705843,2.875816993464049,31.696428571428566,False,0.1279,1.6425,3,4,3,75.0,31.78075145444273,55.72413793103447,12.647058823529415,2.3529411764705843,历史3/4次成功; 当前距低点2.35%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
4,86.38877342479178,77.67586483283849,002715,登云股份,bottom_area,2024-08-20,10.23,2024-08-20,10.05,1.7910447761194,4.4776119402985,28.162973552537522,False,-2.5714,2.3993,1,1,1,100.0,36.66369313113291,36.66369313113291,13.2089552238806,1.7910447761194,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
5,85.6183776882336,76.30177281547859,300675,建科院,bottom_area,2024-08-20,11.56,2024-08-20,11.41,1.3146362839614405,5.959684487291847,28.6875,False,-5.401,6.7302,2,2,2,100.0,16.98464270382078,18.698630136986296,13.685363716038559,1.3146362839614405,历史2/2次成功; 当前距低点1.31%; 最新日涨幅-5.40%; 状态bottom_area; 底部未确认
6,84.86992204733016,77.4184009553753,600210,紫江企业,bottom_area,2024-08-20,4.8,2024-07-25,4.68,2.5641025641025665,9.61538461538462,27.329192546583858,True,-1.8405,0.6255,2,2,2,100.0,18.895455922199744,19.867549668874158,12.435897435897433,2.5641025641025665,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
7,84.46211040090536,73.97316705678492,001203,大中矿业,bottom_area,2024-08-20,7.86,2024-08-20,7.83,0.38314176245211046,3.1928480204342273,32.67411865864145,False,-2.1171,0.3955,2,2,2,100.0,22.670592877288865,29.46341463414634,14.61685823754789,0.38314176245211046,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
8,84.17160054354392,73.99114502020161,001218,丽臣实业,bottom_area,2024-08-20,13.86,2024-07-25,13.78,0.5805515239477509,6.603773584905662,30.404040404040412,False,-2.2567,0.6739,2,2,2,100.0,25.18711018711019,29.999999999999993,14.41944847605225,0.5805515239477509,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
9,83.07050806280577,77.49147341236879,000789,万年青,bottom_area,2024-08-20,4.41,2024-07-09,4.25,3.7647058823529442,9.88235294117647,29.752066115702476,True,-2.0,0.3987,2,2,2,100.0,34.00539152759949,47.599999999999994,11.235294117647054,3.7647058823529442,历史2/2次成功; 当前距低点3.76%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
10,81.71733358768145,76.64110458284374,000629,钒钛股份,bottom_area,2024-08-20,2.31,2024-07-25,2.22,4.054054054054047,10.360360360360358,32.72727272727272,True,0.0,0.8762,1,1,1,100.0,27.173913043478265,27.173913043478265,10.945945945945953,4.054054054054047,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
11,80.95572103520094,70.70225712565818,000539,粤电力A,bottom_area,2024-08-20,4.32,2024-08-20,4.31,0.2320185614849345,2.552204176334114,28.405315614617944,False,-1.8182,0.568,1,1,1,100.0,19.89924433249369,19.89924433249369,14.767981438515065,0.2320185614849345,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
