rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.38840289076397,78.71538461538464,001230,劲旅环境,bottom_area,2025-06-27,20.33,2025-06-23,19.5,4.256410256410248,6.9230769230769305,30.629669156883672,False,0.1478,5.4597,1,1,1,100.0,84.69119579500656,84.69119579500656,15.743589743589753,4.256410256410248,历史1/1次成功; 当前距低点4.26%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
2,86.4619787789591,76.61744307251037,600770,综艺股份,bottom_area,2025-06-27,5.23,2025-06-23,5.06,3.3596837944664197,6.719367588932822,32.980132450331126,False,0.3839,3.0445,1,1,1,100.0,27.72861356932153,27.72861356932153,16.64031620553358,3.3596837944664197,历史1/1次成功; 当前距低点3.36%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
3,82.9189904502982,75.18874225099874,002678,珠江钢琴,bottom_area,2025-06-27,4.98,2025-06-23,4.76,4.621848739495812,5.042016806722694,29.79351032448378,False,1.0142,1.5782,1,1,1,100.0,35.5191256830601,35.5191256830601,15.378151260504188,4.621848739495812,历史1/1次成功; 当前距低点4.62%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
4,82.7579248283056,74.21581965477073,603681,永冠新材,bottom_area,2025-06-27,14.77,2025-06-20,14.2,4.014084507042256,5.492957746478881,29.000000000000004,False,1.0951,2.6126,1,1,1,100.0,22.83834586466165,22.83834586466165,15.985915492957744,4.014084507042256,历史1/1次成功; 当前距低点4.01%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
5,81.24211025668862,73.55821247470638,002575,群兴玩具,bottom_area,2025-06-27,8.52,2025-06-20,8.15,4.539877300613488,8.957055214723932,27.748226950354603,True,-1.9563,4.1992,1,1,1,100.0,39.02759526938239,39.02759526938239,15.460122699386513,4.539877300613488,历史1/1次成功; 当前距低点4.54%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
6,80.6893802906194,73.31329316398633,002615,哈尔斯,bottom_area,2025-06-27,8.19,2025-06-23,7.82,4.731457800511499,5.24296675191816,30.673758865248217,False,0.738,8.9114,1,1,1,100.0,26.779661016949152,26.779661016949152,15.268542199488502,4.731457800511499,历史1/1次成功; 当前距低点4.73%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
7,79.81324189155484,72.47099452501602,603327,福蓉科技,bottom_area,2025-06-27,9.14,2025-06-23,8.73,4.696449026345935,5.154639175257723,28.148148148148145,False,0.883,0.6936,1,1,1,100.0,21.82203389830509,21.82203389830509,15.303550973654067,4.696449026345935,历史1/1次成功; 当前距低点4.70%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
8,73.61125189974747,64.70982473222978,605136,丽人丽妆,bottom_area,2025-06-27,10.57,2025-06-26,10.27,2.9211295034079914,4.67380720545278,29.318651066758434,False,0.2846,4.0504,1,2,1,50.0,52.667814113597245,52.667814113597245,17.07887049659201,2.9211295034079914,历史1/2次成功; 当前距低点2.92%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
