rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
15,82.07431412125138,72.9181185529543,600984,建设机械,bottom_area,2023-06-08,4.4,2023-06-07,4.35,1.1494252873563382,2.9885057471264553,30.400000000000006,False,0.6865,0.5951,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,13.850574712643663,1.1494252873563382,历史2/3次成功; 当前距低点1.15%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
16,81.71064937815011,71.28758756616347,300762,上海瀚讯,bottom_area,2023-06-08,11.35,2023-06-08,11.33,0.17652250661959024,3.442188879082088,28.200253485424586,False,-3.2396,1.3731,1,1,1,100.0,32.580961727183514,32.580961727183514,14.82347749338041,0.17652250661959024,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
17,81.62382130068096,71.45305477699243,688176,亚虹医药,bottom_area,2023-06-08,11.23,2023-06-08,11.19,0.35746201966041935,3.3958891867739123,30.84054388133498,False,-2.0924,1.769,1,1,1,100.0,25.473484848484844,25.473484848484844,14.64253798033958,0.35746201966041935,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
18,81.42469573374855,75.56390999242251,600256,广汇能源,bottom_area,2023-06-08,7.42,2023-06-01,7.17,3.486750348675035,5.718270571827059,29.49852507374631,False,0.8152,0.6531,1,1,1,100.0,23.62204724409449,23.62204724409449,11.513249651324964,3.486750348675035,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
19,80.87045734539916,71.0160521934661,688289,圣湘生物,bottom_area,2023-06-08,17.22,2023-06-08,17.13,0.5253940455341498,2.626970227670749,30.50709939148073,False,-1.5437,0.7004,1,1,1,100.0,25.182530200451346,25.182530200451346,14.474605954465849,0.5253940455341498,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
20,78.6243042938225,74.51235886424612,688350,富淼科技,bottom_area,2023-06-08,16.78,2023-05-05,16.04,4.613466334164601,11.471321695760599,32.774518021793796,True,-0.4154,0.8593,2,2,2,100.0,28.392807022265636,38.54748603351957,10.3865336658354,4.613466334164601,历史2/2次成功; 当前距低点4.61%; 最新日涨幅-0.42%; 状态bottom_area; 底部已确认
21,78.54450547647018,69.63995891146904,600183,生益科技,bottom_area,2023-06-08,14.57,2023-06-08,14.42,1.0402219140083242,1.8723994452149764,27.09807886754298,False,-0.8844,0.4112,2,3,2,66.66666666666666,23.14515165989969,25.158227848101262,13.959778085991676,1.0402219140083242,历史2/3次成功; 当前距低点1.04%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
22,77.43086464806416,69.47453949767083,688001,华兴源创,bottom_area,2023-06-08,30.3,2023-06-07,29.8,1.6778523489932886,8.389261744966431,28.793309438470732,True,-3.1949,0.8312,2,3,2,66.66666666666666,31.093420358649794,35.3639240506329,13.322147651006711,1.6778523489932886,历史2/3次成功; 当前距低点1.68%; 最新日涨幅-3.19%; 状态bottom_area; 底部已确认
23,69.94672764738304,65.35013337212469,002690,美亚光电,bottom_area,2023-06-08,24.56,2023-05-15,23.65,3.8477801268498952,8.668076109936578,28.765060240963862,True,-1.6026,0.4987,2,3,2,66.66666666666666,25.30325481008482,27.355278093076052,11.152219873150104,3.8477801268498952,历史2/3次成功; 当前距低点3.85%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
24,69.53100591105645,62.13934065934066,601388,怡球资源,bottom_area,2023-06-08,2.77,2023-05-30,2.73,1.4652014652014667,4.3956043956043995,27.777777777777775,False,1.0949,0.4692,1,2,1,50.0,18.333333333333325,18.333333333333325,13.534798534798535,1.4652014652014667,历史1/2次成功; 当前距低点1.47%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
25,63.07088224924306,54.907729405096404,603078,江化微,bottom_area,2023-06-08,16.17,2023-06-08,16.16,0.06188118811882155,2.7227722772277305,31.204767986377174,False,-2.9412,1.6083,1,2,1,50.0,24.563540397888758,24.563540397888758,14.938118811881179,0.06188118811882155,历史1/2次成功; 当前距低点0.06%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
26,62.25250214489835,57.583862228923586,300546,雄帝科技,bottom_area,2023-06-08,19.34,2023-06-07,18.72,3.3119658119658175,5.021367521367528,27.441860465116285,False,-0.4119,3.0218,2,5,2,40.0,27.285721936589546,33.791666666666664,11.688034188034182,3.3119658119658175,历史2/5次成功; 当前距低点3.31%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
27,61.50064142968699,55.73873377008105,002570,贝因美,bottom_area,2023-06-08,4.15,2023-05-30,4.06,2.216748768472925,3.694581280788187,29.636048526863085,False,-0.4796,0.6012,1,3,1,33.33333333333333,35.05154639175259,35.05154639175259,12.783251231527073,2.216748768472925,历史1/3次成功; 当前距低点2.22%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
28,60.43254072900087,55.43986173109807,600409,三友化工,bottom_area,2023-06-08,5.38,2023-05-31,5.23,2.8680688336519973,5.927342256214141,29.324324324324323,False,0.9381,0.3383,1,3,1,33.33333333333333,18.95551257253386,18.95551257253386,12.131931166348002,2.8680688336519973,历史1/3次成功; 当前距低点2.87%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
29,60.39125664068152,57.44353525939733,000792,盐湖股份,bottom_area,2023-06-08,19.39,2023-05-30,18.5,4.810810810810814,7.5675675675675595,29.49695121951219,True,0.3104,0.2789,1,2,1,50.0,24.904214559386965,24.904214559386965,10.189189189189186,4.810810810810814,历史1/2次成功; 当前距低点4.81%; 最新日涨幅0.31%; 状态bottom_area; 底部已确认
30,57.612748251748236,50.09804195804195,002793,罗欣药业,bottom_area,2023-06-08,5.05,2023-06-08,5.05,0.0,10.891089108910888,30.44077134986226,False,-9.9822,3.6504,1,2,1,50.0,20.419580419580406,20.419580419580406,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
31,56.63307303660422,53.60332015810276,002405,四维图新,bottom_area,2023-06-08,11.5,2023-05-30,11.0,4.545454545454546,9.818181818181818,28.664072632944226,True,-1.2876,1.0686,1,2,1,50.0,23.478260869565215,23.478260869565215,10.454545454545453,4.545454545454546,历史1/2次成功; 当前距低点4.55%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
32,56.33925089087048,52.529666937308896,603333,尚纬股份,bottom_area,2023-06-08,4.44,2023-06-07,4.28,3.738317757009349,8.411214953271013,29.256198347107432,False,-1.5521,5.6366,1,2,1,50.0,17.005545286506468,17.005545286506468,11.26168224299065,3.738317757009349,历史1/2次成功; 当前距低点3.74%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
