rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.76435245116463,81.92397291196389,002584,西陇科学,bottom_area,2022-01-27,8.95,2022-01-27,8.86,1.0158013544018043,6.433408577878108,29.06325060048039,False,-1.9715,13.2308,1,1,1,100.0,68.08510638297875,68.08510638297875,6.9841986455981955,1.0158013544018043,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
2,83.35185093656081,79.03721881685534,600217,中再资环,bottom_area,2022-01-27,5.73,2022-01-26,5.66,1.2367491166077789,3.5335689045936425,28.894472361809044,False,-1.2069,0.8098,1,1,1,100.0,37.18820861678004,37.18820861678004,6.763250883392222,1.2367491166077789,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
3,82.0757664538889,80.1669197774702,002603,以岭药业,bottom_area,2022-01-27,20.73,2022-01-26,20.17,2.7764005949429778,5.999008428358935,27.757879656160455,False,2.1182,3.9941,1,1,1,100.0,39.661898569570866,39.661898569570866,5.223599405057023,2.7764005949429778,历史1/1次成功; 当前距低点2.78%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
4,81.05334607919303,75.22489734037941,603368,柳药集团,bottom_area,2022-01-27,16.51,2022-01-27,16.49,0.12128562765314208,3.941782898726514,29.46963216424295,False,-2.5384,1.6285,1,1,1,100.0,42.85714285714285,42.85714285714285,7.878714372346858,0.12128562765314208,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
5,80.15316988498824,76.123930002212,603351,威尔药业,bottom_area,2022-01-27,28.43,2022-01-27,28.06,1.3186029935851782,5.880256593014976,27.305699481865293,False,-0.5596,3.7402,1,1,1,100.0,22.528735632183903,22.528735632183903,6.681397006414821,1.3186029935851782,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
6,79.36588117574959,73.81949045436004,300447,全信股份,bottom_area,2022-01-27,17.1,2022-01-27,17.06,0.234466588511153,7.151230949589698,27.650551314673454,False,-4.6291,2.6151,2,2,2,100.0,30.236958474007892,30.328638497652584,7.765533411488847,0.234466588511153,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-4.63%; 状态bottom_area; 底部未确认
7,79.11803993628283,74.69897435897437,601218,吉鑫科技,bottom_area,2022-01-27,4.99,2022-01-24,4.94,1.0121457489878507,5.263157894736838,30.324400564174887,False,-2.729,2.5578,1,1,1,100.0,11.111111111111114,11.111111111111114,6.987854251012148,1.0121457489878507,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
8,79.0488169155516,73.50942587838371,688316,青云科技,bottom_area,2022-01-27,49.27,2022-01-27,49.16,0.22375915378357716,4.7192839707078935,30.564971751412433,False,-4.144,6.0014,3,3,3,100.0,11.77202553231324,13.030303030303022,7.776240846216423,0.22375915378357716,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
9,78.44757094413289,73.63677355212388,603196,璞源材料,bottom_area,2022-01-27,7.09,2022-01-27,7.04,0.7102272727272702,6.534090909090909,28.960645812310798,False,-4.3185,2.0404,3,3,3,100.0,18.419848031946557,22.85714285714286,7.289772727272729,0.7102272727272702,历史3/3次成功; 当前距低点0.71%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
10,78.23811894862435,72.8628477828478,300511,雪榕生物,bottom_area,2022-01-27,6.68,2022-01-27,6.66,0.30030030030029387,3.7537537537537538,31.198347107438014,False,-3.0479,2.8581,2,2,2,100.0,25.900712191034756,29.220779220779214,7.699699699699707,0.30030030030029387,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
11,77.90035021554945,73.81568765743074,688309,恒誉环保,bottom_area,2022-01-27,15.18,2022-01-27,15.0,1.1999999999999982,4.533333333333331,30.651872399445214,False,-2.3794,1.2746,1,1,1,100.0,8.664987405541554,8.664987405541554,6.800000000000002,1.1999999999999982,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
12,77.52506411621899,72.44848305980855,002342,巨力索具,bottom_area,2022-01-27,4.19,2022-01-25,4.17,0.4796163069544475,6.474820143884903,28.10344827586207,False,-1.4118,3.1288,2,2,2,100.0,15.655958277767192,19.889502762430933,7.520383693045553,0.4796163069544475,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
13,77.48274325771925,73.6341325941326,002799,环球印务,bottom_area,2022-01-27,11.25,2022-01-27,11.1,1.3513513513513546,3.603603603603607,28.10880829015544,False,-0.9683,1.5361,1,1,1,100.0,9.544159544159557,9.544159544159557,6.648648648648646,1.3513513513513546,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
14,77.19061545826385,72.01191596242383,605162,新中港,bottom_area,2022-01-27,10.29,2022-01-27,10.25,0.3902439024390161,4.390243902439018,30.508474576271187,False,-3.6517,2.9692,2,2,2,100.0,22.428344408520275,26.46502835538753,7.609756097560984,0.3902439024390161,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
15,77.05882542025863,71.35076427801724,601778,晶科科技,bottom_area,2022-01-27,6.76,2022-01-27,6.76,0.0,4.14201183431953,30.66666666666667,False,-3.4286,1.3747,2,2,2,100.0,26.348195043103452,42.344827586206904,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.43%; 状态bottom_area; 底部未确认
16,76.92955058519493,73.66491531053232,688195,腾景科技,confirmed_rebound,2022-01-27,27.98,2022-01-27,27.5,1.745454545454547,10.54545454545454,30.5029062421026,False,-7.4429,8.4105,2,2,2,100.0,18.30404125897143,21.16161616161615,6.254545454545453,1.745454545454547,历史2/2次成功; 当前距低点1.75%; 最新日涨幅-7.44%; 状态confirmed_rebound; 底部未确认
