rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.2670145212577,81.0004627281385,002850,科达利,bottom_area,2023-10-13,86.28,2023-10-13,85.35,1.0896309314587076,3.397773872290575,30.496742671009773,False,-2.5965,1.3863,3,3,3,100.0,12.60656587023842,13.44718098343773,8.910369068541293,1.0896309314587076,历史3/3次成功; 当前距低点1.09%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
2,86.61394795199206,79.0821054964906,300649,杭州园林,bottom_area,2023-10-13,17.65,2023-10-13,17.61,0.22714366837023933,2.6689381033503627,32.269230769230774,False,-2.7548,3.9759,2,2,2,100.0,48.22576914179969,71.60305343511452,9.772856331629761,0.22714366837023933,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
3,83.70154676738882,78.67067525938522,600322,津投城开,bottom_area,2023-10-13,2.33,2023-10-11,2.29,1.746724890829696,3.9301310043668063,30.182926829268286,False,-0.8511,2.6642,2,2,2,100.0,24.802193604714613,35.828877005347586,8.253275109170305,1.746724890829696,历史2/2次成功; 当前距低点1.75%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
4,83.57204792874168,76.21873078122424,002333,罗普斯金,bottom_area,2023-10-13,5.96,2023-10-13,5.95,0.1680672268907527,1.8487394957983097,27.52740560292327,False,-1.8122,3.4539,2,2,2,100.0,32.10711859427502,46.728971962616825,9.831932773109248,0.1680672268907527,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
5,83.11877653741566,80.32486808237648,002534,西子洁能,bottom_area,2023-10-13,12.88,2023-09-22,12.48,3.2051282051282075,7.2115384615384635,27.861271676300582,True,-1.1512,0.4961,3,3,3,100.0,25.712690269187092,33.11594202898551,6.794871794871793,3.2051282051282075,历史3/3次成功; 当前距低点3.21%; 最新日涨幅-1.15%; 状态bottom_area; 底部已确认
6,81.80421720032683,75.20216653370504,000798,中水渔业,bottom_area,2023-10-13,8.6,2023-10-13,8.55,0.5847953216374144,2.456140350877182,29.338842975206603,False,-1.9384,1.4966,3,3,3,100.0,15.08333261848572,17.3015873015873,9.415204678362587,0.5847953216374144,历史3/3次成功; 当前距低点0.58%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
7,80.96743077804666,74.0953728789142,601226,华电科工,bottom_area,2023-10-13,5.79,2023-10-13,5.77,0.34662045060659386,3.119584055459283,29.20245398773007,False,-2.6891,0.4549,1,1,1,100.0,39.54659949622166,39.54659949622166,9.653379549393406,0.34662045060659386,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
8,79.71580877359949,74.74421198549801,000006,深振业A,bottom_area,2023-10-13,4.39,2023-10-11,4.32,1.6203703703703565,3.47222222222221,29.18032786885245,False,-1.1261,0.9891,1,1,1,100.0,18.809980806142043,18.809980806142043,8.379629629629644,1.6203703703703565,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
9,79.65560940800358,72.97824749175403,600408,安泰集团,bottom_area,2023-10-13,2.47,2023-10-13,2.46,0.40650406504065983,2.0325203252032447,28.07017543859649,False,-1.9841,2.5894,2,2,2,100.0,17.60793957014374,21.457489878542503,9.593495934959341,0.40650406504065983,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
10,78.68786858816604,72.30631411758344,600004,白云机场,bottom_area,2023-10-13,10.73,2023-10-11,10.67,0.5623242736644846,1.9681349578256873,27.661016949152543,False,-1.3787,0.341,1,1,1,100.0,32.57211538461537,32.57211538461537,9.437675726335517,0.5623242736644846,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
11,77.5612502038709,75.47906899034413,002777,久远银海,confirmed_rebound,2023-10-13,25.81,2023-09-22,24.92,3.5714285714285596,10.272873194221503,27.76811594202898,True,-2.6038,3.0567,3,3,3,100.0,14.365194264522765,18.88352860096485,6.428571428571442,3.5714285714285596,历史3/3次成功; 当前距低点3.57%; 最新日涨幅-2.60%; 状态confirmed_rebound; 底部已确认
12,77.45497511066725,71.60121785589752,000014,沙河股份,bottom_area,2023-10-13,11.51,2023-10-13,11.41,0.8764241893076218,2.5416301489921045,28.01261829652997,False,-1.371,2.182,2,2,2,100.0,15.964865631822029,20.605355064027936,9.12357581069238,0.8764241893076218,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
13,76.49424900657284,70.7857229613062,000028,国药一致,bottom_area,2023-10-13,30.38,2023-10-10,30.1,0.9302325581395269,5.083056478405307,31.82332955832389,False,-0.0329,0.7055,2,2,2,100.0,12.240070934754426,14.150943396226415,9.069767441860474,0.9302325581395269,历史2/2次成功; 当前距低点0.93%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
14,76.34354329406273,70.45935715084444,301313,凡拓数创,confirmed_rebound,2023-10-13,28.02,2023-10-09,27.8,0.791366906474816,10.215827338129497,30.93167701863354,False,-1.3033,5.1867,3,4,3,75.0,39.831579019392564,52.43243243243245,9.208633093525185,0.791366906474816,历史3/4次成功; 当前距低点0.79%; 最新日涨幅-1.30%; 状态confirmed_rebound; 底部未确认
15,76.1784902701021,69.94144397728255,600032,浙江新能,bottom_area,2023-10-13,9.7,2023-10-13,9.65,0.5181347150258957,3.523316062176164,27.769461077844305,False,-2.8056,1.8387,1,1,1,100.0,19.31608133086876,19.31608133086876,9.481865284974104,0.5181347150258957,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
16,74.32937428259922,68.30474250027187,001330,博纳影业,bottom_area,2023-10-13,7.12,2023-10-13,7.08,0.56497175141243,1.4124293785310684,30.926829268292682,False,-0.6974,0.5586,1,1,1,100.0,11.090742438130146,11.090742438130146,9.435028248587571,0.56497175141243,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
17,70.8851018197479,70.35187246851949,002177,御银股份,bottom_area,2023-10-13,4.09,2023-09-28,3.91,4.603580562659839,6.3938618925831205,27.992633517495392,False,-0.7282,2.4662,2,2,2,100.0,15.096968555827523,19.574468085106382,5.396419437340161,4.603580562659839,历史2/2次成功; 当前距低点4.60%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
18,69.73238691244319,63.69036678693449,000428,华天酒店,bottom_area,2023-10-13,4.09,2023-10-13,4.08,0.24509803921568107,2.2058823529411726,27.142857142857135,False,-2.1531,1.7189,2,3,2,66.66666666666666,21.25012714881498,28.045977011494273,9.75490196078432,0.24509803921568107,历史2/3次成功; 当前距低点0.25%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
19,55.37766666666666,50.34333333333333,002069,獐子岛,bottom_area,2023-10-13,4.01,2023-10-13,4.01,0.0,2.493765586034926,29.151943462897535,False,-2.6699,1.1162,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,10.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
20,52.626061756819254,51.51482755016722,603191,望变电气,bottom_area,2023-10-13,15.53,2023-09-21,14.95,3.8795986622073584,5.819397993311044,29.046037019458954,False,-1.6466,2.2089,1,2,1,50.0,13.281249999999995,13.281249999999995,6.120401337792642,3.8795986622073584,历史1/2次成功; 当前距低点3.88%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
