rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.31275192629836,76.37963090720051,300141,和顺电气,bottom_area,2025-10-28,11.29,2025-10-23,11.17,1.0743061772605123,6.266786034019689,27.935483870967744,False,-3.2562,7.5986,1,1,1,100.0,31.123919308357333,31.123919308357333,8.92569382273949,1.0743061772605123,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
2,78.50135042457332,77.43247856361671,300563,神宇股份,bottom_area,2025-10-28,38.25,2025-10-23,36.68,4.280261723009816,6.27044711014176,28.776699029126213,False,-0.4684,3.903,4,4,4,100.0,15.86814673160799,20.477137176938378,5.719738276990185,4.280261723009816,历史4/4次成功; 当前距低点4.28%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
3,78.39072816005833,76.3095583858975,002269,美邦服饰,bottom_area,2025-10-28,2.31,2025-10-13,2.23,3.587443946188344,8.520179372197308,30.529595015576323,True,-1.2821,3.8513,6,8,6,75.0,46.3114547484244,173.50993377483442,6.412556053811656,3.587443946188344,历史6/8次成功; 当前距低点3.59%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
4,78.06088187492477,75.02349347512225,603305,旭升集团,bottom_area,2025-10-28,14.82,2025-10-23,14.4,2.916666666666666,5.416666666666662,29.064039408867,False,-1.5282,3.8124,5,6,5,83.33333333333334,22.312688934349005,32.41061130334487,7.083333333333335,2.916666666666666,历史5/6次成功; 当前距低点2.92%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
5,75.42182454177431,73.28542620420477,301498,乖宝宠物,bottom_area,2025-10-28,72.62,2025-10-28,70.17,3.4915205928459496,4.246829129257524,30.901033973412105,False,3.0363,3.612,1,1,1,100.0,11.430608365019017,11.430608365019017,6.508479407154051,3.4915205928459496,历史1/1次成功; 当前距低点3.49%; 最新日涨幅3.04%; 状态bottom_area; 底部未确认
6,72.76383751699808,72.72080745341617,301009,可靠股份,bottom_area,2025-10-28,13.52,2025-09-23,12.88,4.968944099378873,9.627329192546572,30.566037735849054,True,-3.2212,4.1343,1,1,1,100.0,53.96648044692738,53.96648044692738,5.031055900621128,4.968944099378873,历史1/1次成功; 当前距低点4.97%; 最新日涨幅-3.22%; 状态bottom_area; 底部已确认
7,71.66977632736545,68.49661065790959,002123,梦网科技,bottom_area,2025-10-28,12.52,2025-10-17,12.2,2.6229508196721336,4.0983606557377055,29.68299711815563,False,-0.6349,1.5292,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,7.377049180327868,2.6229508196721336,历史2/3次成功; 当前距低点2.62%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
8,68.74392889635097,65.53945551814095,300459,汤姆猫,bottom_area,2025-10-28,4.52,2025-10-17,4.41,2.4943310657596243,4.988662131519268,29.326923076923077,False,0.2217,2.0965,3,6,3,50.0,15.895324452004822,19.047619047619044,7.505668934240377,2.4943310657596243,历史3/6次成功; 当前距低点2.49%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
9,68.28772276201687,65.269709284416,688036,传音控股,bottom_area,2025-10-28,75.78,2025-10-23,73.84,2.627302275189596,5.647345612134346,29.609151572926596,False,1.0939,0.7004,2,4,2,50.0,16.075045547571314,19.148936170212753,7.372697724810405,2.627302275189596,历史2/4次成功; 当前距低点2.63%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
10,64.98421382414062,60.45462824517385,002453,华软科技,bottom_area,2025-10-28,6.7,2025-10-23,6.62,1.2084592145015116,6.495468277945616,32.17213114754098,False,-1.6153,5.7484,1,2,1,50.0,28.60169491525425,28.60169491525425,8.791540785498489,1.2084592145015116,历史1/2次成功; 当前距低点1.21%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
11,64.0068309889116,61.40552303229298,002617,露笑科技,bottom_area,2025-10-28,8.38,2025-10-23,8.15,2.822085889570557,4.907975460122704,30.341880341880334,False,-0.5931,2.9828,3,6,3,50.0,20.160639035020765,36.60589060308556,7.177914110429444,2.822085889570557,历史3/6次成功; 当前距低点2.82%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
