rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.43960470461582,84.52284259131808,002136,安纳达,bottom_area,2025-06-20,10.29,2025-06-19,10.18,1.0805500982318215,3.5363457760314283,31.906354515050168,False,0.3902,3.3882,1,1,1,100.0,42.29299363057326,42.29299363057326,18.91944990176818,1.0805500982318215,历史1/1次成功; 当前距低点1.08%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,93.19025761124124,78.95285714285716,000605,渤海股份,bottom_area,2025-06-20,6.71,2025-06-20,6.65,0.9022556390977385,1.5037593984962352,29.25531914893617,False,0.1493,1.687,1,1,1,100.0,56.66666666666668,56.66666666666668,19.097744360902265,0.9022556390977385,历史1/1次成功; 当前距低点0.90%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
3,91.07006068966376,76.24777323799795,001230,劲旅环境,bottom_area,2025-06-20,19.63,2025-06-20,19.58,0.25536261491318035,2.2982635342186053,30.34507292778371,False,-1.5053,5.1927,1,1,1,100.0,84.69119579500656,84.69119579500656,19.744637385086822,0.25536261491318035,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
4,90.40442643002325,77.55875725900117,002127,南极电商,bottom_area,2025-06-20,3.84,2025-06-20,3.78,1.587301587301589,2.6455026455026482,29.34579439252336,False,-0.7752,2.0133,1,1,1,100.0,33.53658536585366,33.53658536585366,18.41269841269841,1.587301587301589,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
5,90.06988712266349,75.72677419354838,301260,格力博,bottom_area,2025-06-20,18.69,2025-06-20,18.6,0.4838709677419347,2.4193548387096735,28.953399541634827,False,-0.9539,2.9765,1,1,1,100.0,58.71313672922254,58.71313672922254,19.516129032258068,0.4838709677419347,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
6,88.59320184779789,78.36265193470268,300436,广生堂,bottom_area,2025-06-20,33.58,2025-06-20,32.52,3.2595325953259384,4.920049200491987,29.671280276816603,False,0.8408,9.1698,1,1,1,100.0,35.88379705400981,35.88379705400981,16.740467404674064,3.2595325953259384,历史1/1次成功; 当前距低点3.26%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
7,88.38367129884888,73.80949572649573,000811,冰轮环境,bottom_area,2025-06-20,8.65,2025-06-20,8.64,0.11574074074073826,2.08333333333333,32.97129557796741,False,-1.7045,1.3255,1,1,1,100.0,35.17948717948718,35.17948717948718,19.884259259259263,0.11574074074073826,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
8,88.07941068594607,74.6790566037736,603787,新日股份,bottom_area,2025-06-20,11.77,2025-06-20,11.66,0.9433962264150895,2.7444253859348224,28.02469135802469,False,-0.0849,3.8147,1,1,1,100.0,92.85714285714283,92.85714285714283,19.05660377358491,0.9433962264150895,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
9,88.02903358968592,74.65234957020058,600250,南京商旅,bottom_area,2025-06-20,10.57,2025-06-20,10.47,0.9551098376313242,3.151862464183382,28.04123711340206,False,-1.3993,6.1495,1,1,1,100.0,53.93258426966293,53.93258426966293,19.044890162368677,0.9551098376313242,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
10,87.40798414080778,73.29705458470474,002909,集泰股份,bottom_area,2025-06-20,5.88,2025-06-20,5.86,0.34129692832763775,1.877133105802038,29.98805256869772,False,-0.5076,2.2064,1,1,1,100.0,35.18930957683742,35.18930957683742,19.658703071672363,0.34129692832763775,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
11,87.13990523312934,72.92392992768615,688306,均普智能,bottom_area,2025-06-20,8.7,2025-06-20,8.68,0.2304147465437739,4.262672811059919,27.666666666666668,False,-2.027,0.8192,1,1,1,100.0,31.824062095730905,31.824062095730905,19.769585253456228,0.2304147465437739,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
