rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.03142251041483,87.84845709702284,603348,文灿股份,bottom_area,2024-01-23,28.17,2024-01-23,27.62,1.9913106444605384,3.330919623461253,32.137592137592144,False,0.1422,1.2755,4,4,4,100.0,21.33680304512298,31.539888682745836,8.008689355539463,1.9913106444605384,历史4/4次成功; 当前距低点1.99%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
2,92.03490457255522,86.9135903259642,000665,湖北广电,bottom_area,2024-01-23,4.09,2024-01-23,4.01,1.9950124688279323,2.992518703241898,29.151943462897535,False,0.4914,1.0331,4,4,4,100.0,16.35601481124668,26.231691078561926,8.004987531172068,1.9950124688279323,历史4/4次成功; 当前距低点2.00%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,90.87344431687717,87.6046153846154,300735,光弘科技,bottom_area,2024-01-23,18.09,2024-01-22,17.55,3.0769230769230718,8.660968660968658,27.178423236514526,False,2.6092,3.0496,3,3,3,100.0,50.43111523258737,93.48973607038124,6.923076923076929,3.0769230769230718,历史3/3次成功; 当前距低点3.08%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
4,90.29275812682101,85.97744053020186,600418,江淮汽车,bottom_area,2024-01-23,13.07,2024-01-23,12.76,2.4294670846395023,2.8996865203761835,30.0438596491228,False,0.5385,1.912,4,4,4,100.0,16.648524103117875,24.365079365079367,7.570532915360498,2.4294670846395023,历史4/4次成功; 当前距低点2.43%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
5,90.17045788840319,83.77926665546438,688176,亚虹医药,bottom_area,2024-01-23,7.97,2024-01-23,7.88,1.1421319796954297,2.6649746192893398,27.83882783882784,False,0.1256,1.846,2,2,2,100.0,22.38348155467721,25.473484848484844,8.857868020304572,1.1421319796954297,历史2/2次成功; 当前距低点1.14%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
6,89.7047893898299,84.35586093508259,300446,航天智造,bottom_area,2024-01-23,13.2,2024-01-23,12.97,1.773323053199681,2.6985350809560495,27.663134411600666,False,0.9174,3.2027,2,2,2,100.0,33.22063170095625,51.92697768762679,8.22667694680032,1.773323053199681,历史2/2次成功; 当前距低点1.77%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
7,89.078313712096,82.80725446820857,300538,同益股份,bottom_area,2024-01-23,14.71,2024-01-22,14.54,1.169188445667137,9.697386519944981,28.899755501222497,False,-0.7422,3.1242,3,3,3,100.0,23.295721098546444,30.150753768844226,8.830811554332865,1.169188445667137,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
8,88.74175182876304,84.62910627542182,001309,德明利,bottom_area,2024-01-23,69.45,2024-01-23,67.75,2.5092250922509267,3.5867158671586816,29.27974947807933,False,0.9888,1.7987,3,3,3,100.0,27.043760676096344,45.392,7.490774907749073,2.5092250922509267,历史3/3次成功; 当前距低点2.51%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
9,88.49083449721024,83.0452446819973,002370,亚太药业,bottom_area,2024-01-23,3.66,2024-01-23,3.6,1.666666666666668,2.77777777777778,30.367504835589937,False,-1.0811,1.767,4,4,4,100.0,14.006691838695174,15.633423180592995,8.333333333333332,1.666666666666668,历史4/4次成功; 当前距低点1.67%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
10,88.2678347678237,84.52585771344094,600343,航天动力,bottom_area,2024-01-23,8.29,2024-01-23,8.07,2.7261462205699982,3.221809169764557,28.138913624220834,False,0.6068,0.8242,3,3,3,100.0,29.147694066346975,55.72413793103447,7.273853779430002,2.7261462205699982,历史3/3次成功; 当前距低点2.73%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
11,88.24084103005532,83.84831022019092,300534,陇神戎发,bottom_area,2024-01-23,8.38,2024-01-22,8.19,2.3199023199023356,9.157509157509159,31.1764705882353,False,0.9639,2.0572,3,3,3,100.0,20.525201664345396,26.86762778505898,7.680097680097665,2.3199023199023356,历史3/3次成功; 当前距低点2.32%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
12,87.49680883514228,81.9284513771369,300658,延江股份,bottom_area,2024-01-23,5.9,2024-01-23,5.81,1.5490533562822848,6.54044750430294,29.146341463414632,False,-4.5307,4.5425,4,4,4,100.0,16.775768975593984,26.72018348623853,8.450946643717716,1.5490533562822848,历史4/4次成功; 当前距低点1.55%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
