rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.85860069544735,81.45213658536585,000789,万年青,bottom_area,2022-10-31,7.87,2022-10-31,7.79,1.0269576379974337,2.3106546854942196,30.008984725965863,False,-0.6313,0.6693,1,1,1,100.0,47.599999999999994,47.599999999999994,8.973042362002568,1.0269576379974337,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
2,85.0067496282722,81.29024875621892,002137,实益达,bottom_area,2022-10-31,6.19,2022-10-31,6.03,2.6533996683250436,4.643449419568812,29.3911007025761,False,-0.6421,16.6568,2,2,2,100.0,55.55040286140998,89.3034825870647,7.346600331674957,2.6533996683250436,历史2/2次成功; 当前距低点2.65%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
3,83.02406402820137,79.62546195781373,001296,长江材料,bottom_area,2022-10-31,21.25,2022-10-28,20.67,2.8059990324141184,7.402031930333805,28.724137931034477,False,2.1635,7.1038,2,2,2,100.0,20.446987912461964,20.884413309982484,7.1940009675858825,2.8059990324141184,历史2/2次成功; 当前距低点2.81%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
4,82.3441664266451,77.26204105919578,002233,塔牌集团,bottom_area,2022-10-31,6.75,2022-10-31,6.64,1.6566265060241014,2.8614457831325364,27.35229759299782,False,-0.2954,0.4641,2,2,2,100.0,16.124459639412482,16.956077630234937,8.343373493975898,1.6566265060241014,历史2/2次成功; 当前距低点1.66%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
5,81.84730118718491,76.6230053667263,603030,全筑股份,bottom_area,2022-10-31,2.64,2022-10-31,2.6,1.5384615384615397,2.6923076923076863,32.98969072164948,False,-1.4925,3.231,1,1,1,100.0,27.906976744186036,27.906976744186036,8.46153846153846,1.5384615384615397,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
6,80.34035881844342,77.45041785375119,600126,杭钢股份,bottom_area,2022-10-31,4.02,2022-10-11,3.9,3.076923076923068,7.179487179487174,31.698774080560423,True,2.8133,0.3877,1,1,1,100.0,19.54732510288064,19.54732510288064,6.923076923076932,3.076923076923068,历史1/1次成功; 当前距低点3.08%; 最新日涨幅2.81%; 状态bottom_area; 底部已确认
7,78.45901783734436,76.01665754732572,002333,罗普斯金,bottom_area,2022-10-31,5.26,2022-10-31,5.09,3.3398821218074644,4.322200392927304,28.711484593837532,False,-1.1278,3.9609,1,1,1,100.0,46.728971962616825,46.728971962616825,6.660117878192537,3.3398821218074644,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
8,78.15347531096069,73.45385964848194,000596,古井贡酒,bottom_area,2022-10-31,197.06,2022-10-31,193.68,1.7451466336224675,3.779429987608423,30.513400064578626,False,-2.0674,0.7476,1,1,1,100.0,13.402118135167584,13.402118135167584,8.254853366377533,1.7451466336224675,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
9,76.1206762295082,69.20061475409837,600048,保利发展,bottom_area,2022-10-31,13.8,2022-10-31,13.8,0.0,8.333333333333323,27.368421052631575,False,-9.9804,1.4945,1,1,1,100.0,31.45491803278689,31.45491803278689,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
10,75.9677727010594,69.41078545817273,000401,金隅冀东,bottom_area,2022-10-31,7.59,2022-10-31,7.57,0.26420079260237217,3.1704095112285247,30.1660516605166,False,-2.4422,0.7813,1,1,1,100.0,13.350340136054426,13.350340136054426,9.735799207397628,0.26420079260237217,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
11,72.67345233366372,67.23284057140812,300595,欧普康视,bottom_area,2022-10-31,29.72,2022-10-31,29.45,0.9168081494057712,5.738539898132433,31.71806167400882,False,-5.0479,4.6658,1,1,1,100.0,19.855715871254166,19.855715871254166,9.083191850594229,0.9168081494057712,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
12,71.76737946156824,71.0298011565289,002567,唐人神,bottom_area,2022-10-31,7.03,2022-10-31,6.73,4.457652303120354,5.34918276374442,27.867095391211144,False,0.4286,4.0583,1,1,1,100.0,11.146496815286627,11.146496815286627,5.542347696879647,4.457652303120354,历史1/1次成功; 当前距低点4.46%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
13,61.85657015731527,59.79078007115256,601919,中远海控,bottom_area,2022-10-31,11.23,2022-10-10,10.88,3.2169117647058787,8.915441176470578,28.13738441215323,True,-0.1778,0.5798,1,2,1,50.0,40.45881126173098,40.45881126173098,6.783088235294121,3.2169117647058787,历史1/2次成功; 当前距低点3.22%; 最新日涨幅-0.18%; 状态bottom_area; 底部已确认
14,56.00261048130555,51.58135175909722,002092,中泰化学,bottom_area,2022-10-31,5.88,2022-10-31,5.84,0.6849315068493157,1.883561643835622,27.0,False,-0.6757,0.935,1,2,1,50.0,14.317180616740096,14.317180616740096,9.315068493150685,0.6849315068493157,历史1/2次成功; 当前距低点0.68%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
