rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.76720064073996,86.62519579916072,605228,神通科技,bottom_area,2025-12-16,14.3,2025-12-16,13.92,2.72988505747127,5.3160919540229905,28.247422680412367,False,1.3466,1.8209,5,5,5,100.0,23.813622205350633,47.56554307116105,5.270114942528731,2.72988505747127,历史5/5次成功; 当前距低点2.73%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
2,88.6853348742382,84.37422917878838,603032,德新科技,bottom_area,2025-12-16,17.99,2025-12-16,17.74,1.4092446448703495,3.7204058624577234,28.869286287089025,False,-0.6077,2.5048,5,5,5,100.0,17.996274027380522,33.061224489795926,6.59075535512965,1.4092446448703495,历史5/5次成功; 当前距低点1.41%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
3,88.15467620485616,84.33087786411768,300609,汇纳科技,bottom_area,2025-12-16,36.61,2025-12-16,36.0,1.6944444444444429,5.222222222222229,27.06645056726094,False,-2.7106,3.5142,5,5,5,100.0,21.25919998629576,49.87035436473638,6.305555555555557,1.6944444444444429,历史5/5次成功; 当前距低点1.69%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
4,87.67230450293425,82.92947976400589,300681,英搏尔,bottom_area,2025-12-16,23.71,2025-12-16,23.45,1.108742004264399,3.3262260127931818,28.133619368679135,False,-3.9303,7.1434,6,6,6,100.0,16.760277063057536,27.487589035182385,6.891257995735602,1.108742004264399,历史6/6次成功; 当前距低点1.11%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
5,86.94268205141725,83.19072454187754,605299,舒华体育,bottom_area,2025-12-16,11.92,2025-12-15,11.72,1.7064846416382191,5.290102389078491,32.05797101449275,False,-0.6667,8.6399,3,3,3,100.0,31.943599595767008,56.12903225806454,6.293515358361781,1.7064846416382191,历史3/3次成功; 当前距低点1.71%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
6,86.82585842338565,80.92686167275224,300598,诚迈科技,bottom_area,2025-12-16,43.9,2025-12-16,43.75,0.34285714285713964,3.039999999999996,31.640625,False,-1.3261,2.1294,5,5,5,100.0,26.22890300250812,45.24950099800398,7.657142857142861,0.34285714285713964,历史5/5次成功; 当前距低点0.34%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
7,86.07739188019139,79.86739968041806,300768,迪普科技,bottom_area,2025-12-16,18.52,2025-12-16,18.5,0.10810810810810581,2.432432432432429,27.677873338545734,False,-2.5776,1.3599,3,3,3,100.0,34.32196863927173,47.28781110402041,7.891891891891895,0.10810810810810581,历史3/3次成功; 当前距低点0.11%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
8,85.87709085215893,80.59372447022214,603030,全筑股份,bottom_area,2025-12-16,2.88,2025-12-16,2.86,0.6993006993007,3.1468531468531578,28.855721393034823,False,-1.7065,1.6545,7,7,7,100.0,28.80715088509532,51.87969924812029,7.3006993006993,0.6993006993007,历史7/7次成功; 当前距低点0.70%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
9,85.6194051786784,79.56745623476169,603038,华立股份,bottom_area,2025-12-16,15.84,2025-12-16,15.81,0.1897533206831079,2.7830487033523053,28.623024830699766,False,-1.676,1.7641,4,4,4,100.0,17.04351508558693,28.753412192902637,7.810246679316893,0.1897533206831079,历史4/4次成功; 当前距低点0.19%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
10,85.27763912451147,81.42283809397541,002129,TCL中环,bottom_area,2025-12-16,8.28,2025-12-16,8.15,1.595092024539865,3.067484662576687,29.253472222222214,False,-1.7794,2.0339,3,3,3,100.0,21.073375859818903,31.12759643916912,6.404907975460135,1.595092024539865,历史3/3次成功; 当前距低点1.60%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
11,85.12985851431662,79.34789104779392,300358,楚天科技,bottom_area,2025-12-16,8.75,2025-12-16,8.72,0.3440366972476991,3.555045871559618,29.677419354838708,False,-3.4216,3.3173,4,4,4,100.0,27.96932643827245,38.205499276411004,7.655963302752301,0.3440366972476991,历史4/4次成功; 当前距低点0.34%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
12,84.50436395540132,78.70906267883416,002317,众生药业,bottom_area,2025-12-16,19.59,2025-12-16,19.53,0.3072196620583652,5.325140809011772,28.1985294117647,False,-4.8567,7.2022,5,5,5,100.0,24.08345972218942,58.31999999999999,7.692780337941635,0.3072196620583652,历史5/5次成功; 当前距低点0.31%; 最新日涨幅-4.86%; 状态bottom_area; 底部未确认
13,82.87025157326775,78.66012379429634,688005,容百科技,bottom_area,2025-12-16,26.71,2025-12-16,26.37,1.2893439514599918,4.057641259006448,28.864310763420555,False,-2.1612,2.4637,5,6,5,83.33333333333334,21.916638012321442,38.76758854924795,6.7106560485400095,1.2893439514599918,历史5/6次成功; 当前距低点1.29%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
14,82.73863589513603,78.09741791612083,002176,江特电机,bottom_area,2025-12-16,9.1,2025-12-16,9.01,0.998890122086569,3.995560488346276,29.99222999222999,False,-2.3605,3.3199,5,5,5,100.0,19.058534378915056,39.01808785529715,7.00110987791343,0.998890122086569,历史5/5次成功; 当前距低点1.00%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
15,82.686501058541,79.05379113268202,600222,太龙药业,bottom_area,2025-12-16,6.72,2025-12-16,6.61,1.6641452344931835,5.143721633888046,29.978813559322028,False,-2.3256,5.4353,2,2,2,100.0,25.849689609282233,37.696335078534034,6.3358547655068165,1.6641452344931835,历史2/2次成功; 当前距低点1.66%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
16,82.30716149106006,76.89087761220064,002459,晶澳科技,bottom_area,2025-12-16,10.88,2025-12-16,10.83,0.46168051708218566,3.8781163434903037,29.215686274509807,False,-3.5461,1.2538,6,6,6,100.0,16.2016623180001,26.683937823834192,7.538319482917815,0.46168051708218566,历史6/6次成功; 当前距低点0.46%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
17,81.54631177042411,77.25631409369204,002589,瑞康医药,bottom_area,2025-12-16,3.4,2025-12-16,3.36,1.1904761904761916,5.952380952380958,28.35820895522389,False,-5.2925,11.6821,6,7,6,85.71428571428571,18.213670242583945,37.073170731707336,6.809523809523808,1.1904761904761916,历史6/7次成功; 当前距低点1.19%; 最新日涨幅-5.29%; 状态bottom_area; 底部未确认
18,81.1615792754766,77.63195281297115,605368,蓝天燃气,bottom_area,2025-12-16,7.83,2025-12-15,7.7,1.6883116883116869,2.987012987012981,30.568079350766453,False,0.3846,1.4443,1,1,1,100.0,12.695179904955879,12.695179904955879,6.311688311688313,1.6883116883116869,历史1/1次成功; 当前距低点1.69%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
19,78.92901783557524,77.76257914834999,603197,保隆科技,bottom_area,2025-12-16,35.2,2025-11-21,34.1,3.2258064516129075,6.334310850439873,27.431368376250266,False,1.7341,2.0664,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,4.7741935483870925,3.2258064516129075,历史5/6次成功; 当前距低点3.23%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
