rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
20,74.78123412923027,72.94303619532741,603010,万盛股份,bottom_area,2024-08-14,8.73,2024-07-18,8.5,2.7058823529411815,7.5294117647058885,27.78249787595582,True,-1.6892,0.1461,1,1,1,100.0,13.238967527060783,13.238967527060783,5.294117647058819,2.7058823529411815,历史1/1次成功; 当前距低点2.71%; 最新日涨幅-1.69%; 状态bottom_area; 底部已确认
21,74.73691354265071,72.21335653451321,000726,鲁泰A,bottom_area,2024-08-14,5.54,2024-07-30,5.42,2.214022140221404,4.797047970479701,28.211920529801326,False,-1.2478,0.5441,1,1,1,100.0,12.480252764612954,12.480252764612954,5.785977859778596,2.214022140221404,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
22,74.1954648286148,72.55492283187786,301606,绿联科技,bottom_area,2024-08-14,29.72,2024-08-13,28.9,2.837370242214534,4.6712802768166135,30.34466136418415,False,-1.0652,12.2488,1,1,1,100.0,21.957671957671955,21.957671957671955,5.162629757785466,2.837370242214534,历史1/1次成功; 当前距低点2.84%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
23,74.06408346609253,72.22016437565041,002706,良信股份,bottom_area,2024-08-14,6.11,2024-07-30,5.95,2.6890756302521033,7.394957983193269,32.7683615819209,True,-1.2924,0.7508,3,4,3,75.0,13.31320867002797,14.727153188691638,5.310924369747896,2.6890756302521033,历史3/4次成功; 当前距低点2.69%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
24,73.95027121643093,68.88629085791752,002601,龙佰集团,bottom_area,2024-08-14,16.03,2024-08-14,15.98,0.3128911138923699,2.565707133917398,31.120689655172413,False,-2.1368,0.4664,1,1,1,100.0,11.127325793506023,11.127325793506023,7.68710888610763,0.3128911138923699,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
25,72.81042128869034,72.59532403229836,600210,紫江企业,confirmed_rebound,2024-08-14,4.86,2024-07-25,4.68,3.8461538461538596,9.61538461538462,27.329192546583858,True,-0.8163,0.536,2,2,2,100.0,18.895455922199744,19.867549668874158,4.153846153846141,3.8461538461538596,历史2/2次成功; 当前距低点3.85%; 最新日涨幅-0.82%; 状态confirmed_rebound; 底部已确认
26,72.57823584279453,67.76169287097113,000708,中信特钢,bottom_area,2024-08-14,11.66,2024-08-14,11.61,0.4306632213609019,4.134366925064603,28.773006134969332,False,-3.1561,0.221,1,1,1,100.0,16.739811912225715,16.739811912225715,7.569336778639098,0.4306632213609019,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
27,71.97476792890727,72.95142372407035,603218,日月股份,confirmed_rebound,2024-08-14,9.8,2024-07-05,9.36,4.700854700854714,10.256410256410266,27.216174183514774,True,-2.1956,0.4347,1,1,1,100.0,47.95361527967258,47.95361527967258,3.2991452991452856,4.700854700854714,历史1/1次成功; 当前距低点4.70%; 最新日涨幅-2.20%; 状态confirmed_rebound; 底部已确认
28,71.61000212039167,72.54788350409477,300349,金卡智能,confirmed_rebound,2024-08-14,10.52,2024-07-25,10.05,4.676616915422874,9.55223880597014,32.59557344064386,True,-1.4981,0.7942,1,1,1,100.0,45.48693586698337,45.48693586698337,3.3233830845771264,4.676616915422874,历史1/1次成功; 当前距低点4.68%; 最新日涨幅-1.50%; 状态confirmed_rebound; 底部已确认
29,71.43003875378041,71.17269116988926,300435,中泰股份,confirmed_rebound,2024-08-14,10.62,2024-07-25,10.23,3.81231671554251,9.38416422287389,27.549575070821525,True,-1.6667,0.4524,1,1,1,100.0,27.498781082398814,27.498781082398814,4.18768328445749,3.81231671554251,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-1.67%; 状态confirmed_rebound; 底部已确认
30,71.3242684086767,70.11771452848838,002651,利君股份,bottom_area,2024-08-14,5.3,2024-08-13,5.14,3.1128404669260727,5.642023346303502,29.201101928374655,False,0.3788,5.5585,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,4.887159533073928,3.1128404669260727,历史2/3次成功; 当前距低点3.11%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
31,71.29007366885804,71.89482657246535,002768,国恩股份,bottom_area,2024-08-14,17.88,2024-07-25,17.12,4.439252336448586,7.827102803738316,27.549724925941593,True,-1.6502,0.5335,2,2,2,100.0,12.184526341764123,13.681691264459511,3.560747663551414,4.439252336448586,历史2/2次成功; 当前距低点4.44%; 最新日涨幅-1.65%; 状态bottom_area; 底部已确认
32,70.98454920753727,71.97008551367041,001218,丽臣实业,bottom_area,2024-08-14,14.43,2024-07-25,13.78,4.716981132075475,6.603773584905662,30.404040404040412,False,-0.3453,0.5552,2,2,2,100.0,25.18711018711019,29.999999999999993,3.2830188679245254,4.716981132075475,历史2/2次成功; 当前距低点4.72%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
33,70.48779434431611,70.56110458284374,000629,钒钛股份,confirmed_rebound,2024-08-14,2.31,2024-07-25,2.22,4.054054054054047,10.360360360360358,32.72727272727272,True,-1.7021,0.4725,1,1,1,100.0,27.173913043478265,27.173913043478265,3.9459459459459527,4.054054054054047,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-1.70%; 状态confirmed_rebound; 底部已确认
34,68.42483697680072,68.10349074700252,002293,罗莱生活,bottom_area,2024-08-14,7.46,2024-07-30,7.19,3.7552155771905364,5.146036161335177,29.78515625,False,-0.7979,0.0956,1,1,1,100.0,9.27624872579001,9.27624872579001,4.244784422809464,3.7552155771905364,历史1/1次成功; 当前距低点3.76%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
35,67.97061535488692,67.9261949549164,000090,天健集团,confirmed_rebound,2024-08-14,3.67,2024-07-25,3.53,3.966005665722383,9.915014164305951,28.973843058350102,True,-0.8108,0.4747,1,1,1,100.0,11.928429423459237,11.928429423459237,4.033994334277617,3.966005665722383,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-0.81%; 状态confirmed_rebound; 底部已确认
36,64.9246562831237,66.1197479954181,002320,海峡股份,confirmed_rebound,2024-08-14,5.09,2024-07-09,4.85,4.948453608247427,10.309278350515465,27.28635682158921,True,-1.5474,0.2566,1,1,1,100.0,14.259259259259249,14.259259259259249,3.0515463917525727,4.948453608247427,历史1/1次成功; 当前距低点4.95%; 最新日涨幅-1.55%; 状态confirmed_rebound; 底部已确认
37,64.91564281677898,65.76114322973268,002539,云图控股,confirmed_rebound,2024-08-14,6.72,2024-07-24,6.42,4.67289719626168,8.566978193146415,29.682365826944146,True,-1.7544,0.4856,1,1,1,100.0,8.953488372093018,8.953488372093018,3.3271028037383203,4.67289719626168,历史1/1次成功; 当前距低点4.67%; 最新日涨幅-1.75%; 状态confirmed_rebound; 底部已确认
38,61.34564643203703,60.171381031613954,600058,五矿发展,confirmed_rebound,2024-08-14,6.19,2024-07-25,6.01,2.9950083194675643,8.153078202995012,31.85941043083901,True,-1.2759,0.3617,1,2,1,50.0,99.54954954954954,99.54954954954954,5.004991680532436,2.9950083194675643,历史1/2次成功; 当前距低点3.00%; 最新日涨幅-1.28%; 状态confirmed_rebound; 底部已确认
