rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.85916332993376,89.09027009162405,300598,诚迈科技,bottom_area,2025-12-04,46.35,2025-12-04,45.51,1.8457481872116095,2.8125686662272056,28.890625000000004,False,0.2813,3.1947,5,5,5,100.0,26.22890300250812,45.24950099800398,6.15425181278839,1.8457481872116095,历史5/5次成功; 当前距低点1.85%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
2,90.72723622409615,87.34655050748461,002176,江特电机,bottom_area,2025-12-04,9.57,2025-12-04,9.38,2.0255863539445573,2.45202558635393,27.117327117327108,False,0.5252,3.3365,5,5,5,100.0,19.058534378915056,39.01808785529715,5.974413646055443,2.0255863539445573,历史5/5次成功; 当前距低点2.03%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
3,88.35303371237607,84.73053088119353,002104,恒宝股份,bottom_area,2025-12-04,17.87,2025-12-04,17.55,1.823361823361825,2.56410256410256,27.027027027027028,False,-0.7222,3.7157,4,4,4,100.0,24.988149669131648,43.85245901639344,6.176638176638175,1.823361823361825,历史4/4次成功; 当前距低点1.82%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
4,85.90645300011391,83.10251326192359,002338,奥普光电,bottom_area,2025-12-04,49.91,2025-11-21,48.8,2.2745901639344255,5.594262295081975,30.632551528073915,False,0.6656,0.919,3,3,3,100.0,15.960101267172554,20.995288574793882,5.725409836065574,2.2745901639344255,历史3/3次成功; 当前距低点2.27%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
5,85.3544880730675,81.14483061242117,300035,中科电气,bottom_area,2025-12-04,20.71,2025-12-04,20.43,1.370533529123843,2.251590797846309,29.062500000000004,False,0.1935,3.1027,1,1,1,100.0,27.686274509803933,27.686274509803933,6.629466470876157,1.370533529123843,历史1/1次成功; 当前距低点1.37%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
6,84.98749437038846,83.30175615705386,601127,赛力斯,bottom_area,2025-12-04,125.99,2025-11-24,122.37,2.9582413990357033,7.232164746261334,28.854651162790695,True,-0.6936,0.7674,9,9,9,100.0,22.02444380029711,42.19143576826195,5.041758600964297,2.9582413990357033,历史9/9次成功; 当前距低点2.96%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
7,84.93353857094759,83.94715944744016,000619,海螺新材,bottom_area,2025-12-04,6.4,2025-11-21,6.19,3.3925686591276247,7.108239095315015,27.85547785547785,True,-1.9908,3.0482,4,4,4,100.0,30.81836553898465,43.133047210300425,4.607431340872376,3.3925686591276247,历史4/4次成功; 当前距低点3.39%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
8,84.93186732263275,80.0011143166278,300358,楚天科技,bottom_area,2025-12-04,9.06,2025-12-04,8.98,0.8908685968819607,2.4498886414253773,27.580645161290324,False,-1.0917,2.4009,4,4,4,100.0,27.96932643827245,38.205499276411004,7.109131403118039,0.8908685968819607,历史4/4次成功; 当前距低点0.89%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
9,82.05468245882614,78.28911988286502,600383,金地集团,bottom_area,2025-12-04,3.26,2025-12-04,3.21,1.5576323987538885,2.8037383177570048,29.60526315789473,False,0.9288,2.1404,3,4,3,75.0,18.793127699053183,32.594936708860764,6.4423676012461115,1.5576323987538885,历史3/4次成功; 当前距低点1.56%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
10,81.4870718294676,78.25211522453827,301291,明阳电气,bottom_area,2025-12-04,40.89,2025-12-04,40.13,1.8938450037378467,2.2925492150510705,27.888589398023356,False,0.5162,1.6897,1,1,1,100.0,18.54882705946537,18.54882705946537,6.106154996262153,1.8938450037378467,历史1/1次成功; 当前距低点1.89%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
11,80.63638919451566,75.98468564019916,300072,海新能科,bottom_area,2025-12-04,4.43,2025-11-24,4.39,0.9111617312072902,7.972665148063794,31.29890453834116,True,-1.9912,1.8817,1,1,1,100.0,47.4308300395257,47.4308300395257,7.088838268792711,0.9111617312072902,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
