rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.2717586938037,84.45639062651627,002432,九安医疗,bottom_area,2024-04-19,40.55,2024-04-17,39.72,2.0896273917421913,3.57502517623364,27.75554747180793,False,0.5206,2.1971,2,2,2,100.0,37.638392901550795,65.03496503496503,7.910372608257809,2.0896273917421913,历史2/2次成功; 当前距低点2.09%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
2,86.11382019132672,79.33710881350639,301367,瑞迈特,bottom_area,2024-04-19,72.0,2024-04-19,71.5,0.6993006993006993,2.797202797202797,29.888213375171606,False,-2.4787,1.7299,4,4,4,100.0,22.05115273070954,32.411969715178486,9.300699300699302,0.6993006993006993,历史4/4次成功; 当前距低点0.70%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
3,85.74416209418843,82.04579031535768,002405,四维图新,bottom_area,2024-04-19,6.5,2024-04-16,6.33,2.6856240126382294,9.478672985781984,31.862217438105482,True,-3.4175,1.6675,4,4,4,100.0,22.145231527810978,41.62162162162163,7.314375987361771,2.6856240126382294,历史4/4次成功; 当前距低点2.69%; 最新日涨幅-3.42%; 状态bottom_area; 底部已确认
4,85.67129195636949,82.10511039381007,002370,亚太药业,bottom_area,2024-04-19,2.97,2024-04-16,2.89,2.7681660899654004,9.342560553633218,27.749999999999996,True,-1.9802,1.1947,5,5,5,100.0,13.260909026511698,15.633423180592995,7.2318339100346005,2.7681660899654004,历史5/5次成功; 当前距低点2.77%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
5,85.12244074311981,79.1356563092868,000856,冀东装备,bottom_area,2024-04-19,6.9,2024-04-19,6.82,1.1730205278592385,5.718475073313778,27.36954206602769,False,-2.4045,6.6461,2,2,2,100.0,20.269586627988584,25.237449118046136,8.826979472140762,1.1730205278592385,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
6,83.78586843059078,82.98280898876405,002685,华东重机,bottom_area,2024-04-19,2.79,2024-04-16,2.67,4.494382022471914,7.490636704119858,28.22580645161291,True,0.722,2.2417,2,2,2,100.0,62.24778046811945,109.52380952380952,5.505617977528086,4.494382022471914,历史2/2次成功; 当前距低点4.49%; 最新日涨幅0.72%; 状态bottom_area; 底部已确认
7,83.74123411148152,76.12839464680137,002459,晶澳科技,bottom_area,2024-04-19,14.78,2024-04-19,14.78,0.0,3.5182679296346504,27.832031250000007,False,-4.2126,1.6074,4,4,4,100.0,18.701046488179387,26.683937823834192,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
8,83.71306030348757,78.02226134459085,688277,天智航,bottom_area,2024-04-19,7.76,2024-04-16,7.66,1.305483028720622,6.788511749347252,29.981718464351005,False,-1.8963,0.6853,2,2,2,100.0,15.907326075665967,20.469798657718112,8.694516971279379,1.305483028720622,历史2/2次成功; 当前距低点1.31%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
9,83.70435333436208,79.4861269191402,300725,药石科技,bottom_area,2024-04-19,29.98,2024-04-16,29.31,2.285909245991135,9.757761856021846,27.053260328521656,True,-1.7049,2.4607,1,1,1,100.0,43.26881720430109,43.26881720430109,7.714090754008865,2.285909245991135,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
10,83.14736582561979,78.2079183508305,300567,精测电子,bottom_area,2024-04-19,57.0,2024-04-16,56.0,1.7857142857142856,8.017857142857146,28.19592255417361,True,-3.3898,1.4094,2,2,2,100.0,23.81369313042512,29.212752114508785,8.214285714285715,1.7857142857142856,历史2/2次成功; 当前距低点1.79%; 最新日涨幅-3.39%; 状态bottom_area; 底部已确认
11,82.85507735597385,78.94574480092791,002377,国创高新,bottom_area,2024-04-19,2.08,2024-04-18,2.03,2.4630541871921316,8.37438423645322,27.240143369175634,False,0.0,2.4939,2,2,2,100.0,12.588754557666471,14.814814814814808,7.536945812807868,2.4630541871921316,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
