rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.0190414754012,84.06066863492573,301421,波长光电,bottom_area,2024-08-29,31.05,2024-08-28,29.74,4.40484196368528,5.2790854068594495,31.045675863667988,False,2.9851,11.2332,3,3,3,100.0,47.22423823724819,56.02000000000002,5.59515803631472,4.40484196368528,历史3/3次成功; 当前距低点4.40%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
2,84.95240911740022,78.92888866653323,002110,三钢闽光,bottom_area,2024-08-29,2.66,2024-08-29,2.63,1.1406844106463974,1.5209125475285186,30.0531914893617,False,-0.3745,0.2551,2,2,2,100.0,18.761554423693642,22.90322580645161,8.859315589353603,1.1406844106463974,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
3,84.57891114627468,80.4951401085115,002682,龙洲股份,bottom_area,2024-08-29,3.41,2024-08-28,3.33,2.4024024024024047,3.3033033033032995,30.76923076923076,False,0.59,1.9134,2,2,2,100.0,20.175363365532185,26.929674099485425,7.597597597597596,2.4024024024024047,历史2/2次成功; 当前距低点2.40%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
4,84.44752826215743,82.35927184337977,000597,东北制药,bottom_area,2024-08-29,4.22,2024-08-26,4.07,3.6855036855036722,4.422604422604415,32.053422370617696,False,0.9569,2.3981,3,3,3,100.0,29.259248636172746,61.02150537634409,6.314496314496329,3.6855036855036722,历史3/3次成功; 当前距低点3.69%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
5,83.8667064008616,80.46316680707014,001218,丽臣实业,bottom_area,2024-08-29,13.83,2024-08-26,13.45,2.825278810408928,3.2713754646840245,32.07070707070708,False,0.5818,0.7504,2,2,2,100.0,25.18711018711019,29.999999999999993,7.1747211895910725,2.825278810408928,历史2/2次成功; 当前距低点2.83%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
6,83.5887528369227,77.8743137570071,001205,盛航股份,bottom_area,2024-08-29,14.2,2024-08-28,14.02,1.2838801711840209,2.853067047075609,27.806385169927918,False,-0.1406,0.5555,2,2,2,100.0,14.847099716702502,14.929577464788741,8.71611982881598,1.2838801711840209,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
7,83.06569523780452,80.61073203492278,603004,鼎龙科技,bottom_area,2024-08-29,15.4,2024-08-28,14.89,3.425117528542645,3.6265950302216194,27.1882640586797,False,2.122,2.7147,1,1,1,100.0,55.7168784029038,55.7168784029038,6.5748824714573555,3.425117528542645,历史1/1次成功; 当前距低点3.43%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
8,83.04493012977383,78.36126812679309,002357,富临运业,bottom_area,2024-08-29,5.22,2024-08-29,5.12,1.9531249999999931,2.343750000000002,28.08988764044944,False,0.3846,2.4511,3,4,3,75.0,24.02899530533914,31.941031941031934,8.046875000000007,1.9531249999999931,历史3/4次成功; 当前距低点1.95%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
9,82.77596309630965,80.13136363636366,000957,中通客车,bottom_area,2024-08-29,9.09,2024-08-29,8.8,3.2954545454545356,3.8636363636363615,31.25,False,2.1348,3.7621,3,4,3,75.0,132.3344468028054,354.54545454545456,6.704545454545466,3.2954545454545356,历史3/4次成功; 当前距低点3.30%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
10,82.63119390915209,79.4794236605443,002219,新里程,bottom_area,2024-08-29,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,-0.5714,0.775,2,2,2,100.0,34.81175156302061,45.685279187817265,7.0414201183431935,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅-0.57%; 状态bottom_area; 底部已确认
11,82.21519519437334,76.42291115040865,600011,华能国际,bottom_area,2024-08-29,6.94,2024-08-27,6.86,1.1661807580174937,3.6443148688046643,30.707070707070706,False,-1.4205,0.505,1,1,1,100.0,22.267759562841515,22.267759562841515,8.833819241982507,1.1661807580174937,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
