rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.05152829311287,83.08074261744136,300624,万兴科技,bottom_area,2022-02-08,41.03,2022-02-08,40.01,2.549362659335174,3.22419395151212,27.557486873076225,False,0.0976,3.3721,2,2,2,100.0,35.87790043400834,51.195680123425035,7.450637340664827,2.549362659335174,历史2/2次成功; 当前距低点2.55%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
2,84.31824995617883,80.79695004382124,603368,柳药集团,bottom_area,2022-02-08,16.75,2022-01-28,16.3,2.760736196319014,3.9263803680981626,30.282292557741652,False,0.9036,2.421,1,1,1,100.0,42.85714285714285,42.85714285714285,7.239263803680987,2.760736196319014,历史1/1次成功; 当前距低点2.76%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
3,81.5049291842149,77.16328238026942,688311,盟升电子,bottom_area,2022-02-08,55.7,2022-01-28,54.54,2.1268793546021336,6.784011734506789,28.882514017472943,False,-0.7838,0.9317,2,2,2,100.0,21.357888756786508,23.893805309734503,7.873120645397867,2.1268793546021336,历史2/2次成功; 当前距低点2.13%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
4,79.04912504746625,75.93942079255753,688089,嘉必优,bottom_area,2022-02-08,48.01,2022-02-08,46.66,2.8932704672096046,5.550792970424355,32.66955266955267,False,-1.7799,2.5811,1,1,1,100.0,40.83912611717973,40.83912611717973,7.106729532790395,2.8932704672096046,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
5,77.84960354723681,74.94560111936283,300648,星云股份,bottom_area,2022-02-08,46.97,2022-02-08,45.6,3.004385964912275,6.118421052631577,27.596062241981578,False,-2.5721,1.9732,2,2,2,100.0,20.191403867542057,26.78362573099414,6.995614035087725,3.004385964912275,历史2/2次成功; 当前距低点3.00%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
6,77.53778482892537,74.92541216933155,000848,承德露露,bottom_area,2022-02-08,9.35,2022-01-28,9.06,3.200883002207496,3.532008830022078,27.228915662650593,False,1.6304,0.7458,1,1,1,100.0,16.685082872928174,16.685082872928174,6.7991169977925034,3.200883002207496,历史1/1次成功; 当前距低点3.20%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
7,77.22959815423555,74.66626599040576,688356,键凯科技,bottom_area,2022-02-08,206.58,2022-02-08,200.12,3.228063162102742,4.962022786328206,30.725560786485733,False,0.6872,2.039,1,1,1,100.0,15.625,15.625,6.7719368378972575,3.228063162102742,历史1/1次成功; 当前距低点3.23%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
8,76.85067846221456,75.21005810171414,002603,以岭药业,bottom_area,2022-02-08,20.95,2022-01-26,20.17,3.867129400099145,7.635101636093203,27.757879656160455,True,-1.5508,2.0068,1,1,1,100.0,39.661898569570866,39.661898569570866,6.132870599900856,3.867129400099145,历史1/1次成功; 当前距低点3.87%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
9,76.70262626289306,74.30477050980303,300677,英科医疗,bottom_area,2022-02-08,54.26,2022-02-07,52.51,3.332698533612646,3.332698533612646,29.516778523489933,False,2.05,2.0349,1,1,1,100.0,14.964103045375621,14.964103045375621,6.667301466387354,3.332698533612646,历史1/1次成功; 当前距低点3.33%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
10,75.80186876061751,71.85011256930571,300507,苏奥传感,bottom_area,2022-02-08,9.8,2022-02-08,9.59,2.189781021897819,3.9624608967674746,30.60781476121563,False,-1.0101,5.2137,1,1,1,100.0,10.230179028132978,10.230179028132978,7.810218978102182,2.189781021897819,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
11,75.77900823064535,71.97845217291581,601966,玲珑轮胎,bottom_area,2022-02-08,30.7,2022-02-08,30.01,2.2992335888037245,5.964678440519823,27.686746987951803,False,-3.4591,0.7222,1,1,1,100.0,22.476907287033857,22.476907287033857,7.700766411196276,2.2992335888037245,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
12,75.75480369962646,74.30740486257929,000625,长安汽车,bottom_area,2022-02-08,13.04,2022-01-28,12.54,3.9872408293460926,7.0175438596491295,31.25,True,0.4622,0.9707,1,1,1,100.0,13.808139534883724,13.808139534883724,6.012759170653908,3.9872408293460926,历史1/1次成功; 当前距低点3.99%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
13,75.17867426122535,70.52918441633508,688316,青云科技,bottom_area,2022-02-08,49.3,2022-02-08,48.5,1.6494845360824684,2.4536082474226757,31.497175141242934,False,0.5302,1.8256,2,3,2,66.66666666666666,12.921196193206702,13.030303030303022,8.350515463917532,1.6494845360824684,历史2/3次成功; 当前距低点1.65%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
14,74.84226683288294,72.8378665863373,600171,上海贝岭,bottom_area,2022-02-08,21.44,2022-01-28,20.7,3.57487922705315,4.541062801932373,29.711375212224112,False,0.1869,1.443,1,1,1,100.0,10.046189376443415,10.046189376443415,6.42512077294685,3.57487922705315,历史1/1次成功; 当前距低点3.57%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
15,74.29798805405072,69.58633633110178,688127,蓝特光学,confirmed_rebound,2022-02-08,18.86,2022-02-08,18.57,1.5616585891222354,11.470113085621964,27.995347033734003,False,-7.8201,4.8903,1,1,1,100.0,10.789881259679916,10.789881259679916,8.438341410877765,1.5616585891222354,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-7.82%; 状态confirmed_rebound; 底部未确认
16,73.02048688870285,71.73446211081094,300639,凯普生物,bottom_area,2022-02-08,27.89,2022-01-28,26.8,4.067164179104477,4.067164179104477,29.934640522875817,False,1.0874,1.548,1,1,1,100.0,10.14836795252224,10.14836795252224,5.932835820895523,4.067164179104477,历史1/1次成功; 当前距低点4.07%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
17,72.98025002504923,72.79264012781258,300339,润和软件,bottom_area,2022-02-08,19.4,2022-01-27,18.5,4.864864864864858,7.945945945945939,27.450980392156865,False,1.3584,2.6261,1,1,1,100.0,25.615763546798025,25.615763546798025,5.135135135135143,4.864864864864858,历史1/1次成功; 当前距低点4.86%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
18,72.43850868709043,68.43822695824267,300573,兴齐眼药,bottom_area,2022-02-08,100.58,2022-02-08,98.59,2.0184602900902675,4.4426412415052186,28.298181818181817,False,-0.9064,2.0379,2,3,2,66.66666666666666,28.675536306353806,42.86062675283501,7.9815397099097325,2.0184602900902675,历史2/3次成功; 当前距低点2.02%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
