rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.24240890705052,76.93679431504144,688277,天智航,bottom_area,2021-07-12,26.17,2021-07-12,25.5,2.6274509803921635,4.078431372549017,30.041152263374492,False,1.4734,2.0778,1,1,1,100.0,20.469798657718112,20.469798657718112,12.372549019607835,2.6274509803921635,历史1/1次成功; 当前距低点2.63%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
2,81.28049598569883,74.87468891952007,600059,古越龙山,bottom_area,2021-07-12,12.01,2021-07-09,11.65,3.090128755364802,4.034334763948488,27.50466708151836,False,0.6706,1.7828,1,1,1,100.0,15.05474452554743,15.05474452554743,11.909871244635198,3.090128755364802,历史1/1次成功; 当前距低点3.09%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
3,79.48214912280702,69.11491228070176,002075,沙钢股份,bottom_area,2021-07-12,8.43,2021-07-12,8.43,0.0,0.0,31.961259079903154,False,-10.032,0.7436,1,1,1,100.0,30.994152046783608,30.994152046783608,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
4,74.20570542480395,70.73031465532031,600966,博汇纸业,bottom_area,2021-07-12,12.15,2021-07-05,11.58,4.922279792746116,9.41278065630397,29.47624847746651,False,1.6736,1.7065,1,1,1,100.0,15.231788079470201,15.231788079470201,10.077720207253883,4.922279792746116,历史1/1次成功; 当前距低点4.92%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
