rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.20502803350935,85.83124776386407,603030,全筑股份,bottom_area,2024-02-07,2.05,2024-02-06,2.0,2.499999999999991,9.000000000000007,27.007299270073,True,-1.4423,0.9773,4,4,4,100.0,30.006708407871198,50.5813953488372,12.500000000000009,2.499999999999991,历史4/4次成功; 当前距低点2.50%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
2,87.67968331830004,78.52693301469802,002780,三夫户外,bottom_area,2024-02-07,9.0,2024-02-07,8.86,1.5801354401805936,8.803611738148998,29.90506329113925,False,-6.0543,9.3371,2,2,2,100.0,32.20237536725683,46.28344895936571,13.419864559819406,1.5801354401805936,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-6.05%; 状态bottom_area; 底部未确认
3,86.32646068118915,76.75979061225736,600333,长春燃气,bottom_area,2024-02-07,3.39,2024-02-07,3.35,1.1940298507462697,8.656716417910449,32.730923694779115,False,-7.377,3.5039,2,2,2,100.0,17.96870253741318,19.69026548672568,13.80597014925373,1.1940298507462697,历史2/2次成功; 当前距低点1.19%; 最新日涨幅-7.38%; 状态bottom_area; 底部未确认
4,86.32315475457915,78.56061754479576,002479,富春环保,bottom_area,2024-02-07,3.36,2024-02-06,3.28,2.4390243902439046,10.365853658536594,30.801687763713087,True,-3.7249,3.3824,2,2,2,100.0,33.718242766407904,35.321100917431195,12.560975609756095,2.4390243902439046,历史2/2次成功; 当前距低点2.44%; 最新日涨幅-3.72%; 状态bottom_area; 底部已确认
5,85.59611875087275,76.10533570945799,002256,兆新股份,bottom_area,2024-02-07,1.7,2024-02-06,1.68,1.1904761904761916,11.904761904761903,27.89699570815451,True,-5.5556,2.2884,3,4,3,75.0,26.04635174055759,31.775700934579426,13.809523809523808,1.1904761904761916,历史3/4次成功; 当前距低点1.19%; 最新日涨幅-5.56%; 状态bottom_area; 底部已确认
6,84.87417223468793,75.27730158730158,000520,凤凰航运,bottom_area,2024-02-07,1.91,2024-02-07,1.89,1.0582010582010593,8.994708994709002,30.00000000000001,False,-6.3725,2.211,1,1,1,100.0,24.999999999999986,24.999999999999986,13.941798941798941,1.0582010582010593,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-6.37%; 状态bottom_area; 底部未确认
7,83.51578352453643,78.19132652765335,002553,南方精工,bottom_area,2024-02-07,7.35,2024-02-06,7.07,3.9603960396039515,14.568599717114559,32.92220113851992,True,-2.9062,6.313,3,3,3,100.0,23.500158591130926,32.14285714285715,11.039603960396049,3.9603960396039515,历史3/3次成功; 当前距低点3.96%; 最新日涨幅-2.91%; 状态bottom_area; 底部已确认
8,82.30452700229058,71.5691539150353,603230,内蒙新华,bottom_area,2024-02-07,11.29,2024-02-07,11.29,0.0,10.008857395925604,29.70112079701121,False,-9.9681,25.3591,2,2,2,100.0,27.522332876533863,31.521142229544196,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
9,81.01155090378406,75.63391047976413,002564,天沃科技,bottom_area,2024-02-07,3.27,2024-02-07,3.15,3.8095238095238133,5.71428571428572,28.73303167420815,False,3.1546,2.9591,1,1,1,100.0,27.954971857410886,27.954971857410886,11.190476190476186,3.8095238095238133,历史1/1次成功; 当前距低点3.81%; 最新日涨幅3.15%; 状态bottom_area; 底部未确认
10,80.77667230769231,70.24058461538462,603177,德创环保,bottom_area,2024-02-07,6.73,2024-02-07,6.73,0.0,11.292719167904899,28.251599147121535,False,-10.0267,2.4654,1,1,1,100.0,37.04615384615384,37.04615384615384,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
11,79.81215425148977,72.76937557572076,600981,苏豪汇鸿,bottom_area,2024-02-07,2.02,2024-02-06,1.97,2.53807106598985,13.705583756345192,31.59722222222222,True,-6.0465,1.9017,1,1,1,100.0,20.463320463320475,20.463320463320475,12.46192893401015,2.53807106598985,历史1/1次成功; 当前距低点2.54%; 最新日涨幅-6.05%; 状态bottom_area; 底部已确认
