rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.06647335594081,83.05886802940246,688221,前沿生物,confirmed_rebound,2023-03-27,13.3,2023-03-20,13.02,2.150537634408611,8.525345622119824,30.00000000000001,True,-0.6721,2.3122,5,5,5,100.0,21.032762558355284,34.87394957983194,5.849462365591389,2.150537634408611,历史5/5次成功; 当前距低点2.15%; 最新日涨幅-0.67%; 状态confirmed_rebound; 底部已确认
2,81.9763845931398,77.27115915385023,300382,斯莱克,bottom_area,2023-03-27,15.24,2023-03-27,15.1,0.9271523178807984,2.980132450331133,31.42597638510445,False,-1.6139,1.54,3,3,3,100.0,30.403583003325068,49.70059880239522,7.0728476821192015,0.9271523178807984,历史3/3次成功; 当前距低点0.93%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
3,78.67156317063832,74.84961086575291,605128,上海沿浦,bottom_area,2023-03-27,40.97,2023-03-27,40.4,1.4108910891089117,2.1287128712871275,32.10084033613445,False,-0.3163,1.3958,1,1,1,100.0,16.80883090817863,16.80883090817863,6.589108910891088,1.4108910891089117,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
4,78.3091162221915,77.04411245438156,002374,中锐股份,bottom_area,2023-03-27,4.58,2023-03-27,4.44,3.153153153153146,3.6036036036035863,28.155339805825236,False,1.5521,1.7635,2,2,2,100.0,10.82420238478892,12.068965517241388,4.846846846846854,3.153153153153146,历史2/2次成功; 当前距低点3.15%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
5,77.90038777740578,73.89315541977415,601958,金钼股份,bottom_area,2023-03-27,11.3,2023-03-24,11.16,1.2544802867383564,3.494623655913984,27.62645914396887,False,-1.2238,0.6579,1,1,1,100.0,9.749303621169918,9.749303621169918,6.745519713261644,1.2544802867383564,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
6,77.82809390078317,78.04502258009616,300681,英搏尔,confirmed_rebound,2023-03-27,31.66,2023-03-20,30.4,4.144736842105268,8.190789473684218,31.22171945701358,True,-1.1243,1.5232,4,4,4,100.0,18.521626774710526,27.487589035182385,3.855263157894732,4.144736842105268,历史4/4次成功; 当前距低点4.14%; 最新日涨幅-1.12%; 状态confirmed_rebound; 底部已确认
7,77.60926125758947,73.78924600166239,300767,震安科技,bottom_area,2023-03-27,41.26,2023-03-27,40.7,1.375921375921364,3.0958230958230906,27.939093484419253,False,-1.2446,0.849,1,1,1,100.0,10.679283541737075,10.679283541737075,6.624078624078636,1.375921375921364,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
8,75.93221208992985,70.61252417036845,000525,红太阳,bottom_area,2023-03-27,8.92,2023-03-21,8.9,0.22471910112359073,7.191011235955043,29.75532754538279,True,-4.086,1.9717,1,1,1,100.0,20.348837209302317,20.348837209302317,7.775280898876409,0.22471910112359073,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-4.09%; 状态bottom_area; 底部已确认
9,74.79449318341729,72.51547191773209,688348,昱能科技,bottom_area,2023-03-27,341.3,2023-03-24,333.33,2.3910239102391104,5.832058320583205,28.966884030175173,False,-0.1317,6.5137,1,1,1,100.0,16.27422813482398,16.27422813482398,5.60897608976089,2.3910239102391104,历史1/1次成功; 当前距低点2.39%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
10,73.82518346901475,74.0422037213013,002660,茂硕电源,bottom_area,2023-03-27,9.28,2023-03-20,8.91,4.152637485970811,7.519640852974185,28.31858407079646,True,-2.4185,4.8659,2,2,2,100.0,20.21622144792876,24.71428571428572,3.8473625140291894,4.152637485970811,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-2.42%; 状态bottom_area; 底部已确认
11,73.75457562672719,74.75842396747245,000887,中鼎股份,bottom_area,2023-03-27,12.69,2023-03-20,12.12,4.702970297029705,6.600660066006607,28.45336481700119,False,0.6344,0.9568,2,2,2,100.0,17.53331314354936,23.84615384615385,3.297029702970295,4.702970297029705,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
