rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,73.16755554517516,62.88280725083653,600223,福瑞达,bottom_area,2024-07-05,6.64,2024-07-05,6.53,1.6845329249617063,3.3690658499234263,30.45793397231097,False,-0.7474,1.0349,1,2,1,50.0,47.49216300940439,47.49216300940439,18.315467075038296,1.6845329249617063,历史1/2次成功; 当前距低点1.68%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
36,71.78888069814249,61.58203182476456,603060,国检集团,bottom_area,2024-07-05,5.78,2024-07-05,5.69,1.5817223198593997,1.7574692442882185,28.96379525593008,False,0.5217,0.1503,1,3,1,33.33333333333333,36.2098138747885,36.2098138747885,18.4182776801406,1.5817223198593997,历史1/3次成功; 当前距低点1.58%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
37,71.4641632546446,61.64159944124323,002612,朗姿股份,bottom_area,2024-07-05,13.53,2024-07-05,13.28,1.8825301204819278,2.2590361445783187,30.325288562434416,False,0.7446,0.9122,1,2,1,50.0,20.77294685990338,20.77294685990338,18.117469879518072,1.8825301204819278,历史1/2次成功; 当前距低点1.88%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
38,71.44175924544308,62.23225710014949,300446,航天智造,bottom_area,2024-07-05,11.42,2024-07-05,11.15,2.421524663677126,3.0493273542600883,28.479794740218082,False,0.5282,2.4217,1,3,1,33.33333333333333,51.92697768762679,51.92697768762679,17.578475336322875,2.421524663677126,历史1/3次成功; 当前距低点2.42%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
39,71.43817954591746,62.25260124436498,002860,星帅尔,bottom_area,2024-07-05,7.97,2024-07-05,7.78,2.4421593830334127,2.8277634961439557,27.49301025163094,False,1.0139,1.0028,1,2,1,50.0,30.917874396135282,30.917874396135282,17.557840616966587,2.4421593830334127,历史1/2次成功; 当前距低点2.44%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
40,70.70095999999998,63.57999999999999,000717,中南股份,bottom_area,2024-07-05,1.75,2024-06-24,1.68,4.1666666666666705,7.738095238095245,29.411764705882355,True,1.7442,0.447,1,2,1,50.0,56.020942408376975,56.020942408376975,15.83333333333333,4.1666666666666705,历史1/2次成功; 当前距低点4.17%; 最新日涨幅1.74%; 状态bottom_area; 底部已确认
41,70.34574393982362,61.90285770551688,603233,大参林,bottom_area,2024-07-05,14.18,2024-07-05,13.77,2.9774872912127828,3.4858387799564303,32.334152334152336,False,0.5674,1.1969,2,5,2,40.0,23.93295015850551,27.64192139737992,17.022512708787218,2.9774872912127828,历史2/5次成功; 当前距低点2.98%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
42,70.18019111128751,62.09764101139205,601908,京运通,bottom_area,2024-07-05,2.52,2024-07-05,2.44,3.2786885245901667,3.688524590163929,30.28571428571429,False,1.6129,0.6816,1,2,1,50.0,40.33898305084744,40.33898305084744,16.721311475409834,3.2786885245901667,历史1/2次成功; 当前距低点3.28%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
43,69.92371817507563,60.758958996789005,002838,道恩股份,bottom_area,2024-07-05,8.95,2024-07-05,8.75,2.2857142857142776,3.3142857142857043,30.44515103338633,False,-0.1116,0.4694,2,5,2,40.0,31.77627724848148,38.59649122807017,17.714285714285722,2.2857142857142776,历史2/5次成功; 当前距低点2.29%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
44,69.60703201109972,60.14701591563147,001201,东瑞股份,bottom_area,2024-07-05,16.48,2024-07-03,16.16,1.980198019801982,6.311881188118809,31.380042462845015,False,0.1215,1.8315,1,3,1,33.33333333333333,33.37921541637991,33.37921541637991,18.019801980198018,1.980198019801982,历史1/3次成功; 当前距低点1.98%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
