rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.12292192881749,87.6046153846154,300735,光弘科技,bottom_area,2024-01-23,18.09,2024-01-22,17.55,3.0769230769230718,8.660968660968658,27.178423236514526,False,2.6092,3.0496,3,3,3,100.0,50.43111523258737,93.48973607038124,11.923076923076929,3.0769230769230718,历史3/3次成功; 当前距低点3.08%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
2,94.31211799659053,83.77926665546438,688176,亚虹医药,bottom_area,2024-01-23,7.97,2024-01-23,7.88,1.1421319796954297,2.6649746192893398,27.83882783882784,False,0.1256,1.846,2,2,2,100.0,22.38348155467721,25.473484848484844,13.85786802030457,1.1421319796954297,历史2/2次成功; 当前距低点1.14%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,93.17082724019848,82.80725446820857,300538,同益股份,bottom_area,2024-01-23,14.71,2024-01-22,14.54,1.169188445667137,9.697386519944981,28.899755501222497,False,-0.7422,3.1242,3,3,3,100.0,23.295721098546444,30.150753768844226,13.830811554332861,1.169188445667137,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
4,92.8696294026722,84.62910627542182,001309,德明利,bottom_area,2024-01-23,69.45,2024-01-23,67.75,2.5092250922509267,3.5867158671586816,29.27974947807933,False,0.9888,1.7987,3,3,3,100.0,27.043760676096344,45.392,12.490774907749072,2.5092250922509267,历史3/3次成功; 当前距低点2.51%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
5,90.7067341985206,80.99829383886255,002657,中科金财,bottom_area,2024-01-23,14.98,2024-01-23,14.77,1.4218009478673044,3.114421123899803,31.110074626865682,False,-0.1333,2.7015,1,1,1,100.0,56.540447504302946,56.540447504302946,13.578199052132694,1.4218009478673044,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
6,90.66842643290049,82.65376623376626,002577,雷柏科技,bottom_area,2024-01-23,15.0,2024-01-22,14.63,2.5290498974709448,10.731373889268616,28.634146341463413,False,0.0667,2.4463,1,1,1,100.0,50.0,50.0,12.470950102529056,2.5290498974709448,历史1/1次成功; 当前距低点2.53%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
7,90.52157884615383,82.57384615384615,002426,胜利精密,bottom_area,2024-01-23,2.0,2024-01-23,1.95,2.5641025641025665,3.076923076923068,29.090909090909093,False,0.5025,0.8667,1,1,1,100.0,51.31578947368419,51.31578947368419,12.435897435897433,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
8,88.70867488151657,79.9177251184834,300636,同和药业,bottom_area,2024-01-23,8.6,2024-01-23,8.44,1.8957345971564,3.31753554502371,29.9585062240664,False,-0.6928,1.0403,1,1,1,100.0,122.63187748156552,122.63187748156552,13.104265402843598,1.8957345971564,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
9,88.48962517312418,79.67593133016854,688155,先惠技术,bottom_area,2024-01-23,45.86,2024-01-22,45.02,1.865837405597504,11.594846734784536,27.79470729751403,False,-0.7574,0.4686,2,2,2,100.0,31.66688502650995,38.11460912628228,13.134162594402495,1.865837405597504,历史2/2次成功; 当前距低点1.87%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
10,88.34731966733548,81.3805488850772,300580,贝斯特,bottom_area,2024-01-23,24.04,2024-01-23,23.32,3.0874785591766676,4.2024013722126945,27.779498296686278,False,1.1785,1.4289,1,1,1,100.0,53.89266817838245,53.89266817838245,11.912521440823332,3.0874785591766676,历史1/1次成功; 当前距低点3.09%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
11,88.14202385769589,80.18004076989098,002213,大为股份,bottom_area,2024-01-23,11.45,2024-01-23,11.18,2.4150268336314813,3.3094812164579697,27.07110241356817,False,0.0,1.6097,2,2,2,100.0,18.636031992315928,20.248254460822338,12.584973166368519,2.4150268336314813,历史2/2次成功; 当前距低点2.42%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,88.13777629633282,78.83672063807484,002347,泰尔股份,bottom_area,2024-01-23,4.7,2024-01-23,4.63,1.5118790496760321,3.887688984881203,31.50887573964497,False,-0.4237,7.2668,2,2,2,100.0,22.816155222237516,29.585798816568047,13.488120950323967,1.5118790496760321,历史2/2次成功; 当前距低点1.51%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
13,88.06526369936857,79.48557764307364,002609,捷顺科技,bottom_area,2024-01-23,8.69,2024-01-22,8.52,1.995305164319248,8.802816901408452,31.345688960515716,False,1.1641,2.6287,1,1,1,100.0,26.42405063291139,26.42405063291139,13.004694835680752,1.995305164319248,历史1/1次成功; 当前距低点2.00%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
14,87.86054741022892,81.11079627714581,000029,深深房A,bottom_area,2024-01-23,9.98,2024-01-23,9.67,3.205791106515,3.826266804550147,27.727952167414056,False,1.1145,0.4363,1,1,1,100.0,52.42165242165242,52.42165242165242,11.794208893485001,3.205791106515,历史1/1次成功; 当前距低点3.21%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
15,87.38995714538964,79.23510343427125,603289,泰瑞机器,bottom_area,2024-01-23,8.22,2024-01-23,8.04,2.2388059701492726,3.9800995024875663,30.32928942807626,False,-2.0262,2.134,2,2,2,100.0,33.86871530221285,40.702947845804985,12.761194029850726,2.2388059701492726,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
16,86.84165615982796,78.74616615178472,002676,顺威股份,bottom_area,2024-01-23,4.1,2024-01-23,4.01,2.244389027431418,3.740648379052378,31.217838765008583,False,-1.4423,1.6978,2,2,2,100.0,31.308457711442777,39.33333333333333,12.755610972568581,2.244389027431418,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
17,86.80522423200365,78.9744778628341,002151,北斗星通,bottom_area,2024-01-23,26.64,2024-01-23,26.01,2.4221453287197194,3.344867358708179,28.641975308641975,False,0.9091,1.1087,1,1,1,100.0,28.90843662534986,28.90843662534986,12.577854671280281,2.4221453287197194,历史1/1次成功; 当前距低点2.42%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
