rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.24485797445799,84.66175824175825,002663,普邦股份,bottom_area,2022-06-01,1.85,2022-05-31,1.82,1.6483516483516498,3.296703296703287,30.798479087452467,False,0.5435,2.0287,1,1,1,100.0,66.45569620253163,66.45569620253163,8.35164835164835,1.6483516483516498,历史1/1次成功; 当前距低点1.65%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
2,86.59724131708671,80.79128991060023,002795,永和智控,bottom_area,2022-06-01,8.21,2022-06-01,8.1,1.3580246913580396,3.9506172839506206,29.503916449086166,False,0.7362,2.0891,1,1,1,100.0,25.632183908045985,25.632183908045985,8.64197530864196,1.3580246913580396,历史1/1次成功; 当前距低点1.36%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
3,86.17628767123293,80.41671232876716,002137,实益达,confirmed_rebound,2022-06-01,5.18,2022-05-31,5.11,1.3698630136986183,14.285714285714276,32.8515111695138,False,-6.8345,17.3569,2,2,2,100.0,55.55040286140998,89.3034825870647,8.630136986301382,1.3698630136986183,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-6.83%; 状态confirmed_rebound; 底部未确认
4,84.46868147334088,78.4221164221039,603088,宁波精达,bottom_area,2022-06-01,6.42,2022-05-31,6.35,1.102362204724414,8.34645669291339,32.66171792152704,False,-1.6845,1.6551,1,1,1,100.0,32.23388305847077,32.23388305847077,8.897637795275587,1.102362204724414,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
5,83.73353263180431,79.56938137979368,688317,之江生物,bottom_area,2022-06-01,39.21,2022-05-31,38.32,2.3225469728601267,6.889352818371609,27.67081917704794,False,-0.051,6.2113,2,2,2,100.0,36.69241117158478,38.96296296296296,7.677453027139874,2.3225469728601267,历史2/2次成功; 当前距低点2.32%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
6,79.67701758251313,77.45025368637661,688188,柏楚电子,bottom_area,2022-06-01,210.15,2022-05-26,203.02,3.5119692641119076,5.900896463402614,30.629399302945398,False,0.7093,1.2451,1,1,1,100.0,34.07281509974057,34.07281509974057,6.488030735888092,3.5119692641119076,历史1/1次成功; 当前距低点3.51%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
7,77.47009473918887,77.1740780713392,605117,德业股份,confirmed_rebound,2022-06-01,195.01,2022-05-26,186.08,4.799011177987951,10.167669819432493,30.567164179104473,True,-4.4115,2.6337,4,4,4,100.0,32.074320199740406,59.18895599654874,5.200988822012049,4.799011177987951,历史4/4次成功; 当前距低点4.80%; 最新日涨幅-4.41%; 状态confirmed_rebound; 底部已确认
8,76.3036551228485,73.86395721925136,601515,衢州东峰,bottom_area,2022-06-01,4.39,2022-05-27,4.25,3.2941176470588163,3.9999999999999982,28.571428571428577,False,0.2283,0.7275,1,1,1,100.0,12.121212121212132,12.121212121212132,6.705882352941184,3.2941176470588163,历史1/1次成功; 当前距低点3.29%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
9,75.70789959935709,72.01653006967364,605077,华康股份,bottom_area,2022-06-01,20.68,2022-05-26,20.2,2.3762376237623783,4.702970297029699,32.396251673360105,False,-1.0053,0.7738,1,1,1,100.0,13.410493827160492,13.410493827160492,7.6237623762376225,2.3762376237623783,历史1/1次成功; 当前距低点2.38%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
10,72.4964156285391,65.905832389581,600062,华润双鹤,bottom_area,2022-06-01,24.68,2022-06-01,24.68,0.0,7.333873581847644,28.10952519662103,False,-9.9927,7.1606,1,1,1,100.0,13.741034352585885,13.741034352585885,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
11,66.58565597505293,60.53241452277538,002309,中利集团,bottom_area,2022-06-01,4.38,2022-06-01,4.38,0.0,0.0,32.9249617151608,False,-4.9892,0.0306,2,3,2,66.66666666666666,23.740579871552146,30.136986301369873,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
