rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.53012841926027,77.16894108787169,688025,杰普特,bottom_area,2022-10-13,47.49,2022-10-12,46.57,1.975520721494528,8.653639682198841,28.900763358778626,True,-5.5113,3.0759,2,2,2,100.0,20.554453402576446,23.866292660121555,13.02447927850547,1.975520721494528,历史2/2次成功; 当前距低点1.98%; 最新日涨幅-5.51%; 状态bottom_area; 底部已确认
2,83.43727588807063,76.33941304194633,601155,新城控股,bottom_area,2022-10-13,16.59,2022-10-12,16.15,2.7244582043343737,4.024767801857599,29.321663019693666,False,-1.25,0.8005,2,2,2,100.0,24.2536438055306,24.642857142857142,12.275541795665626,2.7244582043343737,历史2/2次成功; 当前距低点2.72%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
3,82.36583528493362,77.99714285714285,300446,航天智造,bottom_area,2022-10-13,9.15,2022-10-10,8.75,4.571428571428576,5.942857142857138,32.69230769230769,False,0.1094,1.3936,1,1,1,100.0,51.92697768762679,51.92697768762679,10.428571428571423,4.571428571428576,历史1/1次成功; 当前距低点4.57%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
4,80.300024567222,75.84424572317262,000957,中通客车,bottom_area,2022-10-13,13.43,2022-09-30,12.86,4.432348367029552,7.931570762052888,29.534246575342472,True,-2.3983,8.2702,1,1,1,100.0,354.54545454545456,354.54545454545456,10.567651632970449,4.432348367029552,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
5,78.77423549423546,74.30153846153844,000762,西藏矿业,bottom_area,2022-10-13,40.7,2022-10-12,39.0,4.358974358974367,6.641025641025649,29.66636609558161,False,-1.6195,2.9212,1,1,1,100.0,71.15671641791043,71.15671641791043,10.641025641025633,4.358974358974367,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
6,78.77076902757265,73.64080877234605,002677,浙江美大,bottom_area,2022-10-13,11.24,2022-10-11,10.82,3.88170055452865,4.8059149722735635,27.81854569713142,False,0.0,0.3937,1,1,1,100.0,18.124118476727787,18.124118476727787,11.118299445471349,3.88170055452865,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,77.55065330242803,72.67407804085566,002561,徐家汇,bottom_area,2022-10-13,8.04,2022-10-12,7.73,4.0103492884864,6.080206985769713,29.147571035747017,False,-1.107,4.3491,1,1,1,100.0,36.976744186046524,36.976744186046524,10.9896507115136,4.0103492884864,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
8,77.200694377361,72.81734093067425,600126,杭钢股份,bottom_area,2022-10-13,4.07,2022-10-11,3.9,4.358974358974368,5.1282051282051215,31.698774080560423,False,0.0,0.2152,1,1,1,100.0,19.54732510288064,19.54732510288064,10.641025641025632,4.358974358974368,历史1/1次成功; 当前距低点4.36%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,75.36774416378032,71.526620789569,603165,荣晟环保,bottom_area,2022-10-13,10.94,2022-10-11,10.45,4.6889952153110075,6.0287081339713,28.668941979522188,False,0.7366,0.7575,1,1,1,100.0,16.653386454183263,16.653386454183263,10.311004784688993,4.6889952153110075,历史1/1次成功; 当前距低点4.69%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
10,73.83643837520425,70.01557089136354,002805,丰元股份,bottom_area,2022-10-13,45.06,2022-10-12,43.06,4.644681839294009,9.498374361356237,27.532817233254796,True,-3.1593,5.2356,3,4,3,75.0,35.647556370719805,50.09389671361502,10.35531816070599,4.644681839294009,历史3/4次成功; 当前距低点4.64%; 最新日涨幅-3.16%; 状态bottom_area; 底部已确认
11,73.06573170398612,69.01466538643963,000683,博源化工,bottom_area,2022-10-13,7.3,2022-10-12,6.99,4.4349070100143,6.43776824034335,28.891149542217697,False,-0.2732,1.0271,1,1,1,100.0,22.50673854447439,22.50673854447439,10.5650929899857,4.4349070100143,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
12,72.97319066465785,68.53674685279825,002394,联发股份,bottom_area,2022-10-13,7.06,2022-10-12,6.78,4.129793510324474,7.522123893805306,27.79552715654952,False,-1.2587,3.372,1,1,1,100.0,16.197183098591555,16.197183098591555,10.870206489675526,4.129793510324474,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
13,72.39217426157734,68.81219789032139,002221,东华能源,bottom_area,2022-10-13,7.9,2022-10-11,7.54,4.774535809018572,6.233421750663127,27.360308285163782,False,-1.1264,0.3854,1,1,1,100.0,25.581395348837223,25.581395348837223,10.225464190981427,4.774535809018572,历史1/1次成功; 当前距低点4.77%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
14,64.24752685317493,58.91901536527022,601919,中远海控,bottom_area,2022-10-13,11.19,2022-10-10,10.88,2.8492647058823413,5.055147058823519,28.13738441215323,False,-1.2357,0.6922,1,2,1,50.0,40.45881126173098,40.45881126173098,12.150735294117657,2.8492647058823413,历史1/2次成功; 当前距低点2.85%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
15,62.61081987664385,56.94100159423303,000715,中兴商业,bottom_area,2022-10-13,4.69,2022-10-12,4.58,2.401746724890837,5.458515283842795,28.881987577639755,False,-2.2917,3.2411,1,2,1,50.0,24.33862433862435,24.33862433862435,12.598253275109162,2.401746724890837,历史1/2次成功; 当前距低点2.40%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
16,61.47264231291527,57.00708715262621,002774,快意电梯,bottom_area,2022-10-13,6.0,2022-10-11,5.8,3.448275862068969,5.51724137931035,32.00468933177022,False,0.3344,1.9364,1,2,1,50.0,15.049226441631497,15.049226441631497,11.55172413793103,3.448275862068969,历史1/2次成功; 当前距低点3.45%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
17,61.39051652504137,56.181100917431195,000530,冰山冷热,bottom_area,2022-10-13,4.88,2022-10-11,4.75,2.7368421052631557,7.578947368421058,28.030303030303028,True,-3.7475,6.0227,1,2,1,50.0,25.382262996941883,25.382262996941883,12.263157894736844,2.7368421052631557,历史1/2次成功; 当前距低点2.74%; 最新日涨幅-3.75%; 状态bottom_area; 底部已确认
18,57.885899907919,55.226316758747714,000889,中嘉博创,bottom_area,2022-10-13,1.9,2022-10-12,1.81,4.972375690607727,7.182320441988945,28.74015748031496,True,0.0,1.8756,1,3,1,33.33333333333333,34.408602150537625,34.408602150537625,10.027624309392271,4.972375690607727,历史1/3次成功; 当前距低点4.97%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
19,51.91472523389631,49.47941049842687,002745,木林森,bottom_area,2022-10-13,8.32,2022-10-11,7.93,4.918032786885253,6.1790668348045426,30.316344463971888,False,-0.3593,1.555,1,2,1,50.0,15.06734006734006,15.06734006734006,10.081967213114746,4.918032786885253,历史1/2次成功; 当前距低点4.92%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
