rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.54258252822972,83.35527489569724,002636,金安国纪,bottom_area,2025-08-07,11.89,2025-07-25,11.67,1.8851756640959778,7.112253641816624,29.698795180722897,True,-0.7513,2.6972,2,2,2,100.0,42.49180327868853,69.0,13.114824335904022,1.8851756640959778,历史2/2次成功; 当前距低点1.89%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
2,84.21135998361122,75.94915912655327,600620,天宸股份,bottom_area,2025-08-07,6.26,2025-08-04,6.14,1.9543973941368098,3.094462540716619,27.078384798099762,False,-0.4769,1.0199,1,1,1,100.0,29.38271604938273,29.38271604938273,13.045602605863191,1.9543973941368098,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
3,83.92123864020783,73.15662502439974,603839,安正时尚,bottom_area,2025-08-07,7.53,2025-08-07,7.52,0.13297872340426428,1.5957446808510654,27.552986512524097,False,-1.8253,4.5527,1,1,1,100.0,31.88073394495412,31.88073394495412,14.867021276595734,0.13297872340426428,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
4,83.15363748038322,72.42052829886163,001331,胜通能源,bottom_area,2025-08-07,11.98,2025-08-07,11.97,0.08354218880534492,2.923976608187131,29.2971057294743,False,-4.3895,36.3481,2,2,2,100.0,20.865615534074305,23.35390946502057,14.916457811194656,0.08354218880534492,历史2/2次成功; 当前距低点0.08%; 最新日涨幅-4.39%; 状态bottom_area; 底部未确认
5,82.32138449958481,71.6964838768682,001226,拓山重工,bottom_area,2025-08-07,35.69,2025-08-07,35.66,0.08412787436904413,1.8508132361189114,31.449442522106892,False,-1.6804,4.4869,3,4,3,75.0,27.598362529191544,41.451766953199616,14.915872125630955,0.08412787436904413,历史3/4次成功; 当前距低点0.08%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
6,81.72332154675486,71.95507153709318,605033,美邦股份,bottom_area,2025-08-07,21.13,2025-08-04,20.99,0.6669842782277302,1.9533111005240598,32.50803858520901,False,-0.8912,2.6066,1,1,1,100.0,31.96664350243223,31.96664350243223,14.333015721772268,0.6669842782277302,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
7,80.86764034471594,75.81642523676135,603928,兴业股份,bottom_area,2025-08-07,15.73,2025-08-01,15.12,4.034391534391543,4.828042328042331,32.16689098250337,False,0.898,3.3072,1,1,1,100.0,31.69267707082834,31.69267707082834,10.965608465608456,4.034391534391543,历史1/1次成功; 当前距低点4.03%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
8,80.5109805113824,71.0693187704436,002987,京北方,bottom_area,2025-08-07,20.06,2025-08-04,19.9,0.8040201005025134,2.41206030150754,28.158844765342966,False,-0.7422,2.4309,1,1,1,100.0,28.88432580424366,28.88432580424366,14.195979899497486,0.8040201005025134,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
9,80.2650735589383,74.552427773344,603511,爱慕股份,bottom_area,2025-08-07,15.53,2025-08-04,15.0,3.533333333333329,4.066666666666663,29.906542056074763,False,0.1935,1.0925,1,1,1,100.0,18.754988028731056,18.754988028731056,11.466666666666669,3.533333333333329,历史1/1次成功; 当前距低点3.53%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
10,79.80173099087943,72.81350182823614,300963,中洲特材,bottom_area,2025-08-07,19.5,2025-08-01,19.01,2.5775907417148787,6.049447659126767,27.93783169067475,False,-1.2658,4.6754,1,1,1,100.0,20.163487738419626,20.163487738419626,12.422409258285121,2.5775907417148787,历史1/1次成功; 当前距低点2.58%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
11,79.74669647604634,72.20643587218647,002658,雪迪龙,bottom_area,2025-08-07,8.02,2025-08-01,7.85,2.1656050955414003,2.292993630573245,31.50087260034905,False,0.3755,2.8845,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,12.834394904458598,2.1656050955414003,历史2/3次成功; 当前距低点2.17%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
