rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.77845598084188,84.99351585014412,300735,光弘科技,bottom_area,2024-01-26,17.75,2024-01-24,17.35,2.305475504322758,7.3775216138328386,28.008298755186722,True,-3.794,3.5542,3,3,3,100.0,50.43111523258737,93.48973607038124,17.694524495677243,2.305475504322758,历史3/3次成功; 当前距低点2.31%; 最新日涨幅-3.79%; 状态bottom_area; 底部已确认
2,94.4251343863861,80.46982969327117,300354,东华测试,bottom_area,2024-01-26,37.25,2024-01-26,36.8,1.2228260869565295,7.1739130434782625,28.307032924215864,False,-4.7802,3.8985,2,2,2,100.0,38.26813533081753,39.34343434343434,18.77717391304347,1.2228260869565295,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
3,91.71197943666306,78.69616438356164,300580,贝斯特,bottom_area,2024-01-26,22.25,2024-01-25,21.9,1.5981735159817416,7.8082191780821955,32.177144626819455,False,-4.1361,2.5294,1,1,1,100.0,53.89266817838245,53.89266817838245,18.40182648401826,1.5981735159817416,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
4,85.07808609465125,71.19647079091772,688037,芯源微,bottom_area,2024-01-26,100.72,2024-01-26,100.49,0.22887849537267788,5.7717185789630925,27.381124439947968,False,-5.7017,2.5565,4,5,4,80.0,26.066203012728074,34.08866995073892,19.771121504627324,0.22887849537267788,历史4/5次成功; 当前距低点0.23%; 最新日涨幅-5.70%; 状态bottom_area; 底部未确认
5,84.47045823250805,76.14694868238558,002577,雷柏科技,bottom_area,2024-01-26,15.04,2024-01-24,14.42,4.299583911234391,8.044382801664355,29.65853658536585,True,-2.8424,1.977,1,1,1,100.0,50.0,50.0,15.700416088765609,4.299583911234391,历史1/1次成功; 当前距低点4.30%; 最新日涨幅-2.84%; 状态bottom_area; 底部已确认
6,83.75174041864446,73.05570160145018,002304,洋河股份,bottom_area,2024-01-26,94.83,2024-01-24,92.52,2.4967574578469547,4.755728491137058,27.53759398496241,False,-1.4241,0.5611,1,1,1,100.0,20.474777448071226,20.474777448071226,17.503242542153046,2.4967574578469547,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
7,81.7125619573966,72.2687330754352,688160,步科股份,bottom_area,2024-01-26,43.16,2024-01-24,41.8,3.2535885167464107,8.755980861244028,28.91156462585034,True,-4.344,1.325,1,1,1,100.0,26.542553191489354,26.542553191489354,16.74641148325359,3.2535885167464107,历史1/1次成功; 当前距低点3.25%; 最新日涨幅-4.34%; 状态bottom_area; 底部已确认
8,81.66553840608981,72.43239761163909,002399,海普瑞,bottom_area,2024-01-26,9.1,2024-01-24,8.8,3.409090909090897,6.7045454545454515,32.15111796453354,False,-2.7778,0.4999,1,1,1,100.0,28.307123034227555,28.307123034227555,16.590909090909104,3.409090909090897,历史1/1次成功; 当前距低点3.41%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
9,80.5603752502379,71.26742512640998,688315,诺禾致源,bottom_area,2024-01-26,17.7,2024-01-24,17.14,3.26721120186697,7.4679113185530985,27.24957555178268,True,-2.6403,1.1366,2,3,2,66.66666666666666,54.319731958499396,86.2826357231662,16.73278879813303,3.26721120186697,历史2/3次成功; 当前距低点3.27%; 最新日涨幅-2.64%; 状态bottom_area; 底部已确认
10,79.74427227721897,71.08740595235449,300593,新雷能,bottom_area,2024-01-26,11.25,2024-01-24,10.85,3.6866359447004644,7.834101382488476,31.11111111111111,True,-3.2674,1.6555,1,1,1,100.0,25.499655410062033,25.499655410062033,16.313364055299537,3.6866359447004644,历史1/1次成功; 当前距低点3.69%; 最新日涨幅-3.27%; 状态bottom_area; 底部已确认
11,78.75945991380684,71.46435629580279,603075,热威股份,bottom_area,2024-01-26,20.67,2024-01-24,19.75,4.658227848101274,7.240506329113923,29.590017825311943,True,-1.5245,6.0761,1,1,1,100.0,29.221052631578953,29.221052631578953,15.341772151898727,4.658227848101274,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
12,76.76616297971567,65.25919697141337,300604,长川科技,bottom_area,2024-01-26,27.88,2024-01-26,27.58,1.0877447425670803,8.484408992023218,28.917525773195873,False,-7.0357,4.2339,2,4,2,50.0,29.834704217560827,36.28082648300379,18.912255257432918,1.0877447425670803,历史2/4次成功; 当前距低点1.09%; 最新日涨幅-7.04%; 状态bottom_area; 底部未确认
13,71.1125614198397,63.69869863351598,688107,安路科技,bottom_area,2024-01-26,29.47,2024-01-24,28.35,3.950617283950608,8.818342151675484,31.521739130434778,True,-3.6928,0.5714,2,4,2,50.0,47.34465613399662,67.95615731785945,16.049382716049394,3.950617283950608,历史2/4次成功; 当前距低点3.95%; 最新日涨幅-3.69%; 状态bottom_area; 底部已确认
14,70.71202328414087,62.379926526122375,603348,文灿股份,bottom_area,2024-01-26,28.15,2024-01-24,27.3,3.1135531135531056,6.666666666666668,32.923832923832926,False,-2.7634,1.096,2,4,2,50.0,28.97219153238415,31.539888682745836,16.886446886446898,3.1135531135531056,历史2/4次成功; 当前距低点3.11%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
15,69.93089228810629,60.058513639037116,300661,圣邦股份,bottom_area,2024-01-26,64.85,2024-01-24,63.8,1.6457680250783657,5.4858934169279,28.715083798882684,False,-1.3838,0.6904,1,2,1,50.0,31.832606108687024,31.832606108687024,18.354231974921635,1.6457680250783657,历史1/2次成功; 当前距低点1.65%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
16,67.28079025739433,61.31540034465897,688320,禾川科技,bottom_area,2024-01-26,30.63,2024-01-24,29.2,4.897260273972602,8.184931506849317,29.074568860820992,True,-2.8544,2.0167,2,4,2,50.0,35.920181555465064,38.29133374308544,15.102739726027398,4.897260273972602,历史2/4次成功; 当前距低点4.90%; 最新日涨幅-2.85%; 状态bottom_area; 底部已确认
17,66.59832387391835,59.73184402924454,688246,嘉和美康,bottom_area,2024-01-26,25.61,2024-01-23,24.62,4.021121039805029,8.85458976441917,29.677235075692654,True,-2.8452,1.075,1,2,1,50.0,58.0508474576271,58.0508474576271,15.978878960194972,4.021121039805029,历史1/2次成功; 当前距低点4.02%; 最新日涨幅-2.85%; 状态bottom_area; 底部已确认
18,66.36743525950845,58.05501295066345,300421,力星股份,bottom_area,2024-01-26,9.68,2024-01-23,9.43,2.651113467656416,6.7868504772004306,28.015267175572518,False,-3.1031,4.1024,1,2,1,50.0,43.59974009096816,43.59974009096816,17.348886532343585,2.651113467656416,历史1/2次成功; 当前距低点2.65%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
19,65.81711039780693,57.06373360073959,688017,绿的谐波,bottom_area,2024-01-26,111.88,2024-01-25,109.51,2.1641859190941375,7.022189754360331,29.11974110032362,False,-2.7638,1.4512,1,2,1,50.0,22.08643815201191,22.08643815201191,17.835814080905866,2.1641859190941375,历史1/2次成功; 当前距低点2.16%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
20,65.64334959511754,57.081173560971756,688220,翱捷科技,bottom_area,2024-01-26,52.8,2024-01-23,51.6,2.325581395348829,7.84883720930232,27.067137809187276,True,-3.5088,0.74,1,2,1,50.0,25.180102915951984,25.180102915951984,17.67441860465117,2.325581395348829,历史1/2次成功; 当前距低点2.33%; 最新日涨幅-3.51%; 状态bottom_area; 底部已确认
21,64.0713661470933,57.3312517703454,002708,光洋股份,bottom_area,2024-01-26,8.54,2024-01-23,8.22,3.892944038929422,10.948905109489033,31.38564273789649,True,-2.7335,11.325,1,2,1,50.0,35.522388059701484,35.522388059701484,16.10705596107058,3.892944038929422,历史1/2次成功; 当前距低点3.89%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
22,63.46375627566762,55.03314658591103,300682,朗新科技,bottom_area,2024-01-26,12.22,2024-01-24,11.96,2.173913043478259,6.187290969899652,27.734138972809664,False,-3.2462,1.0859,1,2,1,50.0,21.503593145384194,21.503593145384194,17.826086956521742,2.173913043478259,历史1/2次成功; 当前距低点2.17%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
23,63.3978292320627,55.49186473429953,002735,王子新材,bottom_area,2024-01-26,11.09,2024-01-23,10.8,2.685185185185177,7.870370370370367,28.618638466622603,True,-3.313,4.4002,1,2,1,50.0,21.043478260869563,21.043478260869563,17.314814814814824,2.685185185185177,历史1/2次成功; 当前距低点2.69%; 最新日涨幅-3.31%; 状态bottom_area; 底部已确认
24,63.07400380914194,53.31943965517242,600156,华升股份,bottom_area,2024-01-26,5.16,2024-01-26,5.12,0.7812500000000007,8.203124999999998,29.08587257617728,False,-7.027,18.8018,1,2,1,50.0,35.05747126436782,35.05747126436782,19.21875,0.7812500000000007,历史1/2次成功; 当前距低点0.78%; 最新日涨幅-7.03%; 状态bottom_area; 底部未确认
