rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.62875272035902,84.66723227789839,688111,金山办公,bottom_area,2025-04-01,295.48,2025-03-31,292.44,1.039529476131863,4.270961564765425,27.251921689594273,False,-1.2169,0.9124,5,5,5,100.0,15.039567115478667,27.68058076225045,6.960470523868137,1.039529476131863,历史5/5次成功; 当前距低点1.04%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
2,89.4683044822259,86.01138747371301,603028,赛福天,bottom_area,2025-04-01,6.27,2025-03-31,6.15,1.951219512195109,5.040650406504058,32.713347921225385,False,0.1597,5.9805,3,3,3,100.0,27.635311621063757,43.67816091954023,6.048780487804891,1.951219512195109,历史3/3次成功; 当前距低点1.95%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
3,88.81291981831926,87.10973565851671,002553,南方精工,bottom_area,2025-04-01,20.99,2025-03-31,20.38,2.99313052011776,6.427870461236518,28.94002789400279,False,2.9931,36.8964,8,8,8,100.0,29.64555507733978,83.5926449787836,5.006869479882241,2.99313052011776,历史8/8次成功; 当前距低点2.99%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
4,86.86360239376711,83.62824374125567,002725,跃岭股份,bottom_area,2025-04-01,11.58,2025-03-31,11.35,2.0264317180616778,3.87665198237885,29.10680824484698,False,0.0864,1.5274,3,3,3,100.0,15.744666980840336,18.562874251497018,5.973568281938323,2.0264317180616778,历史3/3次成功; 当前距低点2.03%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
5,85.62100702895592,84.38624165762373,300697,电工合金,bottom_area,2025-04-01,15.91,2025-03-31,15.41,3.244646333549643,5.12654120700843,27.34559170202735,False,0.6962,9.7643,4,4,4,100.0,18.086211280198423,31.64400494437578,4.7553536664503575,3.244646333549643,历史4/4次成功; 当前距低点3.24%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
6,85.47050641026404,84.18673927496005,300720,海川智能,bottom_area,2025-04-01,20.88,2025-03-28,20.23,3.213049925852687,5.981216015818096,31.423728813559322,False,-0.0957,3.0013,5,5,5,100.0,39.09942530055998,75.69193742478939,4.786950074147313,3.213049925852687,历史5/5次成功; 当前距低点3.21%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
7,85.25130326504025,83.50528369683374,000736,中交地产,bottom_area,2025-04-01,5.28,2025-03-25,5.13,2.9239766081871417,7.992202729044837,29.822161422708614,True,1.1494,2.4682,3,3,3,100.0,16.892206255378625,19.029126213592225,5.076023391812859,2.9239766081871417,历史3/3次成功; 当前距低点2.92%; 最新日涨幅1.15%; 状态bottom_area; 底部已确认
8,85.21101004088771,83.099710314268,002406,远东传动,bottom_area,2025-04-01,7.62,2025-03-31,7.42,2.695417789757415,5.929919137466313,31.801470588235297,False,-0.5222,9.9378,5,5,5,100.0,26.910015456531745,67.88321167883211,5.304582210242585,2.695417789757415,历史5/5次成功; 当前距低点2.70%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
9,83.95465695792058,82.37050304297063,300746,汉嘉数智,bottom_area,2025-04-01,11.98,2025-03-31,11.63,3.0094582975064457,4.901117798796204,27.584059775840586,False,0.6723,1.4953,3,3,3,100.0,21.03262344777049,36.90896259703598,4.990541702493554,3.0094582975064457,历史3/3次成功; 当前距低点3.01%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
10,83.52864399726437,82.8280348868836,001202,炬申股份,bottom_area,2025-04-01,15.7,2025-03-31,15.16,3.562005277044849,6.926121372031667,32.109270040304516,False,1.225,7.0071,6,6,6,100.0,13.598961927665792,15.531135531135526,4.4379947229551515,3.562005277044849,历史6/6次成功; 当前距低点3.56%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
11,83.00659169666913,77.02241143773718,605069,正和生态,bottom_area,2025-04-01,9.02,2025-04-01,9.01,0.11098779134294992,7.769145394006671,30.20914020139427,False,-4.1445,33.9252,5,5,5,100.0,12.610019365586558,18.036809815950903,7.889012208657051,0.11098779134294992,历史5/5次成功; 当前距低点0.11%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
