rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.79837250083686,80.78328732129489,000735,罗牛山,bottom_area,2026-01-22,7.92,11.38,2026-01-21,7.78,1.7994858611825153,1.9280205655526923,31.634446397188054,30.404217926186295,False,1.4085,2.9591,3,4,3,75.0,35.16728540210225,44.303797468354425,18.200514138817486,1.7994858611825153,历史3/4次成功; 当前距低点1.80%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
2,89.72763814298264,79.40560215261252,688562,航天软件,bottom_area,2026-01-22,22.94,30.87,2026-01-21,22.21,3.2868077442593444,3.8271049076992245,28.053126012309686,25.688370586329768,False,2.7778,6.1136,1,1,1,100.0,41.82539682539684,41.82539682539684,16.713192255740655,3.2868077442593444,历史1/1次成功; 当前距低点3.29%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
3,89.72371439502243,79.47807180517201,600880,博瑞传播,bottom_area,2026-01-22,5.88,7.83,2026-01-22,5.69,3.3391915641476184,3.3391915641476184,27.33077905491698,24.904214559386975,False,2.439,4.7044,1,1,1,100.0,42.85714285714287,42.85714285714287,16.66080843585238,3.3391915641476184,历史1/1次成功; 当前距低点3.34%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
4,88.56030617302936,76.65262632793537,301687,新广益,bottom_area,2026-01-22,62.57,88.3,2026-01-14,61.3,2.071778140293643,3.7357259380097982,30.577576443941112,29.139297848244617,False,-1.3714,12.7965,1,1,1,100.0,34.60365853658537,34.60365853658537,17.92822185970636,2.071778140293643,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
5,85.9474869507932,72.40690901296016,688068,热景生物,bottom_area,2026-01-22,149.0,214.78,2026-01-22,148.12,0.5941128814474719,3.9427491223332454,31.036409349101408,30.62668777353571,False,-2.2566,1.6133,3,4,3,75.0,37.669281627206416,49.133924799324014,19.405887118552528,0.5941128814474719,历史3/4次成功; 当前距低点0.59%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
6,84.28898121589468,72.91530095036961,300455,航天智装,bottom_area,2026-01-22,28.99,41.5,2026-01-22,28.41,2.0415346708905253,3.449489616332279,31.542168674698797,30.144578313253017,False,1.4701,4.5996,2,4,2,50.0,59.488642441964124,65.87383660806617,17.958465329109472,2.0415346708905253,历史2/4次成功; 当前距低点2.04%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
7,83.83028026539607,75.64490170843663,600775,南京熊猫,bottom_area,2026-01-22,14.62,20.04,2026-01-21,14.01,4.354032833690217,4.9250535331905745,30.089820359281433,27.045908183632733,False,2.095,8.0569,1,1,1,100.0,34.68869123252858,34.68869123252858,15.645967166309783,4.354032833690217,历史1/1次成功; 当前距低点4.35%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
8,82.93239980138745,74.89472475881432,600776,东方通信,bottom_area,2026-01-22,18.99,27.09,2026-01-20,18.19,4.398020890599215,5.607476635514016,32.85345145810262,29.90033222591363,False,2.0968,7.2297,1,1,1,100.0,31.19469026548673,31.19469026548673,15.601979109400787,4.398020890599215,历史1/1次成功; 当前距低点4.40%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
9,81.71427422434678,74.04880016306963,603178,圣龙股份,bottom_area,2026-01-22,18.47,24.59,2025-12-05,17.66,4.586636466591159,10.135900339750844,28.182187881252542,24.888165921106147,True,0.0542,1.0255,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,15.413363533408841,4.586636466591159,历史5/7次成功; 当前距低点4.59%; 最新日涨幅0.05%; 状态bottom_area; 底部已确认
10,78.1704738557734,70.01598102779893,000901,航天科技,bottom_area,2026-01-22,26.6,35.4,2026-01-22,25.59,3.946854239937482,4.533020711215319,27.711864406779657,24.858757062146886,False,3.301,7.5928,2,3,2,66.66666666666666,38.32334423757916,42.402315484804625,16.05314576006252,3.946854239937482,历史2/3次成功; 当前距低点3.95%; 最新日涨幅3.30%; 状态bottom_area; 底部未确认
11,77.14838514541661,67.79234045875668,688115,思林杰,bottom_area,2026-01-22,52.17,73.3,2026-01-20,50.7,2.899408284023666,17.337278106508876,30.832196452933147,28.82673942701227,False,1.3994,2.4339,4,8,4,50.0,32.97307175446581,53.58819584171696,17.100591715976336,2.899408284023666,历史4/8次成功; 当前距低点2.90%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
