rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.37140454702839,82.23525607370156,001203,大中矿业,bottom_area,2024-08-13,8.29,2024-08-05,8.14,1.842751842751825,3.4398034398034314,30.00859845227859,False,0.1208,0.2961,2,2,2,100.0,22.670592877288865,29.46341463414634,13.157248157248175,1.842751842751825,历史2/2次成功; 当前距低点1.84%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
2,88.48770613514283,81.45816793893133,002687,乔治白,bottom_area,2024-08-13,4.05,2024-07-25,3.93,3.053435114503808,5.852417302798981,32.82051282051282,False,0.2475,0.5541,1,1,1,100.0,64.00000000000001,64.00000000000001,11.94656488549619,3.053435114503808,历史1/1次成功; 当前距低点3.05%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
3,87.36012105425604,78.93667699869101,002355,兴民智通,bottom_area,2024-08-13,4.47,2024-08-12,4.38,2.054794520547942,6.164383561643846,28.8961038961039,False,1.1312,3.3406,4,5,4,80.0,17.535529599679155,21.138211382113823,12.945205479452056,2.054794520547942,历史4/5次成功; 当前距低点2.05%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
4,85.11260176181557,80.24498586239395,002552,宝鼎科技,bottom_area,2024-08-13,11.07,2024-07-25,10.61,4.335532516493882,10.084825636192276,30.197368421052634,True,0.8197,0.5556,1,1,1,100.0,52.23596574690771,52.23596574690771,10.664467483506119,4.335532516493882,历史1/1次成功; 当前距低点4.34%; 最新日涨幅0.82%; 状态bottom_area; 底部已确认
5,84.94893629619496,76.23186179387265,600343,航天动力,bottom_area,2024-08-13,7.84,2024-08-13,7.71,1.686121919584953,3.24254215304799,31.16071428571428,False,-1.0101,3.807,3,4,3,75.0,31.78075145444273,55.72413793103447,13.313878080415046,1.686121919584953,历史3/4次成功; 当前距低点1.69%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
6,84.14676588293136,79.14141828771699,603368,柳药集团,bottom_area,2024-08-13,17.1,2024-07-31,16.41,4.204753199268747,8.470444850700796,31.908713692946062,True,-1.1561,1.3578,3,3,3,100.0,31.603524634675978,42.85714285714285,10.795246800731254,4.204753199268747,历史3/3次成功; 当前距低点4.20%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
7,82.88793573958692,75.83002878356098,002563,森马服饰,bottom_area,2024-08-13,4.91,2024-07-30,4.78,2.719665271966525,7.531380753138063,29.080118694362017,True,-0.8081,0.4415,1,1,1,100.0,28.929384965831446,28.929384965831446,12.280334728033475,2.719665271966525,历史1/1次成功; 当前距低点2.72%; 最新日涨幅-0.81%; 状态bottom_area; 底部已确认
8,80.82913073539633,76.7266060835804,600210,紫江企业,bottom_area,2024-08-13,4.9,2024-07-25,4.68,4.700854700854714,9.61538461538462,27.329192546583858,True,0.0,0.4077,2,2,2,100.0,18.895455922199744,19.867549668874158,10.299145299145284,4.700854700854714,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
9,77.83819130245244,68.81535049146376,000983,山西焦煤,bottom_area,2024-08-13,7.97,2024-08-13,7.9,0.8860759493670809,2.658227848101254,27.188940092165893,False,-1.2392,0.5322,3,4,3,75.0,21.938729333444627,27.212389380530986,14.11392405063292,0.8860759493670809,历史3/4次成功; 当前距低点0.89%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
10,74.82104711083672,70.03035535782941,301606,绿联科技,bottom_area,2024-08-13,30.04,2024-08-13,28.9,3.9446366782006943,3.9446366782006943,30.34466136418415,False,-0.4309,15.9586,1,1,1,100.0,21.957671957671955,21.957671957671955,11.055363321799305,3.9446366782006943,历史1/1次成功; 当前距低点3.94%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
11,73.03908110024163,66.82487406156228,002651,利君股份,bottom_area,2024-08-13,5.28,2024-08-13,5.14,2.7237354085603225,5.642023346303502,29.201101928374655,False,-0.189,8.0901,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,12.276264591439677,2.7237354085603225,历史2/3次成功; 当前距低点2.72%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
