rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.14326034559448,82.59839449955176,300521,爱司凯,bottom_area,2024-09-20,10.18,2024-09-18,9.88,3.0364372469635517,4.048582995951403,28.920863309352512,False,-0.3914,0.7742,6,6,6,100.0,28.395007648541178,73.27586206896554,4.963562753036449,3.0364372469635517,历史6/6次成功; 当前距低点3.04%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
2,83.8890005204386,80.33230312995218,300473,德尔股份,bottom_area,2024-09-20,15.72,2024-09-18,15.45,1.7475728155339894,4.919093851132696,29.612756264236907,False,-1.3802,5.5161,3,3,3,100.0,17.0794040288693,21.37137137137137,6.252427184466011,1.7475728155339894,历史3/3次成功; 当前距低点1.75%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
3,82.38638495865142,82.20894528562414,300400,劲拓股份,bottom_area,2024-09-20,11.49,2024-09-18,11.06,3.8878842676311005,4.339963833634707,28.64516129032258,False,0.7011,3.1128,5,5,5,100.0,14.265168902274414,27.014218009478668,4.1121157323689,3.8878842676311005,历史5/5次成功; 当前距低点3.89%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
4,82.37433516848428,81.57001686267556,002806,华锋股份,bottom_area,2024-09-20,8.6,2024-09-18,8.31,3.4897713598074502,7.701564380264727,32.05233033524121,True,-0.6928,4.0274,4,4,4,100.0,19.229546037830822,34.66407010710809,4.51022864019255,3.4897713598074502,历史4/4次成功; 当前距低点3.49%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
5,81.77718317851354,77.67138543227088,002130,沃尔核材,bottom_area,2024-09-20,10.73,2024-09-19,10.59,1.3220018885741318,3.3994334277620344,27.416038382453735,False,-0.6481,3.4216,1,1,1,100.0,30.89005235602093,30.89005235602093,6.677998111425869,1.3220018885741318,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
6,80.38365559054692,77.56236102039675,601808,中海油服,bottom_area,2024-09-20,13.35,2024-09-18,13.07,2.1423106350420764,3.519510328997698,30.25613660618996,False,0.3759,0.2425,1,1,1,100.0,17.88617886178861,17.88617886178861,5.857689364957924,2.1423106350420764,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
7,80.36986484162554,78.64106134430446,688358,祥生医疗,bottom_area,2024-09-20,19.36,2024-09-18,18.82,2.8692879914984015,5.5791710945802375,29.274708756106726,False,-1.7259,0.4685,3,3,3,100.0,21.73676325226245,29.46360153256704,5.1307120085015985,2.8692879914984015,历史3/3次成功; 当前距低点2.87%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
8,80.29673527372819,79.44927632624821,603060,国检集团,bottom_area,2024-09-20,5.7,2024-09-18,5.51,3.4482758620689724,4.537205081669692,29.719387755102044,False,-0.5236,0.7077,4,4,4,100.0,16.51260909551329,36.2098138747885,4.551724137931028,3.4482758620689724,历史4/4次成功; 当前距低点3.45%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
9,79.98445516205658,78.92890938687277,300455,航天智装,bottom_area,2024-09-20,9.99,2024-09-18,9.67,3.3092037228541913,5.3774560496380515,29.82583454281567,False,-1.382,1.0191,3,3,3,100.0,28.676848790216763,53.103448275862064,4.690796277145809,3.3092037228541913,历史3/3次成功; 当前距低点3.31%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
10,79.46615357231586,76.3836323970548,002674,兴业科技,bottom_area,2024-09-20,7.87,2024-09-18,7.72,1.9430051813471552,3.367875647668403,32.16168717047452,False,-0.8816,0.3911,1,1,1,100.0,31.578947368421055,31.578947368421055,6.0569948186528455,1.9430051813471552,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
11,79.25302176153309,77.3910942137022,000591,太阳能,bottom_area,2024-09-20,4.09,2024-08-23,3.98,2.763819095477384,7.035175879396981,28.158844765342963,True,-0.4866,0.35,2,2,2,100.0,21.19678360962714,32.84132841328414,5.236180904522617,2.763819095477384,历史2/2次成功; 当前距低点2.76%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
12,78.9613635133717,78.54873247183392,301326,捷邦科技,bottom_area,2024-09-20,30.61,2024-09-18,29.51,3.7275499830565835,6.743476787529645,30.054515287982923,False,0.7903,7.2215,2,2,2,100.0,25.954550716144787,41.81240063593006,4.2724500169434165,3.7275499830565835,历史2/2次成功; 当前距低点3.73%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
13,78.89094906250362,79.02939471748316,603306,华懋科技,confirmed_rebound,2024-09-20,17.81,2024-09-19,17.11,4.091174751607244,8.12390414962011,31.367829923786605,False,0.6215,6.6565,3,3,3,100.0,26.54447930724555,49.205252246026255,3.908825248392757,4.091174751607244,历史3/3次成功; 当前距低点4.09%; 最新日涨幅0.62%; 状态confirmed_rebound; 底部未确认
14,78.56905533167512,76.58345990671083,301386,未来电器,bottom_area,2024-09-20,17.31,2024-09-18,16.86,2.6690391459074694,4.626334519572961,28.224776500638566,False,-0.9725,0.8671,2,2,2,100.0,24.88639332999926,27.880184331797242,5.330960854092531,2.6690391459074694,历史2/2次成功; 当前距低点2.67%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
15,77.41220995188984,71.67797217767577,000566,海南海药,confirmed_rebound,2024-09-20,3.96,2024-09-20,3.96,0.0,8.585858585858583,30.404217926186295,False,-10.0,21.9271,3,3,3,100.0,21.655764396106257,37.53581661891116,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态confirmed_rebound; 底部未确认
