rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.23807741371071,79.30734310337337,002246,北化股份,bottom_area,2025-01-27,9.05,2025-01-27,9.05,0.0,4.861878453038669,28.571428571428566,False,-2.4784,1.3738,4,4,4,100.0,25.577113458996685,31.992687385740403,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
2,84.57139452235279,79.96362509427463,600202,哈空调,bottom_area,2025-01-27,4.46,2025-01-24,4.37,2.0594965675057177,3.89016018306636,29.967948717948715,False,0.2247,3.6061,4,5,4,80.0,23.11439391498748,41.50485436893204,7.940503432494284,2.0594965675057177,历史4/5次成功; 当前距低点2.06%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
3,83.5632887669514,75.966626151774,605162,新中港,bottom_area,2025-01-27,6.77,2025-01-27,6.77,0.0,4.283604135893649,27.43837084673098,False,-4.6479,3.3087,4,4,4,100.0,17.831323396634367,26.46502835538753,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-4.65%; 状态bottom_area; 底部未确认
4,83.50030765295153,79.24662833776279,002571,德力股份,bottom_area,2025-01-27,4.08,2025-01-22,3.99,2.2556390977443574,6.265664160401002,28.749999999999993,False,-1.6867,4.6177,3,3,3,100.0,17.47035204634371,28.291814946619215,7.744360902255643,2.2556390977443574,历史3/3次成功; 当前距低点2.26%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
5,80.43945054661557,76.49900448943339,002848,高斯贝尔,bottom_area,2025-01-27,5.63,2025-01-27,5.5,2.363636363636362,8.000000000000007,30.817610062893085,False,-0.1773,15.0238,2,2,2,100.0,20.688684938302675,21.924482338611433,7.6363636363636385,2.363636363636362,历史2/2次成功; 当前距低点2.36%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
6,79.96114539985048,72.69195036350042,000736,中交地产,bottom_area,2025-01-27,6.3,2025-01-27,6.3,0.0,6.825396825396836,30.76923076923077,False,-10.0,6.306,3,3,3,100.0,16.892206255378625,19.029126213592225,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
7,79.91223827728129,78.95285104348594,000829,天音控股,confirmed_rebound,2025-01-27,10.04,2025-01-13,9.62,4.365904365904365,11.018711018711025,30.691642651296842,True,-2.3346,2.1118,4,4,4,100.0,26.113510740579983,46.4765100671141,5.634095634095636,4.365904365904365,历史4/4次成功; 当前距低点4.37%; 最新日涨幅-2.33%; 状态confirmed_rebound; 底部已确认
8,79.77477637095755,76.0794870022756,300347,泰格医药,bottom_area,2025-01-27,49.0,2025-01-24,47.8,2.510460251046031,4.393305439330547,30.824891461649784,False,0.3687,1.9727,3,4,3,75.0,18.593206315379337,23.423271500843175,7.489539748953969,2.510460251046031,历史3/4次成功; 当前距低点2.51%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
9,79.26672605007244,72.0606600455204,300422,博世科,bottom_area,2025-01-27,4.2,2025-01-27,4.2,0.0,4.047619047619046,28.692699490662132,False,-6.0403,4.8183,2,2,2,100.0,30.164838954410644,45.4320987654321,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-6.04%; 状态bottom_area; 底部未确认
10,76.57601339045857,74.2771970873813,688253,英诺特,bottom_area,2025-01-27,29.5,2025-01-24,28.53,3.399929898352607,6.62460567823344,28.09979838709677,False,0.0,6.1715,1,1,1,100.0,15.639985245296947,15.639985245296947,6.600070101647393,3.399929898352607,历史1/1次成功; 当前距低点3.40%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,74.861243245306,73.70456575355317,000629,钒钛股份,bottom_area,2025-01-27,2.74,2025-01-13,2.63,4.182509505703434,7.604562737642592,27.348066298342545,True,-0.3636,0.683,2,2,2,100.0,18.767136701919313,27.173913043478265,5.817490494296567,4.182509505703434,历史2/2次成功; 当前距低点4.18%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
12,74.79287617370892,67.99352379428083,301315,威士顿,confirmed_rebound,2025-01-27,55.55,2025-01-27,55.55,0.0,12.079207920792081,28.229974160206726,False,-11.191,27.3948,2,2,2,100.0,18.513568786456112,26.868686868686865,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-11.19%; 状态confirmed_rebound; 底部未确认
13,74.44115383037746,68.30992182286204,600693,东百集团,confirmed_rebound,2025-01-27,6.15,2025-01-27,6.12,0.49019607843137664,11.601307189542483,27.48815165876777,False,-8.4821,9.2894,1,1,1,100.0,30.632090761750412,30.632090761750412,9.509803921568624,0.49019607843137664,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-8.48%; 状态confirmed_rebound; 底部未确认
14,71.39349612075134,67.82382131471377,600325,华发股份,bottom_area,2025-01-27,5.32,2025-01-13,5.2,2.3076923076923097,5.961538461538454,29.539295392953925,False,-0.7463,0.9938,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,7.692307692307692,2.3076923076923097,历史2/3次成功; 当前距低点2.31%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
15,71.30832471266982,68.42083973310747,600130,波导股份,bottom_area,2025-01-27,3.27,2025-01-24,3.18,2.8301886792452784,5.345911949685532,32.76955602536999,False,0.0,7.4534,2,3,2,66.66666666666666,16.05915728559158,20.13201320132014,7.1698113207547225,2.8301886792452784,历史2/3次成功; 当前距低点2.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,70.38277510356015,64.2508014397254,002767,先锋电子,bottom_area,2025-01-27,13.81,2025-01-27,13.78,0.21770682148041465,4.354136429608138,31.442786069651753,False,-2.3338,8.3696,2,4,2,50.0,43.37189781021898,52.04379562043795,9.782293178519586,0.21770682148041465,历史2/4次成功; 当前距低点0.22%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
17,67.5069406822812,61.369946074801085,300601,康泰生物,bottom_area,2025-01-27,14.37,2025-01-27,14.37,0.0,2.8531663187195555,29.316281357599607,False,-1.1012,1.0796,3,5,3,60.0,15.806161692478918,24.837758112094402,10.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
18,64.60664341059518,64.55581206251446,002291,遥望科技,bottom_area,2025-01-27,6.35,2025-01-24,6.05,4.958677685950411,8.429752066115698,28.23250296559905,True,0.316,10.3822,2,3,2,66.66666666666666,12.17704580545548,12.413793103448278,5.04132231404959,4.958677685950411,历史2/3次成功; 当前距低点4.96%; 最新日涨幅0.32%; 状态bottom_area; 底部已确认
