rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.25897085363695,81.89165468410116,605258,协和电子,bottom_area,2022-09-06,23.01,2022-09-01,22.37,2.860974519445689,3.933839964237814,28.98412698412698,False,1.3656,1.6901,1,1,1,100.0,49.971379507727534,49.971379507727534,17.139025480554313,2.860974519445689,历史1/1次成功; 当前距低点2.86%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
2,91.46727244833168,78.96994197292071,002110,三钢闽光,bottom_area,2022-09-06,5.27,2022-08-31,5.17,1.9342359767891615,1.9342359767891615,30.41722745625841,False,0.9579,0.3472,1,1,1,100.0,22.90322580645161,22.90322580645161,18.06576402321084,1.9342359767891615,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
3,89.4619556956818,78.0074764186433,688279,峰岹科技,bottom_area,2022-09-06,63.73,2022-09-05,62.19,2.476282360508119,3.6661842739990376,27.07551594746717,False,1.2069,2.2055,1,1,1,100.0,24.37311935807422,24.37311935807422,17.52371763949188,2.476282360508119,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
4,86.8920870603471,75.12516978567352,002012,凯恩股份,bottom_area,2022-09-06,5.58,2022-09-06,5.47,2.0109689213894026,3.2906764168190237,27.54966887417219,False,-0.3571,7.2029,1,1,1,100.0,25.646123260437374,25.646123260437374,17.989031078610598,2.0109689213894026,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
5,85.09144595713926,77.55706225313133,300480,光力科技,bottom_area,2022-09-06,16.47,2022-08-31,15.7,4.904458598726112,9.235668789808914,29.753914988814323,True,-0.4834,1.9526,3,3,3,100.0,31.66251536681112,39.69465648854962,15.095541401273888,4.904458598726112,历史3/3次成功; 当前距低点4.90%; 最新日涨幅-0.48%; 状态bottom_area; 底部已确认
6,84.48276024490028,75.92516929384321,688058,宝兰德,bottom_area,2022-09-06,42.09,2022-08-31,40.42,4.131618010885704,7.397328055418097,31.49152542372881,True,1.0079,0.9862,1,1,1,100.0,24.27558257345491,24.27558257345491,15.868381989114297,4.131618010885704,历史1/1次成功; 当前距低点4.13%; 最新日涨幅1.01%; 状态bottom_area; 底部已确认
7,83.57811755255055,73.13085285848173,688237,超卓航科,bottom_area,2022-09-06,53.9,2022-09-06,52.5,2.666666666666664,6.190476190476191,31.994818652849744,False,-2.0,10.6281,1,1,1,100.0,22.961574507966244,22.961574507966244,17.333333333333336,2.666666666666664,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
8,82.01313459420268,73.73729939603109,603178,圣龙股份,bottom_area,2022-09-06,11.28,2022-09-02,10.83,4.155124653739605,4.986149584487527,28.373015873015866,False,0.9848,1.533,1,1,1,100.0,21.994535519125673,21.994535519125673,15.844875346260395,4.155124653739605,历史1/1次成功; 当前距低点4.16%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
9,80.57224989259097,71.94748229434657,688045,必易微,bottom_area,2022-09-06,61.23,2022-09-01,59.0,3.779661016949147,7.084745762711863,28.743961352657006,True,-0.1793,4.7213,1,1,1,100.0,21.048975338659265,21.048975338659265,16.22033898305085,3.779661016949147,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-0.18%; 状态bottom_area; 底部已确认
10,76.44330602498776,68.18817877646914,300681,英搏尔,bottom_area,2022-09-06,56.02,2022-09-06,54.01,3.7215330494352994,5.665617478244775,27.337548769003096,False,1.5591,3.6004,2,3,2,66.66666666666666,25.734448723198668,27.487589035182385,16.278466950564702,3.7215330494352994,历史2/3次成功; 当前距低点3.72%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
11,73.66499957687341,63.01202850734961,688288,鸿泉技术,bottom_area,2022-09-06,19.2,2022-09-06,18.93,1.4263074484944511,3.1695721077654593,30.710102489019036,False,0.2611,0.8482,1,3,1,33.33333333333333,41.992882562277565,41.992882562277565,18.573692551505548,1.4263074484944511,历史1/3次成功; 当前距低点1.43%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
12,71.09609619803602,61.53346337607797,601966,玲珑轮胎,bottom_area,2022-09-06,22.2,2022-09-05,21.75,2.0689655172413763,3.4482758620689653,28.21782178217822,False,1.2774,0.595,1,2,1,50.0,22.476907287033857,22.476907287033857,17.931034482758623,2.0689655172413763,历史1/2次成功; 当前距低点2.07%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
13,67.81191820921603,59.17334680339916,688208,道通科技,bottom_area,2022-09-06,27.29,2022-09-06,26.62,2.5169045830202785,2.8925619834710727,30.74921956295525,False,1.2992,1.977,1,3,1,33.33333333333333,34.72341892124764,34.72341892124764,17.483095416979722,2.5169045830202785,历史1/3次成功; 当前距低点2.52%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
14,66.3695721244794,59.23526223851938,002520,日发精机,bottom_area,2022-09-06,6.36,2022-09-01,6.13,3.7520391517128946,3.7520391517128946,29.62112514351321,False,2.0867,2.8494,1,2,1,50.0,30.752212389380546,30.752212389380546,16.247960848287107,3.7520391517128946,历史1/2次成功; 当前距低点3.75%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
15,66.21688705054653,58.560354309441465,300726,宏达电子,bottom_area,2022-09-06,46.38,2022-09-05,44.92,3.2502226179875353,3.8735529830810216,28.242811501597444,False,2.2261,1.6729,1,2,1,50.0,20.972375690607738,20.972375690607738,16.749777382012464,3.2502226179875353,历史1/2次成功; 当前距低点3.25%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
16,66.05195950708719,58.52082777005278,688165,埃夫特,bottom_area,2022-09-06,8.33,2022-09-02,8.06,3.349875930521087,5.583126550868477,28.4826974267968,False,0.8475,0.4878,1,2,1,50.0,21.98142414860681,21.98142414860681,16.650124069478913,3.349875930521087,历史1/2次成功; 当前距低点3.35%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
17,63.89275377892904,56.104904297580326,300620,光库科技,bottom_area,2022-09-06,38.11,2022-09-06,37.05,2.860998650472341,4.804318488529018,32.10555250137438,False,0.7668,1.9638,1,3,1,33.33333333333333,22.444343480236245,22.444343480236245,17.13900134952766,2.860998650472341,历史1/3次成功; 当前距低点2.86%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
