rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.26119502179068,81.76287851605682,605298,必得科技,bottom_area,2025-10-14,39.13,2025-10-13,38.66,1.2157268494568183,7.682359027418537,28.007448789571704,True,-4.77,2.2468,3,3,3,100.0,19.272772757087996,28.626692456479695,6.784273150543182,1.2157268494568183,历史3/3次成功; 当前距低点1.22%; 最新日涨幅-4.77%; 状态bottom_area; 底部已确认
2,85.12406949707801,80.38232430571082,601208,东材科技,confirmed_rebound,2025-10-14,17.82,2025-10-14,17.64,1.0204081632653046,10.034013605442174,28.088055442315536,False,-6.1611,5.4025,3,3,3,100.0,28.86481138685871,48.70466321243524,6.979591836734696,1.0204081632653046,历史3/3次成功; 当前距低点1.02%; 最新日涨幅-6.16%; 状态confirmed_rebound; 底部未确认
3,84.57704740770127,82.1339750752613,300382,斯莱克,confirmed_rebound,2025-10-14,14.9,2025-10-13,14.54,2.4759284731774502,9.35350756533701,27.154308617234474,True,-4.4872,2.8936,5,5,5,100.0,30.26393545218211,49.73451327433629,5.52407152682255,2.4759284731774502,历史5/5次成功; 当前距低点2.48%; 最新日涨幅-4.49%; 状态confirmed_rebound; 底部已确认
4,83.81227857339047,79.37211404430823,300548,长芯博创,confirmed_rebound,2025-10-14,95.1,2025-10-13,94.0,1.1702127659574406,8.45744680851064,29.152848959903533,True,-5.175,5.3609,3,3,3,100.0,16.076339519845163,26.026026026026024,6.82978723404256,1.1702127659574406,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-5.17%; 状态confirmed_rebound; 底部已确认
5,82.74552267374543,79.30916505662347,688183,生益电子,confirmed_rebound,2025-10-14,70.9,2025-10-13,69.65,1.7946877243359656,9.260588657573566,27.440358370663603,True,-3.2742,1.4746,3,3,3,100.0,23.392758430696073,34.030631303698186,6.205312275664035,1.7946877243359656,历史3/3次成功; 当前距低点1.79%; 最新日涨幅-3.27%; 状态confirmed_rebound; 底部已确认
6,82.50770202301369,76.66364500922376,300757,罗博特科,confirmed_rebound,2025-10-14,220.68,2025-10-14,220.28,0.18158707100054736,11.222080987833666,27.218661203991285,False,-5.2387,3.9351,8,8,8,100.0,21.7616318876613,74.11052233156698,7.818412928999454,0.18158707100054736,历史8/8次成功; 当前距低点0.18%; 最新日涨幅-5.24%; 状态confirmed_rebound; 底部未确认
7,82.5026872027587,82.37834253478167,002022,科华生物,bottom_area,2025-10-14,6.36,2025-10-13,6.12,3.921568627450984,5.228758169934645,27.573964497041416,False,0.1575,1.2166,4,4,4,100.0,15.588811856827467,25.04038772213247,4.078431372549017,3.921568627450984,历史4/4次成功; 当前距低点3.92%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
8,82.17727156436885,81.5027659154137,000718,苏宁环球,bottom_area,2025-10-14,2.61,2025-09-29,2.52,3.571428571428566,7.936507936507943,32.800000000000004,True,-0.3817,4.2565,4,4,4,100.0,19.86894117349903,36.111111111111114,4.428571428571434,3.571428571428566,历史4/4次成功; 当前距低点3.57%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
9,81.81630121104556,77.27308239505277,301529,福赛科技,bottom_area,2025-10-14,67.68,2025-10-14,66.99,1.0300044782803581,7.090610538886402,30.50829875518673,False,-4.4068,4.9595,2,2,2,100.0,18.717702180279424,29.400630914826507,6.9699955217196425,1.0300044782803581,历史2/2次成功; 当前距低点1.03%; 最新日涨幅-4.41%; 状态bottom_area; 底部未确认
10,81.44347101894046,76.48963208657914,688039,当虹科技,confirmed_rebound,2025-10-14,51.88,2025-10-14,51.5,0.7378640776699079,11.456310679611647,27.434127095956036,False,-5.3285,7.0988,7,7,7,100.0,27.644957976701654,79.31638913234006,7.262135922330093,0.7378640776699079,历史7/7次成功; 当前距低点0.74%; 最新日涨幅-5.33%; 状态confirmed_rebound; 底部未确认
11,80.72436187136961,78.97651418730824,300706,阿石创,confirmed_rebound,2025-10-14,38.1,2025-10-13,37.04,2.861771058315341,10.394168466522682,28.147429679922404,True,-5.8329,8.2714,4,4,4,100.0,18.01802258208175,28.81508078994613,5.138228941684659,2.861771058315341,历史4/4次成功; 当前距低点2.86%; 最新日涨幅-5.83%; 状态confirmed_rebound; 底部已确认
