rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.9328624456416,85.19283582890668,301421,波长光电,bottom_area,2024-08-27,30.17,2024-08-27,29.8,1.241610738255037,4.999999999999995,30.906561558080227,False,-3.7946,10.6423,3,3,3,100.0,47.22423823724819,56.02000000000002,18.758389261744966,1.241610738255037,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-3.79%; 状态bottom_area; 底部未确认
2,93.29340293600812,79.67350137956085,001218,丽臣实业,bottom_area,2024-08-27,13.63,2024-08-26,13.45,1.33828996282529,3.2713754646840245,32.07070707070708,False,-0.9448,0.519,2,2,2,100.0,25.18711018711019,29.999999999999993,18.66171003717471,1.33828996282529,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
3,90.35074712675669,79.4794236605443,002219,新里程,bottom_area,2024-08-27,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,-2.2472,0.9987,2,2,2,100.0,34.81175156302061,45.685279187817265,17.041420118343193,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅-2.25%; 状态bottom_area; 底部已确认
4,89.97600010016298,78.34222649047325,603179,新泉股份,bottom_area,2024-08-27,33.32,2024-08-27,32.54,2.397049784880151,3.196066379840194,28.59337283300417,False,0.1202,0.4207,1,1,1,100.0,25.201612903225808,25.201612903225808,17.60295021511985,2.397049784880151,历史1/1次成功; 当前距低点2.40%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
5,89.41848820605708,76.48999494828502,301333,诺思格,bottom_area,2024-08-27,39.06,2024-08-23,38.51,1.428200467411073,5.115554401454165,27.17473524962179,False,-0.1789,1.2461,1,1,1,100.0,25.840279645065877,25.840279645065877,18.57179953258893,1.428200467411073,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
6,89.38933428403459,77.24224150007582,002715,登云股份,bottom_area,2024-08-27,9.78,2024-08-23,9.59,1.981230448383728,5.5265901981230385,31.45103645461044,False,-2.3952,0.9416,1,1,1,100.0,36.66369313113291,36.66369313113291,18.018769551616273,1.981230448383728,历史1/1次成功; 当前距低点1.98%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
7,88.51517037044974,75.75818811833868,600011,华能国际,bottom_area,2024-08-27,6.96,2024-08-27,6.86,1.4577259475218607,1.8950437317784241,30.707070707070706,False,-0.5714,0.4734,1,1,1,100.0,22.267759562841515,22.267759562841515,18.54227405247814,1.4577259475218607,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
8,87.40878047095548,78.03933428097606,603367,辰欣药业,bottom_area,2024-08-27,13.21,2024-07-30,12.73,3.7706205813040095,9.112333071484683,27.048710601719193,True,0.6093,0.5201,1,1,1,100.0,31.216931216931226,31.216931216931226,16.22937941869599,3.7706205813040095,历史1/1次成功; 当前距低点3.77%; 最新日涨幅0.61%; 状态bottom_area; 底部已确认
9,84.7254083495448,74.35808575492784,002674,兴业科技,bottom_area,2024-08-27,7.99,2024-08-21,7.77,2.8314028314028397,6.30630630630631,31.72231985940247,False,-0.8685,0.7136,1,1,1,100.0,31.578947368421055,31.578947368421055,17.16859716859716,2.8314028314028397,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
10,83.70428714153007,73.15032799874656,603079,圣达生物,bottom_area,2024-08-27,10.66,2024-08-26,10.39,2.598652550529351,4.523580365736274,28.83561643835616,False,-0.1873,1.6126,1,1,1,100.0,22.232558139534888,22.232558139534888,17.40134744947065,2.598652550529351,历史1/1次成功; 当前距低点2.60%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
11,75.85358493159013,63.821790072672414,603063,禾望电气,bottom_area,2024-08-27,11.5,2024-08-27,11.44,0.5244755244755288,2.709790209790214,27.180140038192242,False,-2.1277,1.5076,2,3,2,66.66666666666666,25.38133119252664,28.846153846153843,19.475524475524473,0.5244755244755288,历史2/3次成功; 当前距低点0.52%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
12,75.06607669616524,63.06666666666669,000957,中通客车,bottom_area,2024-08-27,9.04,2024-08-27,9.0,0.444444444444435,3.555555555555559,29.687500000000007,False,-3.7274,4.5831,2,4,2,50.0,190.25905745148648,354.54545454545456,19.555555555555564,0.444444444444435,历史2/4次成功; 当前距低点0.44%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
13,72.83503997249763,62.08549764921509,000155,川能动力,bottom_area,2024-08-27,9.01,2024-08-23,8.9,1.235955056179769,3.370786516853921,29.08366533864542,False,-1.5301,0.4345,1,2,1,50.0,37.70685579196216,37.70685579196216,18.76404494382023,1.235955056179769,历史1/2次成功; 当前距低点1.24%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
14,72.52172633561007,61.71848986078816,603282,亚光股份,bottom_area,2024-08-27,12.34,2024-08-26,12.2,1.1475409836065622,3.1147540983606623,27.164179104477615,False,-1.9078,1.8855,1,2,1,50.0,34.64991023339317,34.64991023339317,18.85245901639344,1.1475409836065622,历史1/2次成功; 当前距低点1.15%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
15,71.30425788188899,60.77235053235055,000597,东北制药,bottom_area,2024-08-27,4.12,2024-08-26,4.07,1.228501228501224,4.422604422604415,32.053422370617696,False,-0.7229,2.7794,1,3,1,33.33333333333333,61.02150537634409,61.02150537634409,18.771498771498777,1.228501228501224,历史1/3次成功; 当前距低点1.23%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
16,70.69482580396777,60.5613011552226,000591,太阳能,bottom_area,2024-08-27,4.04,2024-08-23,3.98,1.5075376884422125,2.763819095477384,28.158844765342963,False,-0.9804,0.3769,1,2,1,50.0,32.84132841328414,32.84132841328414,18.492462311557787,1.5075376884422125,历史1/2次成功; 当前距低点1.51%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
17,70.51235717418818,60.51467644262756,688239,航宇科技,bottom_area,2024-08-27,26.56,2024-08-27,26.14,1.6067329762815539,2.2570772762050493,30.293333333333333,False,-0.7103,1.0623,1,2,1,50.0,33.80660015349194,33.80660015349194,18.393267023718447,1.6067329762815539,历史1/2次成功; 当前距低点1.61%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
18,70.31047482116674,59.44572153754274,000983,山西焦煤,bottom_area,2024-08-27,7.66,2024-08-26,7.6,0.789473684210533,2.368421052631587,29.95391705069125,False,-0.9056,0.4184,2,4,2,50.0,24.546889986789015,27.212389380530986,19.210526315789465,0.789473684210533,历史2/4次成功; 当前距低点0.79%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
19,69.47763862043443,58.25331409489731,603069,海汽集团,bottom_area,2024-08-27,15.03,2024-08-27,14.98,0.3337783711615416,1.2016021361815736,27.140077821011666,False,-0.9229,0.5862,2,6,2,33.33333333333333,48.661265848453205,76.0375880971026,19.66622162883846,0.3337783711615416,历史2/6次成功; 当前距低点0.33%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
20,68.17517103278358,57.83012717043348,002357,富临运业,bottom_area,2024-08-27,5.21,2024-08-27,5.16,0.968992248062012,3.8759689922480653,27.52808988764045,False,-3.1599,3.7152,2,4,2,50.0,28.276502666746573,31.941031941031934,19.031007751937988,0.968992248062012,历史2/4次成功; 当前距低点0.97%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
21,66.89656952729705,56.029080837805104,603132,金徽股份,bottom_area,2024-08-27,10.93,2024-08-27,10.9,0.27522935779815927,2.3853211009174293,27.28485657104736,False,-2.2361,0.9454,1,2,1,50.0,33.20754716981132,33.20754716981132,19.724770642201843,0.27522935779815927,历史1/2次成功; 当前距低点0.28%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
22,66.10725237426045,59.87279193015694,300718,长盛轴承,bottom_area,2024-08-27,13.08,2024-08-26,12.51,4.556354916067148,6.954436450839337,31.936887921653966,False,1.2384,9.8643,1,2,1,50.0,44.03914590747332,44.03914590747332,15.443645083932852,4.556354916067148,历史1/2次成功; 当前距低点4.56%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
23,65.31692231115015,55.144402030669085,688311,盟升电子,bottom_area,2024-08-27,17.0,2024-08-27,16.88,0.7109004739336553,3.7914691943128,27.64680668666952,False,-3.4091,1.4812,2,5,2,40.0,32.34008124321401,40.786357176693514,19.289099526066344,0.7109004739336553,历史2/5次成功; 当前距低点0.71%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
24,64.55062475237202,54.51115942028986,002685,华东重机,bottom_area,2024-08-27,2.78,2024-08-27,2.76,0.724637681159421,2.898550724637684,29.94923857868021,False,-2.1127,2.1345,1,3,1,33.33333333333333,109.52380952380952,109.52380952380952,19.275362318840582,0.724637681159421,历史1/3次成功; 当前距低点0.72%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
25,64.25345781649409,54.13177652536143,002682,龙洲股份,bottom_area,2024-08-27,3.38,2024-08-27,3.36,0.5952380952380958,3.2738095238095335,30.14553014553014,False,-2.8736,2.1126,1,2,1,50.0,26.929674099485425,26.929674099485425,19.404761904761905,0.5952380952380958,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
26,64.24524494118037,53.67930420067366,000037,深南电A,bottom_area,2024-08-27,6.95,2024-08-27,6.94,0.14409221902016983,2.737752161383278,28.30578512396694,False,-2.7972,1.1423,2,8,2,25.0,39.8001852690304,45.16765285996055,19.85590778097983,0.14409221902016983,历史2/8次成功; 当前距低点0.14%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
27,64.00233832872473,53.73657339159345,002651,利君股份,bottom_area,2024-08-27,4.91,2024-08-27,4.89,0.40899795501023445,2.65848670756646,32.64462809917356,False,-2.7723,1.4847,1,3,1,33.33333333333333,41.96642685851319,41.96642685851319,19.591002044989768,0.40899795501023445,历史1/3次成功; 当前距低点0.41%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
