rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.67845458981445,82.14739052554026,002155,湖南黄金,bottom_area,2025-06-25,17.75,2025-06-24,17.57,1.0244735344336922,2.675014228799083,28.548190321268805,False,0.5666,2.0031,1,1,1,100.0,28.834355828220854,28.834355828220854,13.975526465566308,1.0244735344336922,历史1/1次成功; 当前距低点1.02%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
2,88.68423506609672,82.10885143492584,002678,珠江钢琴,bottom_area,2025-06-25,4.92,2025-06-23,4.76,3.361344537815129,3.991596638655471,29.79351032448378,False,0.2037,1.4076,3,3,3,100.0,23.939338608302766,35.5191256830601,11.63865546218487,3.361344537815129,历史3/3次成功; 当前距低点3.36%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
3,88.38383952910517,78.88384909987316,688136,科兴制药,bottom_area,2025-06-25,39.99,2025-06-23,39.44,1.394523326572019,7.276876267748491,32.23367697594502,True,-0.5966,3.3353,3,4,3,75.0,33.270764970200936,60.65012831479899,13.60547667342798,1.394523326572019,历史3/4次成功; 当前距低点1.39%; 最新日涨幅-0.60%; 状态bottom_area; 底部已确认
4,86.72512445911306,77.79044325971589,300703,创源股份,bottom_area,2025-06-25,20.8,2025-06-25,20.46,1.661779081133919,4.252199413489723,30.761421319796955,False,-1.5152,10.7743,2,2,2,100.0,19.02849228333993,20.914127423822727,13.338220918866082,1.661779081133919,历史2/2次成功; 当前距低点1.66%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
5,86.54502592863858,79.87949912566832,605198,安德利,bottom_area,2025-06-25,40.38,2025-06-20,39.13,3.1944799386659852,5.264502938921531,29.748653500897664,False,0.2981,1.0802,1,1,1,100.0,43.241469816272954,43.241469816272954,11.805520061334015,3.1944799386659852,历史1/1次成功; 当前距低点3.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
6,86.33015513503985,79.14640725229344,002041,登海种业,bottom_area,2025-06-25,9.8,2025-06-23,9.53,2.833158447009458,2.938090241343139,29.719764011799416,False,0.4098,0.78,2,2,2,100.0,18.2043468358871,21.395106715252467,12.166841552990542,2.833158447009458,历史2/2次成功; 当前距低点2.83%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
7,84.59571541391264,80.29542955326461,603327,福蓉科技,bottom_area,2025-06-25,9.14,2025-06-23,8.73,4.696449026345935,5.040091638029776,28.148148148148145,False,0.5501,0.6966,5,6,5,83.33333333333334,51.44264398496634,129.39632545931758,10.303550973654065,4.696449026345935,历史5/6次成功; 当前距低点4.70%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
8,83.85362616465166,77.05588039424023,605377,华旺科技,bottom_area,2025-06-25,8.7,2025-06-23,8.45,2.9585798816568047,2.9585798816568047,30.04966887417219,False,0.2304,0.7487,1,1,1,100.0,25.16904583020285,25.16904583020285,12.041420118343195,2.9585798816568047,历史1/1次成功; 当前距低点2.96%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
9,80.52232304775906,73.30148124421669,600980,北矿科技,bottom_area,2025-06-25,22.13,2025-06-20,21.6,2.453703703703692,4.675925925925917,28.66578599735799,False,-0.3153,11.0488,1,1,1,100.0,21.268417680973737,21.268417680973737,12.546296296296308,2.453703703703692,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
10,80.40261755811048,75.26566441638391,600770,综艺股份,bottom_area,2025-06-25,5.26,2025-06-23,5.06,3.9525691699604777,4.347826086956535,32.980132450331126,False,0.1905,2.1233,1,1,1,100.0,27.72861356932153,27.72861356932153,11.047430830039522,3.9525691699604777,历史1/1次成功; 当前距低点3.95%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
11,79.5536950178082,74.24871222468393,000999,华润三九,bottom_area,2025-06-25,31.75,2025-06-23,30.59,3.7920889179470416,3.9882314481856778,29.645814167433297,False,1.1469,0.4654,1,1,1,100.0,20.293951384963254,20.293951384963254,11.207911082052957,3.7920889179470416,历史1/1次成功; 当前距低点3.79%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
12,78.4316734196583,74.74655172413793,603787,新日股份,bottom_area,2025-06-25,12.17,2025-06-23,11.6,4.9137931034482785,7.672413793103454,28.39506172839506,True,-0.3276,5.555,1,1,1,100.0,92.85714285714283,92.85714285714283,10.08620689655172,4.9137931034482785,历史1/1次成功; 当前距低点4.91%; 最新日涨幅-0.33%; 状态bottom_area; 底部已确认
13,77.85978194994888,71.82311521132804,002427,尤夫股份,bottom_area,2025-06-25,8.15,2025-06-23,7.9,3.164556962025316,6.835443037974673,27.389705882352942,False,-0.2448,5.093,1,1,1,100.0,22.033898305084747,22.033898305084747,11.835443037974683,3.164556962025316,历史1/1次成功; 当前距低点3.16%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
14,76.9960702335333,68.2958570822776,605136,丽人丽妆,bottom_area,2025-06-25,10.46,2025-06-23,10.35,1.0628019323671614,4.927536231884056,28.768066070199588,False,-1.5066,6.0811,2,4,2,50.0,35.640029505778216,52.667814113597245,13.937198067632838,1.0628019323671614,历史2/4次成功; 当前距低点1.06%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
15,76.8808430889787,72.9768121666996,600706,曲江文旅,bottom_area,2025-06-25,9.58,2025-06-23,9.15,4.699453551912565,5.792349726775949,27.66798418972332,False,0.3141,4.7411,1,1,1,100.0,24.578313253012034,24.578313253012034,10.300546448087434,4.699453551912565,历史1/1次成功; 当前距低点4.70%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
16,76.88032171619781,73.15060344827586,603577,汇金通,bottom_area,2025-06-25,9.12,2025-06-23,8.7,4.827586206896551,5.172413793103461,32.34836702954899,False,0.2198,2.9893,1,1,1,100.0,27.083333333333325,27.083333333333325,10.172413793103448,4.827586206896551,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
