rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.02721483415309,79.8867369631902,603277,银都股份,bottom_area,2026-05-15,13.01,17.69,2026-05-14,12.8,1.640624999999993,2.890624999999994,27.64273600904466,26.455624646693053,False,0.8527,0.2728,1,1,1,100.0,24.23312883435582,24.23312883435582,18.359375000000007,1.640624999999993,历史1/1次成功; 当前距低点1.64%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
2,89.56174389710023,75.36279247991999,688819,天能股份,bottom_area,2026-05-15,26.57,36.54,2026-05-15,26.43,0.5297010972379893,1.9674612183125222,27.66830870279146,27.28516694033935,False,0.4157,0.4609,1,1,1,100.0,26.131779471089207,26.131779471089207,19.47029890276201,0.5297010972379893,历史1/1次成功; 当前距低点0.53%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
3,88.13147788107217,74.8769131908738,002083,孚日股份,bottom_area,2026-05-15,10.53,14.53,2026-05-14,10.42,1.0556621880998027,5.182341650671794,28.286304198210594,27.529249827942188,False,0.9588,2.5854,2,3,2,66.66666666666666,29.01696942513269,31.79487179487179,18.944337811900198,1.0556621880998027,历史2/3次成功; 当前距低点1.06%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
4,85.05340011222741,71.29050587856642,002773,康弘药业,bottom_area,2026-05-15,22.17,30.6,2026-05-15,22.1,0.31674208144796506,2.895927601809941,27.77777777777778,27.549019607843135,False,-1.379,1.0933,1,1,1,100.0,24.10041841004185,24.10041841004185,19.683257918552037,0.31674208144796506,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
5,84.52134032750715,75.1855882928102,605287,德才股份,bottom_area,2026-05-15,48.16,66.21,2026-05-15,46.5,3.5698924731182724,6.731182795698929,29.768917082011775,27.26174293913306,False,-0.1865,7.0848,2,2,2,100.0,28.413672750106816,36.00395647873393,16.43010752688173,3.5698924731182724,历史2/2次成功; 当前距低点3.57%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
6,78.19037347346166,70.15647424461766,688326,经纬恒润,bottom_area,2026-05-15,91.36,125.0,2026-05-06,87.81,4.042819724404962,7.7212162623846945,29.752000000000002,26.912000000000003,True,0.8166,2.4402,2,3,2,66.66666666666666,31.061486825775873,34.48938586529221,15.95718027559504,4.042819724404962,历史2/3次成功; 当前距低点4.04%; 最新日涨幅0.82%; 状态bottom_area; 底部已确认
7,76.93032464014755,64.6972471410256,000723,美锦能源,bottom_area,2026-05-15,4.03,5.67,2026-05-15,4.01,0.49875311720699406,1.9950124688279323,29.276895943562614,28.924162257495585,False,0.0,1.2412,2,4,2,50.0,26.74410886159975,30.434782608695667,19.50124688279301,0.49875311720699406,历史2/4次成功; 当前距低点0.50%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,76.74142975346169,69.25392857142857,000007,全新好,bottom_area,2026-05-15,12.69,17.79,2026-05-15,12.16,4.3585526315789425,5.09868421052631,31.646992692523884,28.667790893760536,False,-1.3219,4.5736,1,1,1,100.0,22.85714285714285,22.85714285714285,15.641447368421058,4.3585526315789425,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
9,73.54886765031107,63.211514932128686,601567,三星电气,bottom_area,2026-05-15,18.1,26.41,2026-05-15,17.8,1.68539325842697,6.179775280898864,32.601287391139714,31.46535403256342,False,-3.4152,2.8,2,4,2,50.0,26.151675060979485,31.09512390087929,18.31460674157303,1.68539325842697,历史2/4次成功; 当前距低点1.69%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
10,72.65254259949481,60.83066107162095,300363,博腾股份,bottom_area,2026-05-15,15.55,23.0,2026-05-15,15.51,0.25789813023856173,5.222437137330758,32.565217391304344,32.391304347826086,False,-5.5286,8.8847,3,6,3,50.0,35.69176778798318,46.29503738953092,19.742101869761438,0.25789813023856173,历史3/6次成功; 当前距低点0.26%; 最新日涨幅-5.53%; 状态bottom_area; 底部未确认
11,72.40654672774815,61.37102327624066,300072,海新能科,bottom_area,2026-05-15,4.36,5.92,2026-05-15,4.32,0.9259259259259267,3.240740740740733,27.027027027027025,26.351351351351344,False,0.0,1.6233,1,2,1,50.0,47.4308300395257,47.4308300395257,19.074074074074073,0.9259259259259267,历史1/2次成功; 当前距低点0.93%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,71.3578444201272,60.88223454046605,000978,桂林旅游,bottom_area,2026-05-15,6.3,8.66,2026-05-15,6.22,1.2861736334405156,2.733118971061092,28.17551963048499,27.251732101616632,False,-0.9434,3.6298,1,2,1,50.0,31.85328185328186,31.85328185328186,18.713826366559484,1.2861736334405156,历史1/2次成功; 当前距低点1.29%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
13,71.02269892814356,59.992325199526476,603101,汇嘉时代,bottom_area,2026-05-15,8.18,11.38,2026-05-15,8.12,0.7389162561576417,2.0935960591133,28.646748681898078,28.119507908611606,False,0.0,2.8822,1,2,1,50.0,37.72609819121447,37.72609819121447,19.26108374384236,0.7389162561576417,历史1/2次成功; 当前距低点0.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-15,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,69.025766538108,58.692734283711154,002379,宏桥控股,bottom_area,2026-05-15,21.13,29.92,2026-05-15,20.9,1.1004784688995235,6.0765550239234605,30.14705882352942,29.378342245989312,False,-5.3739,3.2697,1,2,1,50.0,28.020565552699235,28.020565552699235,18.899521531100476,1.1004784688995235,历史1/2次成功; 当前距低点1.10%; 最新日涨幅-5.37%; 状态bottom_area; 底部未确认
16,68.8273043428469,58.12432677760968,688336,三生国健,bottom_area,2026-05-15,66.58,91.44,2026-05-15,66.1,0.7261724659606718,3.585476550680794,27.71216097987752,27.18722659667542,False,-1.7704,0.7491,1,2,1,50.0,51.08359133126935,51.08359133126935,19.273827534039327,0.7261724659606718,历史1/2次成功; 当前距低点0.73%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
17,67.74413668163577,57.685378099119134,002828,贝肯能源,bottom_area,2026-05-15,11.16,15.17,2026-05-15,11.03,1.1786038077969245,2.6291931097008248,27.290705339485832,26.43375082399472,False,-0.5348,5.0597,1,3,1,33.33333333333333,32.79172821270311,32.79172821270311,18.82139619220308,1.1786038077969245,历史1/3次成功; 当前距低点1.18%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
18,67.61754349562507,56.56861061399747,601808,中海油服,bottom_area,2026-05-15,14.1,20.55,2026-05-15,14.07,0.21321961620468627,1.2793176972281428,31.532846715328468,31.386861313868618,False,-0.1416,0.5966,1,2,1,50.0,35.34812547819435,35.34812547819435,19.786780383795318,0.21321961620468627,历史1/2次成功; 当前距低点0.21%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
19,67.35570362956675,56.836191563850655,603313,梦百合,bottom_area,2026-05-15,5.9,8.27,2026-05-15,5.86,0.6825938566552906,2.2184300341296908,29.141475211608213,28.657799274486084,False,-1.6667,1.9666,2,5,2,40.0,30.87368579045548,36.22250970245794,19.31740614334471,0.6825938566552906,历史2/5次成功; 当前距低点0.68%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
20,66.53220473651373,55.99393584548651,000012,南玻A,bottom_area,2026-05-15,3.73,5.27,2026-05-15,3.71,0.539083557951483,3.5040431266846332,29.60151802656546,29.222011385199238,False,-3.1169,1.36,1,2,1,50.0,46.467991169977914,46.467991169977914,19.460916442048518,0.539083557951483,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
21,65.95867366145124,55.72513572528388,603113,金能科技,bottom_area,2026-05-15,5.38,7.5,2026-05-15,5.34,0.7490636704119857,2.247191011235957,28.800000000000004,28.26666666666667,False,-0.5545,1.3619,2,5,2,40.0,25.71505856894199,31.03448275862069,19.250936329588015,0.7490636704119857,历史2/5次成功; 当前距低点0.75%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
22,58.70036512492356,49.71245283018869,002320,海峡股份,bottom_area,2026-05-15,8.02,11.0,2026-05-15,7.95,0.8805031446540804,4.276729559748415,27.727272727272727,27.090909090909093,False,-2.7879,1.2267,1,3,1,33.33333333333333,26.111111111111097,26.111111111111097,19.119496855345922,0.8805031446540804,历史1/3次成功; 当前距低点0.88%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
