rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.92695941143465,88.46160401450288,002767,先锋电子,bottom_area,2025-10-31,19.36,2025-10-31,18.98,2.002107481559531,2.5816649104320253,27.47420710737486,False,0.8333,4.1928,5,5,5,100.0,24.765640174508626,52.04379562043795,5.997892518440469,2.002107481559531,历史5/5次成功; 当前距低点2.00%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
2,88.82899761904766,84.8009523809524,301112,信邦智能,bottom_area,2025-10-31,44.8,2025-10-31,44.1,1.5873015873015774,2.72108843537414,28.870967741935484,False,1.2429,3.4028,1,1,1,100.0,146.66666666666666,146.66666666666666,6.412698412698423,1.5873015873015774,历史1/1次成功; 当前距低点1.59%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
3,88.14587152885952,85.6528275276298,300563,神宇股份,bottom_area,2025-10-31,37.6,2025-10-23,36.68,2.5081788440567117,6.27044711014176,28.776699029126213,False,0.8043,2.8726,4,4,4,100.0,15.86814673160799,20.477137176938378,5.491821155943288,2.5081788440567117,历史4/4次成功; 当前距低点2.51%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
4,85.11549208072239,80.99977443871147,301117,佳缘科技,bottom_area,2025-10-31,32.78,2025-10-30,32.32,1.4232673267326759,3.496287128712879,27.370786516853933,False,0.214,7.4655,1,1,1,100.0,27.552816901408463,27.552816901408463,6.576732673267324,1.4232673267326759,历史1/1次成功; 当前距低点1.42%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
5,84.23109221556862,83.15519692844202,688036,传音控股,bottom_area,2025-10-31,76.3,2025-10-23,73.84,3.3315276273022665,5.728602383531947,29.609151572926596,False,1.5979,0.7652,4,4,4,100.0,12.5326877348988,19.148936170212753,4.6684723726977335,3.3315276273022665,历史4/4次成功; 当前距低点3.33%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
6,83.84162883864663,78.85090489810776,002678,珠江钢琴,bottom_area,2025-10-31,4.98,2025-10-31,4.94,0.8097165991902842,2.0242914979757014,29.327610872675248,False,-0.2004,2.1326,4,4,4,100.0,20.79063841000859,35.5191256830601,7.190283400809716,0.8097165991902842,历史4/4次成功; 当前距低点0.81%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
7,83.30447870921552,83.90740617876351,603305,旭升集团,bottom_area,2025-10-31,15.03,2025-10-23,14.4,4.374999999999993,7.152777777777773,29.064039408867,True,2.1754,5.2021,6,6,6,100.0,20.174226767545644,32.41061130334487,3.6250000000000075,4.374999999999993,历史6/6次成功; 当前距低点4.37%; 最新日涨幅2.18%; 状态bottom_area; 底部已确认
8,80.63775401069519,79.19133689839573,601619,嘉泽新能,bottom_area,2025-10-31,4.38,2025-10-29,4.25,3.0588235294117623,3.7647058823529442,28.451178451178453,False,1.6241,2.6411,1,1,1,100.0,37.878787878787875,37.878787878787875,4.941176470588237,3.0588235294117623,历史1/1次成功; 当前距低点3.06%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
9,75.90098006358326,70.27868524405856,000620,盈新发展,confirmed_rebound,2025-10-31,2.48,2025-10-31,2.48,0.0,13.709677419354833,27.906976744186046,False,-10.1449,14.5956,8,9,8,88.88888888888889,21.540123773313717,58.4192439862543,8.0,0.0,历史8/9次成功; 当前距低点0.00%; 最新日涨幅-10.14%; 状态confirmed_rebound; 底部未确认
10,74.73813537028073,69.7613241673976,002748,世龙实业,bottom_area,2025-10-31,12.01,2025-10-31,11.96,0.4180602006688874,4.1806020066889635,30.827067669172926,False,-4.379,16.3383,2,2,2,100.0,10.669362499584171,12.627291242362526,7.581939799331113,0.4180602006688874,历史2/2次成功; 当前距低点0.42%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
11,74.42842265939153,72.55660407860155,002123,梦网科技,bottom_area,2025-10-31,12.28,2025-10-31,11.96,2.675585284280924,3.1772575250836037,31.066282420749282,False,2.0781,3.1035,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,5.324414715719077,2.675585284280924,历史2/3次成功; 当前距低点2.68%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
12,74.16360744051329,74.71725848105903,300141,和顺电气,confirmed_rebound,2025-10-31,11.66,2025-10-23,11.17,4.386750223813789,8.504923903312438,27.935483870967744,True,2.2807,5.6702,1,1,1,100.0,31.123919308357333,31.123919308357333,3.6132497761862115,4.386750223813789,历史1/1次成功; 当前距低点4.39%; 最新日涨幅2.28%; 状态confirmed_rebound; 底部已确认
13,73.42295233765817,72.92800850433304,301498,乖宝宠物,bottom_area,2025-10-31,72.73,2025-10-28,70.17,3.6482827419125017,4.859626621063128,30.901033973412105,False,1.1966,1.6043,1,1,1,100.0,11.430608365019017,11.430608365019017,4.351717258087499,3.6482827419125017,历史1/1次成功; 当前距低点3.65%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
14,72.92807428955845,72.21108479513863,601669,中国电建,confirmed_rebound,2025-10-31,5.64,2025-09-29,5.45,3.4862385321100824,9.174311926605503,30.484693877551017,True,-2.5907,2.1215,2,2,2,100.0,12.417788431987212,16.457680250783696,4.513761467889918,3.4862385321100824,历史2/2次成功; 当前距低点3.49%; 最新日涨幅-2.59%; 状态confirmed_rebound; 底部已确认
