rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.0095338003661,83.08415658325414,002660,茂硕电源,bottom_area,2023-03-30,9.09,2023-03-20,8.91,2.020202020202017,7.519640852974185,28.31858407079646,True,0.0,1.6207,2,2,2,100.0,20.21622144792876,24.71428571428572,12.979797979797983,2.020202020202017,历史2/2次成功; 当前距低点2.02%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,89.0200189664886,80.13476998342513,300699,光威复材,bottom_area,2023-03-30,51.66,2023-03-30,50.72,1.853312302839112,2.917981072555213,30.767130767130773,False,-0.5008,2.2718,2,2,2,100.0,33.98022598870056,49.6271186440678,13.146687697160885,1.853312302839112,历史2/2次成功; 当前距低点1.85%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
3,85.40942810191119,74.65355743075791,603315,福鞍股份,bottom_area,2023-03-30,14.52,2023-03-30,14.48,0.276243093922646,4.834254143646404,27.089627391742194,False,-2.6157,1.0578,1,1,1,100.0,41.68490153172865,41.68490153172865,14.723756906077353,0.276243093922646,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
4,84.24459318476572,80.37066618765255,300707,威唐工业,bottom_area,2023-03-30,15.84,2023-03-20,15.09,4.970178926441352,9.542743538767404,32.27109515260324,True,-1.0618,2.587,4,4,4,100.0,30.92835559106886,59.14285714285715,10.029821073558647,4.970178926441352,历史4/4次成功; 当前距低点4.97%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
5,82.07618276107735,72.59327718310428,603356,华菱精工,bottom_area,2023-03-30,12.21,2023-03-30,12.1,0.9090909090909192,7.3553719008264515,28.613569321533923,False,-8.0572,8.2394,2,2,2,100.0,31.91400245070737,38.38297872340427,14.090909090909081,0.9090909090909192,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-8.06%; 状态bottom_area; 底部未确认
6,81.98314871115826,72.34471134891581,002708,光洋股份,bottom_area,2023-03-30,6.41,2023-03-20,6.36,0.7861635220125759,6.132075471698108,31.759656652360512,False,-0.4658,1.0501,1,1,1,100.0,35.522388059701484,35.522388059701484,14.213836477987424,0.7861635220125759,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
7,81.95391145865676,72.6028885366748,002347,泰尔股份,bottom_area,2023-03-30,5.07,2023-03-20,5.02,0.9960159362549943,6.175298804780887,29.09604519774012,False,-0.9766,2.1973,2,2,2,100.0,22.816155222237516,29.585798816568047,14.003984063745007,0.9960159362549943,历史2/2次成功; 当前距低点1.00%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
8,79.92616893340289,73.51132064523618,601702,华峰铝业,bottom_area,2023-03-30,12.68,2023-03-20,12.31,3.0056864337936573,9.098294069861893,29.212190914318576,True,-0.7825,2.299,1,1,1,100.0,19.96927803379416,19.96927803379416,11.994313566206342,3.0056864337936573,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-0.78%; 状态bottom_area; 底部已确认
9,75.9908142525447,70.37336581810393,605128,上海沿浦,bottom_area,2023-03-30,41.36,2023-03-28,40.01,3.374156460884783,4.748812796800796,32.75630252100841,False,-0.8153,2.3323,1,1,1,100.0,16.80883090817863,16.80883090817863,11.625843539115216,3.374156460884783,历史1/1次成功; 当前距低点3.37%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
10,74.82728040679365,71.17619047119518,688348,昱能科技,bottom_area,2023-03-30,334.36,2023-03-29,319.01,4.81176138679039,5.749036080373666,32.018497208370626,False,1.849,6.7577,1,1,1,100.0,16.27422813482398,16.27422813482398,10.18823861320961,4.81176138679039,历史1/1次成功; 当前距低点4.81%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
11,64.99732895113819,60.619440119606146,605333,沪光股份,bottom_area,2023-03-30,18.52,2023-03-20,17.85,3.7535014005602134,8.403361344537814,30.409356725146193,True,0.3794,1.9811,1,2,1,50.0,29.01840490797546,29.01840490797546,11.246498599439786,3.7535014005602134,历史1/2次成功; 当前距低点3.75%; 最新日涨幅0.38%; 状态bottom_area; 底部已确认
