rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.50617342081377,76.87138588935358,002825,纳尔股份,bottom_area,2023-07-12,8.75,2023-07-07,8.66,1.0392609699769038,2.886836027713626,32.55451713395638,False,-1.2415,0.937,1,1,1,100.0,23.123123123123136,23.123123123123136,18.960739030023095,1.0392609699769038,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
2,88.59431889966557,76.91029688970036,688236,春立医疗,bottom_area,2023-07-12,24.25,2023-06-28,23.72,2.2344013490725176,7.082630691399662,32.228571428571435,True,-0.98,1.7433,1,1,1,100.0,28.788881535407025,28.788881535407025,17.765598650927483,2.2344013490725176,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
3,87.38174227228357,72.98310296892066,002755,奥赛康,bottom_area,2023-07-12,8.11,2023-07-12,8.1,0.12345679012345416,2.345679012345673,27.41935483870968,False,-2.1713,0.3459,1,1,1,100.0,30.831099195710454,30.831099195710454,19.876543209876544,0.12345679012345416,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
4,81.0896442971966,72.12208363374191,600935,华塑股份,bottom_area,2023-07-12,3.78,2023-06-27,3.65,3.5616438356164357,6.575342465753431,28.571428571428577,False,-1.8182,0.3343,1,1,1,100.0,28.50877192982458,28.50877192982458,16.438356164383567,3.5616438356164357,历史1/1次成功; 当前距低点3.56%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
5,74.71139618786373,63.55411774014874,688156,路德科技,bottom_area,2023-07-12,26.1,2023-07-11,25.81,1.123595505617988,3.7969779155366155,28.285634898582945,False,-1.2859,1.031,1,2,1,50.0,44.22535211267606,44.22535211267606,18.87640449438201,1.123595505617988,历史1/2次成功; 当前距低点1.12%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
6,73.95321588433484,63.20813997108219,688195,腾景科技,bottom_area,2023-07-12,41.06,2023-07-11,40.5,1.3827160493827217,6.8148148148148096,29.626411815812332,False,-1.2981,8.0143,3,7,3,42.857142857142854,27.684430065839933,38.77410468319559,18.61728395061728,1.3827160493827217,历史3/7次成功; 当前距低点1.38%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
7,71.2770233096752,63.90845022406377,603222,济民健康,bottom_area,2023-07-12,9.87,2023-07-10,9.49,4.004214963119062,6.111696522655427,27.112135176651304,False,2.5988,3.3245,3,7,3,42.857142857142854,41.11092348681001,68.46504559270518,15.995785036880939,4.004214963119062,历史3/7次成功; 当前距低点4.00%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
8,71.269152738902,59.390960615751666,605266,健之佳,bottom_area,2023-07-12,58.45,2023-07-12,58.45,0.0,2.104362703165093,32.9932362719248,False,-1.7647,0.7328,2,4,2,50.0,26.833121590062774,33.154615273148806,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
9,68.3833942091415,60.647859583721676,000792,盐湖股份,bottom_area,2023-07-12,19.13,2023-05-30,18.5,3.4054054054054,7.5675675675675595,29.49695121951219,True,0.0,0.3947,1,2,1,50.0,24.904214559386965,24.904214559386965,16.594594594594604,3.4054054054054,历史1/2次成功; 当前距低点3.41%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
10,63.65026198148296,57.59547340247575,603178,圣龙股份,bottom_area,2023-07-12,12.29,2023-07-11,11.76,4.50680272108843,7.90816326530612,28.11735941320293,True,1.7384,9.1981,1,2,1,50.0,21.994535519125673,21.994535519125673,15.493197278911572,4.50680272108843,历史1/2次成功; 当前距低点4.51%; 最新日涨幅1.74%; 状态bottom_area; 底部已确认
11,61.621961333207686,53.84203435125963,600984,建设机械,bottom_area,2023-07-12,4.36,2023-06-12,4.25,2.5882352941176547,8.23529411764705,32.0,True,-2.8953,0.834,1,3,1,33.33333333333333,20.21439509954057,20.21439509954057,17.411764705882344,2.5882352941176547,历史1/3次成功; 当前距低点2.59%; 最新日涨幅-2.90%; 状态bottom_area; 底部已确认
12,59.997773117846805,50.57971217178232,688258,卓易信息,bottom_area,2023-07-12,60.59,2023-07-12,60.21,0.6311243979405458,3.670486630127887,30.33668864977439,False,-2.3372,1.6353,1,3,1,33.33333333333333,27.716894977168955,27.716894977168955,19.368875602059454,0.6311243979405458,历史1/3次成功; 当前距低点0.63%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
13,59.6325619729852,53.644044037497274,002545,东方铁塔,bottom_area,2023-07-12,7.22,2023-06-26,6.93,4.184704184704185,5.916305916305919,27.58620689655173,False,-0.4138,0.7718,1,2,1,50.0,28.468653648509758,28.468653648509758,15.815295815295816,4.184704184704185,历史1/2次成功; 当前距低点4.18%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
14,57.64701709063272,48.32354190995404,688318,财富趋势,bottom_area,2023-07-12,90.35,2023-07-12,90.06,0.32200755052186547,5.3519875638463175,27.17127607957302,False,-5.1842,2.0181,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,19.677992449478136,0.32200755052186547,历史1/3次成功; 当前距低点0.32%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
