rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.69608133710157,76.1733109424124,002735,王子新材,bottom_area,2021-07-15,17.21,2021-07-15,17.01,1.1757789535567271,3.6449147560258512,31.905524419535624,False,-1.6009,2.3341,1,1,1,100.0,21.043478260869563,21.043478260869563,13.824221046443272,1.1757789535567271,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
2,80.01274385954477,73.63656396590702,601919,中远海控,bottom_area,2021-07-15,21.7,2021-07-15,21.06,3.0389363722697085,7.739791073124419,32.152061855670105,False,-6.304,4.0347,1,1,1,100.0,40.45881126173098,40.45881126173098,11.96106362773029,3.0389363722697085,历史1/1次成功; 当前距低点3.04%; 最新日涨幅-6.30%; 状态bottom_area; 底部未确认
3,75.6983910930261,70.09435610609751,600966,博汇纸业,bottom_area,2021-07-15,11.97,2021-07-05,11.58,3.3678756476683986,9.41278065630397,29.47624847746651,False,-1.319,1.7619,1,1,1,100.0,15.231788079470201,15.231788079470201,11.632124352331601,3.3678756476683986,历史1/1次成功; 当前距低点3.37%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
