rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.27492073195765,77.54855609849571,600217,中再资环,bottom_area,2022-01-25,5.74,2022-01-25,5.68,1.056338028169023,5.281690140845083,28.643216080402013,False,-3.5294,1.3186,1,1,1,100.0,37.18820861678004,37.18820861678004,18.943661971830977,1.056338028169023,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
2,87.18,72.65,002584,西陇科学,bottom_area,2022-01-25,9.0,2022-01-25,9.0,0.0,11.444444444444438,27.942353883106485,False,-9.8196,14.6463,1,1,1,100.0,68.08510638297875,68.08510638297875,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.82%; 状态bottom_area; 底部未确认
3,87.01784352468262,72.57716273671302,600391,航发科技,bottom_area,2022-01-25,21.36,2022-01-25,21.35,0.04683840749413588,6.79156908665105,27.67615176151761,False,-2.9532,2.3164,1,1,1,100.0,27.709431751611014,27.709431751611014,19.953161592505868,0.04683840749413588,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
4,86.34059382121049,72.53719273341133,300511,雪榕生物,bottom_area,2022-01-25,6.8,2022-01-25,6.77,0.4431314623338294,7.6809453471196525,30.061983471074385,False,-9.3333,8.3222,2,2,2,100.0,25.900712191034756,29.220779220779214,19.556868537666173,0.4431314623338294,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-9.33%; 状态bottom_area; 底部未确认
5,84.13223435106515,70.61098240178683,603348,文灿股份,bottom_area,2022-01-25,51.7,2022-01-25,51.5,0.38834951456311234,5.980582524271841,27.464788732394368,False,-4.3655,1.2179,1,1,1,100.0,31.539888682745836,31.539888682745836,19.611650485436886,0.38834951456311234,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
6,83.02190584475946,70.21778711484592,600418,江淮汽车,bottom_area,2022-01-25,13.71,2022-01-21,13.6,0.8088235294117736,5.3676470588235325,27.38921516284037,False,-1.0823,2.058,1,1,1,100.0,24.365079365079367,24.365079365079367,19.19117647058823,0.8088235294117736,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
7,81.8872368940926,74.32468861388664,603230,内蒙新华,bottom_area,2022-01-25,16.57,2022-01-25,15.83,4.67466835123184,11.181301326595081,30.843162953254698,False,1.0366,25.9462,1,1,1,100.0,31.521142229544196,31.521142229544196,15.325331648768161,4.67466835123184,历史1/1次成功; 当前距低点4.67%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
8,81.31567699233103,71.95728808471856,688105,诺唯赞,bottom_area,2022-01-25,83.98,2022-01-21,81.31,3.2837289386299364,10.109457631287663,29.88703975165991,True,-4.6873,2.1135,1,1,1,100.0,25.237580993520524,25.237580993520524,16.716271061370065,3.2837289386299364,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-4.69%; 状态bottom_area; 底部已确认
9,80.7126944996661,68.11119540440896,601798,蓝科高新,bottom_area,2022-01-25,7.34,2022-01-25,7.29,0.6858710562414242,6.172839506172842,31.22641509433962,False,-5.168,2.1596,1,1,1,100.0,21.74721189591078,21.74721189591078,19.314128943758575,0.6858710562414242,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-5.17%; 状态bottom_area; 底部未确认
10,66.58784475608606,55.78849517847229,601778,晶科科技,bottom_area,2022-01-25,6.85,2022-01-25,6.83,0.29282576866763654,4.831625183016106,29.948717948717945,False,-3.6568,1.3601,1,2,1,50.0,42.344827586206904,42.344827586206904,19.707174231332363,0.29282576866763654,历史1/2次成功; 当前距低点0.29%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
11,63.834735762075674,53.287603662414995,605162,新中港,bottom_area,2022-01-25,10.62,2022-01-25,10.61,0.0942507068802996,5.843543826578709,28.067796610169495,False,-5.0938,3.4011,1,2,1,50.0,26.46502835538753,26.46502835538753,19.9057492931197,0.0942507068802996,历史1/2次成功; 当前距低点0.09%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
12,62.37659644399903,52.47448016185231,300491,通合科技,bottom_area,2022-01-25,15.58,2022-01-25,15.5,0.516129032258065,11.870967741935482,27.093132643461903,False,-10.2535,10.1535,1,2,1,50.0,27.26480836236933,27.26480836236933,19.483870967741936,0.516129032258065,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-10.25%; 状态bottom_area; 底部未确认
13,61.523944954128446,51.269954128440375,300658,延江股份,bottom_area,2022-01-25,10.11,2022-01-25,10.11,0.0,11.473788328387737,30.08298755186723,False,-8.4239,3.1581,1,2,1,50.0,26.72018348623853,26.72018348623853,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-8.42%; 状态bottom_area; 底部未确认
