rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.72936579095047,87.17743549392898,300745,欣锐科技,bottom_area,2024-01-11,24.61,2024-01-10,24.05,2.3284823284823233,3.783783783783784,27.777777777777768,False,1.1924,2.3071,4,4,4,100.0,21.862232273487457,36.150000000000006,7.671517671517678,2.3284823284823233,历史4/4次成功; 当前距低点2.33%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
2,88.56839786619341,85.36515639309366,688079,美迪凯,bottom_area,2024-01-11,10.42,2024-01-10,10.11,3.066271018793279,6.52818991097923,28.19602272727273,False,0.969,3.1002,4,4,4,100.0,21.162657612593186,30.064655172413808,6.9337289812067215,3.066271018793279,历史4/4次成功; 当前距低点3.07%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
3,85.97769221387586,82.28046511627906,603013,亚普股份,bottom_area,2024-01-11,16.78,2024-01-10,16.34,2.6927784577723455,2.8763769889840813,28.175824175824175,False,1.5124,0.4017,1,1,1,100.0,53.30739299610896,53.30739299610896,7.307221542227654,2.6927784577723455,历史1/1次成功; 当前距低点2.69%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
4,85.83954531552143,81.15331051213008,603039,泛微网络,bottom_area,2024-01-11,41.25,2024-01-10,40.42,2.053438891637799,4.057397328055419,28.320624224153217,False,0.5362,0.4614,2,2,2,100.0,19.43629669389389,25.971438060445035,7.946561108362202,2.053438891637799,历史2/2次成功; 当前距低点2.05%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
5,85.37770733814234,81.99316906770447,000070,特发信息,bottom_area,2024-01-11,7.51,2024-01-10,7.3,2.876712328767123,3.1506849315068552,29.604628736740597,False,2.5956,1.0429,2,2,2,100.0,34.04340417899739,50.60532687651331,7.123287671232878,2.876712328767123,历史2/2次成功; 当前距低点2.88%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
6,84.76769413423249,82.77316015460347,002146,荣盛发展,bottom_area,2024-01-11,1.66,2024-01-10,1.6,3.7499999999999893,4.37499999999999,27.927927927927932,False,1.8405,2.225,4,4,4,100.0,15.608387927975553,19.587628865979376,6.250000000000011,3.7499999999999893,历史4/4次成功; 当前距低点3.75%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
7,83.24947202006179,79.39309970732506,688072,拓荆科技,bottom_area,2024-01-11,200.09,2024-01-10,195.19,2.5103745068907246,3.4889082432501675,27.643090154211148,False,1.1935,1.1125,2,2,2,100.0,15.573943994816789,19.9367088607595,7.489625493109275,2.5103745068907246,历史2/2次成功; 当前距低点2.51%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
8,83.01107126362848,81.91644981232172,300454,深信服,bottom_area,2024-01-11,65.93,2024-01-10,63.21,4.303116595475409,5.995886726783736,30.52319191030996,False,3.8268,1.7616,4,4,4,100.0,17.782557258094812,29.49391262831224,5.696883404524592,4.303116595475409,历史4/4次成功; 当前距低点4.30%; 最新日涨幅3.83%; 状态bottom_area; 底部未确认
9,82.43670521548864,78.05785020404237,600981,苏豪汇鸿,bottom_area,2024-01-11,2.87,2024-01-10,2.81,2.1352313167259807,2.8469750889679744,27.948717948717945,False,1.4134,1.2524,1,1,1,100.0,20.463320463320475,20.463320463320475,7.86476868327402,2.1352313167259807,历史1/1次成功; 当前距低点2.14%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
10,81.36491147959917,78.05888798832876,002413,雷科防务,bottom_area,2024-01-11,5.1,2024-01-10,4.96,2.822580645161284,3.2258064516129057,27.906976744186046,False,2.0,1.1834,1,1,1,100.0,28.894472361809044,28.894472361809044,7.177419354838717,2.822580645161284,历史1/1次成功; 当前距低点2.82%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
11,80.80342298777128,76.49728445864241,001236,弘业期货,bottom_area,2024-01-11,10.57,2024-01-10,10.35,2.125603864734306,2.608695652173909,28.025034770514612,False,1.537,1.4635,1,1,1,100.0,11.955168119551693,11.955168119551693,7.874396135265695,2.125603864734306,历史1/1次成功; 当前距低点2.13%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
12,80.64646685934487,79.19456647398843,600172,黄河旋风,bottom_area,2024-01-11,3.6,2024-01-08,3.46,4.046242774566478,4.624277456647403,29.098360655737704,False,2.8571,1.6513,1,1,1,100.0,51.074589127686465,51.074589127686465,5.953757225433522,4.046242774566478,历史1/1次成功; 当前距低点4.05%; 最新日涨幅2.86%; 状态bottom_area; 底部未确认
13,80.46319031082815,77.0756995989184,600006,东风股份,bottom_area,2024-01-11,5.62,2024-01-10,5.47,2.742230347349184,2.925045703839125,27.645502645502646,False,1.8116,0.5721,1,1,1,100.0,22.6235741444867,22.6235741444867,7.257769652650817,2.742230347349184,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
14,80.2268414870437,76.38193978824359,601016,节能风电,bottom_area,2024-01-11,2.96,2023-12-27,2.89,2.4221453287197177,5.8823529411764675,29.166666666666664,False,0.6803,0.3324,1,1,1,100.0,14.970059880239523,14.970059880239523,7.577854671280283,2.4221453287197177,历史1/1次成功; 当前距低点2.42%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
