rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.74642912839674,77.16894108787169,688025,杰普特,bottom_area,2022-10-13,47.49,2022-10-12,46.57,1.975520721494528,8.653639682198841,28.900763358778626,True,-5.5113,3.0759,2,2,2,100.0,20.554453402576446,23.866292660121555,8.024479278505472,1.975520721494528,历史2/2次成功; 当前距低点1.98%; 最新日涨幅-5.51%; 状态bottom_area; 底部已确认
2,80.00925185447139,76.14516866831795,000715,中兴商业,bottom_area,2022-10-13,4.69,2022-10-12,4.58,2.401746724890837,5.458515283842795,28.881987577639755,False,-2.2917,3.2411,2,2,2,100.0,19.253501081016484,24.33862433862435,7.598253275109164,2.401746724890837,历史2/2次成功; 当前距低点2.40%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
3,79.72153893620975,76.33941304194633,601155,新城控股,bottom_area,2022-10-13,16.59,2022-10-12,16.15,2.7244582043343737,4.024767801857599,29.321663019693666,False,-1.25,0.8005,2,2,2,100.0,24.2536438055306,24.642857142857142,7.275541795665627,2.7244582043343737,历史2/2次成功; 当前距低点2.72%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
4,79.51300309810176,78.97667679761199,002805,丰元股份,bottom_area,2022-10-13,45.06,2022-10-12,43.06,4.644681839294009,9.498374361356237,27.532817233254796,True,-3.1593,5.2356,4,4,4,100.0,29.658878447324323,50.09389671361502,5.355318160705991,4.644681839294009,历史4/4次成功; 当前距低点4.64%; 最新日涨幅-3.16%; 状态bottom_area; 底部已确认
5,79.23445150921826,76.92665195069735,002774,快意电梯,bottom_area,2022-10-13,6.0,2022-10-11,5.8,3.448275862068969,5.51724137931035,32.00468933177022,False,0.3344,1.9364,2,2,2,100.0,13.810327506530031,15.049226441631497,6.551724137931031,3.448275862068969,历史2/2次成功; 当前距低点3.45%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
6,78.63646370023417,77.99714285714285,300446,航天智造,bottom_area,2022-10-13,9.15,2022-10-10,8.75,4.571428571428576,5.942857142857138,32.69230769230769,False,0.1094,1.3936,1,1,1,100.0,51.92697768762679,51.92697768762679,5.428571428571425,4.571428571428576,历史1/1次成功; 当前距低点4.57%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
7,76.66876246744538,75.84424572317262,000957,中通客车,bottom_area,2022-10-13,13.43,2022-09-30,12.86,4.432348367029552,7.931570762052888,29.534246575342472,True,-2.3983,8.2702,1,1,1,100.0,354.54545454545456,354.54545454545456,5.567651632970449,4.432348367029552,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
8,75.22631372990013,73.64080877234605,002677,浙江美大,bottom_area,2022-10-13,11.24,2022-10-11,10.82,3.88170055452865,4.8059149722735635,27.81854569713142,False,0.0,0.3937,1,1,1,100.0,18.124118476727787,18.124118476727787,6.118299445471351,3.88170055452865,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,75.21433377433375,74.30153846153844,000762,西藏矿业,bottom_area,2022-10-13,40.7,2022-10-12,39.0,4.358974358974367,6.641025641025649,29.66636609558161,False,-1.6195,2.9212,1,1,1,100.0,71.15671641791043,71.15671641791043,5.641025641025634,4.358974358974367,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
10,74.85350339681989,73.796048545153,603228,景旺电子,bottom_area,2022-10-13,19.61,2022-10-11,18.81,4.2530568846358365,7.496012759170655,31.0483870967742,True,0.6157,0.6567,1,1,1,100.0,14.317302377003868,14.317302377003868,5.746943115364164,4.2530568846358365,历史1/1次成功; 当前距低点4.25%; 最新日涨幅0.62%; 状态bottom_area; 底部已确认
11,74.05705489909585,72.67407804085566,002561,徐家汇,bottom_area,2022-10-13,8.04,2022-10-12,7.73,4.0103492884864,6.080206985769713,29.147571035747017,False,-1.107,4.3491,1,1,1,100.0,36.976744186046524,36.976744186046524,5.989650711513601,4.0103492884864,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
