rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.70040061653017,76.57234737265361,002757,南兴股份,bottom_area,2025-03-24,20.28,2025-03-24,19.62,3.3639143730886856,6.472986748216103,28.861493836113116,False,-1.6012,7.0066,2,2,2,100.0,33.3444738886872,50.75376884422111,11.636085626911314,3.3639143730886856,历史2/2次成功; 当前距低点3.36%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
2,81.82505452149414,76.31988758033702,600203,福日电子,bottom_area,2025-03-24,9.94,2025-03-24,9.58,3.757828810020871,5.741127348643014,28.239700374531836,False,-1.1928,9.6723,3,3,3,100.0,20.149125092390385,24.045801526717554,11.242171189979128,3.757828810020871,历史3/3次成功; 当前距低点3.76%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
3,81.2698846120583,72.74096492425275,002718,友邦吊顶,bottom_area,2025-03-24,13.13,2025-03-24,12.93,1.546790409899467,7.037896365042538,29.766431287343835,False,-4.924,4.54,1,1,1,100.0,17.352941176470598,17.352941176470598,13.453209590100531,1.546790409899467,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-4.92%; 状态bottom_area; 底部未确认
4,80.40362304760863,74.75964030203427,301366,一博科技,bottom_area,2025-03-24,56.56,2025-03-24,54.6,3.5897435897435908,6.5018315018314965,27.68211920529801,False,-1.8567,8.0998,2,2,2,100.0,26.366966057256242,36.479591836734706,11.410256410256409,3.5897435897435908,历史2/2次成功; 当前距低点3.59%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
5,78.72653499510045,71.3464903846154,300509,新美星,bottom_area,2025-03-24,7.85,2025-03-24,7.68,2.2135416666666656,8.984374999999995,29.216589861751153,False,-5.0786,5.6393,1,1,1,100.0,18.028846153846153,18.028846153846153,12.786458333333334,2.2135416666666656,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
6,74.91178512243403,69.50182683158897,300720,海川智能,bottom_area,2025-03-24,21.75,2025-03-24,21.02,3.472882968601334,7.4690770694576605,28.74576271186441,False,-2.0711,5.1383,3,5,3,60.0,57.75229601757511,75.69193742478939,11.527117031398666,3.472882968601334,历史3/5次成功; 当前距低点3.47%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
7,70.37243057410588,63.817870905779614,002725,跃岭股份,bottom_area,2025-03-24,11.82,2025-03-24,11.56,2.249134948096884,7.698961937716252,27.795128044971896,False,-5.2885,6.297,2,3,2,66.66666666666666,16.877590971902357,18.562874251497018,12.750865051903116,2.249134948096884,历史2/3次成功; 当前距低点2.25%; 最新日涨幅-5.29%; 状态bottom_area; 底部未确认
8,69.33937753022823,63.537266519650395,300713,英可瑞,bottom_area,2025-03-24,17.22,2025-03-24,16.75,2.805970149253725,9.313432835820889,28.11158798283262,False,-6.413,15.9827,3,5,3,60.0,19.972464838434856,23.73271889400922,12.194029850746274,2.805970149253725,历史3/5次成功; 当前距低点2.81%; 最新日涨幅-6.41%; 状态bottom_area; 底部未确认
9,67.03103225664096,62.037194234493434,688031,星环科技,bottom_area,2025-03-24,51.66,2025-03-24,49.99,3.3406681336267146,8.381676335267048,27.843533487297922,False,-3.5654,5.7181,2,3,2,66.66666666666666,20.684144690836938,22.70402945387605,11.659331866373284,3.3406681336267146,历史2/3次成功; 当前距低点3.34%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
10,61.02324839789767,54.082964719659145,605303,园林股份,bottom_area,2025-03-24,9.92,2025-03-24,9.82,1.0183299389002,2.851323828920564,28.111273792093705,False,-0.998,4.3059,1,5,1,20.0,23.681489141675293,23.681489141675293,13.981670061099798,1.0183299389002,历史1/5次成功; 当前距低点1.02%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
11,56.65379899149937,52.1009731779,300378,鼎捷数智,bottom_area,2025-03-24,34.68,2025-03-24,33.67,2.9997029997029934,8.226908226908215,30.66309719934102,False,-2.8843,6.3085,1,4,1,25.0,26.480086114101198,26.480086114101198,12.000297000297005,2.9997029997029934,历史1/4次成功; 当前距低点3.00%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
12,56.50978947368421,49.13894736842106,603007,顺景科技,bottom_area,2025-03-24,6.03,2025-03-24,6.03,0.0,0.0,32.247191011235955,False,-5.0394,0.1822,1,2,1,50.0,15.263157894736846,15.263157894736846,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
13,54.76011613173493,51.00942324599966,300605,恒锋信息,bottom_area,2025-03-24,14.62,2025-03-24,14.1,3.6879432624113444,8.723404255319151,29.64071856287425,False,-4.6936,11.8158,1,2,1,50.0,18.429752066115707,18.429752066115707,11.312056737588655,3.6879432624113444,历史1/2次成功; 当前距低点3.69%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
