rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.25776249861373,80.5196761065963,603099,长白山,confirmed_rebound,2024-01-30,28.5,2024-01-29,28.11,1.3874066168623287,11.704019921736034,30.506798516687272,False,0.3875,10.1198,2,2,2,100.0,18.08044727442149,24.671532846715323,8.612593383137671,1.3874066168623287,历史2/2次成功; 当前距低点1.39%; 最新日涨幅0.39%; 状态confirmed_rebound; 底部未确认
2,85.00162960338346,79.42552270140153,002837,英维克,bottom_area,2024-01-30,20.44,2024-01-30,20.15,1.439205955335001,9.230769230769246,28.189593727726304,False,-8.0522,3.6263,3,3,3,100.0,18.639313330996423,24.517374517374524,8.560794044664998,1.439205955335001,历史3/3次成功; 当前距低点1.44%; 最新日涨幅-8.05%; 状态bottom_area; 底部未确认
3,84.3091798073739,76.76755572446729,605399,晨光新材,bottom_area,2024-01-30,11.93,2024-01-30,11.92,0.08389261744966264,6.375838926174494,29.00536033353186,False,-9.8943,4.6896,2,2,2,100.0,44.24102630243285,52.857533497402244,9.916107382550338,0.08389261744966264,历史2/2次成功; 当前距低点0.08%; 最新日涨幅-9.89%; 状态bottom_area; 底部未确认
4,84.14482479591001,76.91664640360561,603305,旭升集团,bottom_area,2024-01-30,13.94,2024-01-30,13.9,0.2877697841726557,4.532374100719417,30.98311817279047,False,-2.5175,0.9429,3,3,3,100.0,20.660008126447625,32.41061130334487,9.712230215827343,0.2877697841726557,历史3/3次成功; 当前距低点0.29%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
5,83.33740376018658,76.08067123702853,603160,汇顶科技,bottom_area,2024-01-30,54.57,2024-01-30,54.45,0.22038567493112476,4.3158861340679415,31.937499999999996,False,-0.4197,0.9479,3,3,3,100.0,15.339519225115597,20.747474747474755,9.779614325068877,0.22038567493112476,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
6,83.24260404710725,76.48155825900774,300354,东华测试,bottom_area,2024-01-30,36.21,2024-01-30,36.01,0.555401277422946,6.16495417939461,29.846093902201442,False,-0.2479,3.0015,2,2,2,100.0,38.26813533081753,39.34343434343434,9.444598722577055,0.555401277422946,历史2/2次成功; 当前距低点0.56%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
7,82.5121119486371,78.81329313714646,000723,美锦能源,bottom_area,2024-01-30,5.54,2024-01-22,5.4,2.592592592592587,9.07407407407406,28.28685258964143,True,-2.1201,0.5751,2,2,2,100.0,26.74410886159975,30.434782608695667,7.407407407407414,2.592592592592587,历史2/2次成功; 当前距低点2.59%; 最新日涨幅-2.12%; 状态bottom_area; 底部已确认
8,81.79780921288614,74.45554558470641,300661,圣邦股份,bottom_area,2024-01-30,60.55,2024-01-30,60.51,0.06610477607006965,4.048917534291857,32.391061452513966,False,-2.496,0.7791,2,2,2,100.0,21.377765990033247,31.832606108687024,9.93389522392993,0.06610477607006965,历史2/2次成功; 当前距低点0.07%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
9,81.54817029487998,77.33123069027783,300463,迈克生物,bottom_area,2024-01-30,12.47,2024-01-23,12.2,2.213114754098372,8.606557377049187,29.804372842347526,True,-2.0424,0.6402,2,2,2,100.0,14.12436736355977,14.159515396264513,7.786885245901629,2.213114754098372,历史2/2次成功; 当前距低点2.21%; 最新日涨幅-2.04%; 状态bottom_area; 底部已确认
10,81.4750670638466,74.6653707709157,688095,福昕软件,bottom_area,2024-01-30,50.13,2024-01-30,49.92,0.42067307692307865,5.208333333333337,30.24035774175517,False,-3.4104,1.6922,3,3,3,100.0,20.400566593012503,31.679509356817103,9.579326923076922,0.42067307692307865,历史3/3次成功; 当前距低点0.42%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
11,81.14701424694847,78.42299786763395,688017,绿的谐波,bottom_area,2024-01-30,109.4,2024-01-30,106.0,3.2075471698113263,9.999999999999995,31.3915857605178,False,0.3762,1.3815,2,2,2,100.0,18.90433018711707,22.08643815201191,6.792452830188675,3.2075471698113263,历史2/2次成功; 当前距低点3.21%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
12,80.36068629054151,77.82824394858747,002843,泰嘉股份,bottom_area,2024-01-30,19.3,2024-01-30,18.68,3.31905781584583,4.657387580299791,29.906191369606,False,-0.1035,1.6447,3,3,3,100.0,22.880084778042797,31.56626506024095,6.680942184154171,3.31905781584583,历史3/3次成功; 当前距低点3.32%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
13,80.16732737156144,76.39509670235493,002151,北斗星通,bottom_area,2024-01-30,25.72,2024-01-24,25.1,2.4701195219123404,8.804780876494013,31.13854595336077,True,-1.7571,1.2642,1,1,1,100.0,28.90843662534986,28.90843662534986,7.52988047808766,2.4701195219123404,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
14,79.64376410018508,72.96624695463932,000887,中鼎股份,bottom_area,2024-01-30,9.9,2024-01-30,9.86,0.40567951318459355,3.9553752535497018,27.232472324723254,False,-2.4631,0.9921,2,2,2,100.0,17.53331314354936,23.84615384615385,9.594320486815407,0.40567951318459355,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
