rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.04474885898041,84.06066863492573,301421,波长光电,bottom_area,2024-08-29,31.05,2024-08-28,29.74,4.40484196368528,5.2790854068594495,31.045675863667988,False,2.9851,11.2332,3,3,3,100.0,47.22423823724819,56.02000000000002,10.59515803631472,4.40484196368528,历史3/3次成功; 当前距低点4.40%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
2,87.77932242962187,80.46316680707014,001218,丽臣实业,bottom_area,2024-08-29,13.83,2024-08-26,13.45,2.825278810408928,3.2713754646840245,32.07070707070708,False,0.5818,0.7504,2,2,2,100.0,25.18711018711019,29.999999999999993,12.174721189591072,2.825278810408928,历史2/2次成功; 当前距低点2.83%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
3,86.96275303001231,80.61073203492278,603004,鼎龙科技,bottom_area,2024-08-29,15.4,2024-08-28,14.89,3.425117528542645,3.6265950302216194,27.1882640586797,False,2.122,2.7147,1,1,1,100.0,55.7168784029038,55.7168784029038,11.574882471457354,3.425117528542645,历史1/1次成功; 当前距低点3.43%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
4,86.88793485016829,78.36126812679309,002357,富临运业,bottom_area,2024-08-29,5.22,2024-08-29,5.12,1.9531249999999931,2.343750000000002,28.08988764044944,False,0.3846,2.4511,3,4,3,75.0,24.02899530533914,31.941031941031934,13.046875000000007,1.9531249999999931,历史3/4次成功; 当前距低点1.95%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
5,86.65470897089713,80.13136363636366,000957,中通客车,bottom_area,2024-08-29,9.09,2024-08-29,8.8,3.2954545454545356,3.8636363636363615,31.25,False,2.1348,3.7621,3,4,3,75.0,132.3344468028054,354.54545454545456,11.704545454545464,3.2954545454545356,历史3/4次成功; 当前距低点3.30%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
6,86.4909705179544,79.4794236605443,002219,新里程,bottom_area,2024-08-29,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,-0.5714,0.775,2,2,2,100.0,34.81175156302061,45.685279187817265,12.041420118343192,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅-0.57%; 状态bottom_area; 底部已确认
7,85.9922929644872,76.42291115040865,600011,华能国际,bottom_area,2024-08-29,6.94,2024-08-27,6.86,1.1661807580174937,3.6443148688046643,30.707070707070706,False,-1.4205,0.505,1,1,1,100.0,22.267759562841515,22.267759562841515,13.833819241982507,1.1661807580174937,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
8,84.03609980713343,77.05926397157057,600956,新天绿能,bottom_area,2024-08-29,6.87,2024-08-29,6.68,2.844311377245515,3.293413173652705,28.860489882854107,False,-0.1453,0.2882,2,2,2,100.0,29.592978019840494,41.27358490566036,12.155688622754484,2.844311377245515,历史2/2次成功; 当前距低点2.84%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
9,83.89839448923146,74.90426846335818,001286,陕西能源,bottom_area,2024-08-29,9.34,2024-08-29,9.21,1.4115092290987947,1.9543973941368045,27.07838479809976,False,-0.6383,1.3611,1,1,1,100.0,17.110266159695826,17.110266159695826,13.588490770901204,1.4115092290987947,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
10,83.00046689056973,76.19656210928207,000539,粤电力A,bottom_area,2024-08-29,4.25,2024-08-26,4.13,2.9055690072639253,3.3898305084745686,31.395348837209298,False,1.432,0.4576,1,1,1,100.0,19.89924433249369,19.89924433249369,12.094430992736074,2.9055690072639253,历史1/1次成功; 当前距低点2.91%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
11,82.99046547311514,76.10499154336559,002230,科大讯飞,bottom_area,2024-08-29,33.59,2024-08-28,32.66,2.8475199020208417,3.857930189834676,28.093350946719518,False,0.8103,0.7611,1,1,1,100.0,18.69535978480161,18.69535978480161,12.152480097979158,2.8475199020208417,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
12,82.55246884779511,76.77746799431007,002674,兴业科技,bottom_area,2024-08-29,8.05,2024-08-21,7.77,3.6036036036036183,6.30630630630631,31.72231985940247,False,0.2491,0.3966,1,1,1,100.0,31.578947368421055,31.578947368421055,11.396396396396382,3.6036036036036183,历史1/1次成功; 当前距低点3.60%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
13,82.15371669185066,77.87433255269318,000628,高新发展,bottom_area,2024-08-29,35.74,2024-08-28,34.16,4.625292740046855,5.591334894613595,27.31914893617022,False,0.875,5.3552,1,1,1,100.0,99.77973568281939,99.77973568281939,10.374707259953144,4.625292740046855,历史1/1次成功; 当前距低点4.63%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
14,80.09142705579609,74.6970267475435,603079,圣达生物,bottom_area,2024-08-29,10.78,2024-08-26,10.39,3.7536092396535015,4.523580365736274,28.83561643835616,False,1.1257,1.4153,1,1,1,100.0,22.232558139534888,22.232558139534888,11.246390760346497,3.7536092396535015,历史1/1次成功; 当前距低点3.75%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
15,78.69951293616745,69.23121563514304,000708,中信特钢,bottom_area,2024-08-29,11.37,2024-08-23,11.3,0.6194690265486593,3.0088495575221224,30.67484662576687,False,-0.5249,0.124,1,1,1,100.0,16.739811912225715,16.739811912225715,14.380530973451341,0.6194690265486593,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
16,77.93284940837603,73.12560365602069,000983,山西焦煤,bottom_area,2024-08-29,7.91,2024-08-26,7.6,4.078947368421059,5.000000000000011,29.95391705069125,False,1.671,0.4981,3,4,3,75.0,21.938729333444627,27.212389380530986,10.92105263157894,4.078947368421059,历史3/4次成功; 当前距低点4.08%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
17,75.90443365479535,70.70228672844858,000597,东北制药,bottom_area,2024-08-29,4.22,2024-08-26,4.07,3.6855036855036722,4.422604422604415,32.053422370617696,False,0.9569,2.3981,2,3,2,66.66666666666666,38.80950787489403,61.02150537634409,11.314496314496328,3.6855036855036722,历史2/3次成功; 当前距低点3.69%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
18,74.62260241827445,67.95264105513237,000037,深南电A,bottom_area,2024-08-29,7.05,2024-08-28,6.88,2.470930232558138,2.6162790697674376,28.92561983471074,False,0.7143,1.1056,4,8,4,50.0,28.58259131916628,45.16765285996055,12.529069767441861,2.470930232558138,历史4/8次成功; 当前距低点2.47%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
19,67.73448868706687,61.60144190502681,002682,龙洲股份,bottom_area,2024-08-29,3.41,2024-08-28,3.33,2.4024024024024047,3.3033033033032995,30.76923076923076,False,0.59,1.9134,1,2,1,50.0,26.929674099485425,26.929674099485425,12.597597597597595,2.4024024024024047,历史1/2次成功; 当前距低点2.40%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
