rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.24586070027235,82.34911851036509,603106,恒银科技,bottom_area,2023-09-14,7.21,2023-09-11,7.11,1.4064697609001355,6.610407876230657,30.634146341463413,False,0.0,3.4355,1,1,1,100.0,34.60144927536232,34.60144927536232,13.593530239099863,1.4064697609001355,历史1/1次成功; 当前距低点1.41%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,91.30974613269754,82.36091585256327,300561,汇金科技,bottom_area,2023-09-14,13.0,2023-09-13,12.75,1.9607843137254901,2.6666666666666656,30.96913914455874,False,0.7752,3.6122,2,2,2,100.0,24.79303273041607,27.62128325508607,13.039215686274508,1.9607843137254901,历史2/2次成功; 当前距低点1.96%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
3,86.34835111445099,75.89168437524783,603226,菲林格尔,bottom_area,2023-09-14,5.28,2023-09-12,5.25,0.5714285714285762,3.428571428571423,29.71887550200803,False,-1.3084,4.0098,3,3,3,100.0,18.62656730163969,20.479302832244016,14.428571428571423,0.5714285714285762,历史3/3次成功; 当前距低点0.57%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
4,84.61117249549737,76.72762029985314,601777,千里科技,bottom_area,2023-09-14,3.64,2023-08-25,3.56,2.247191011235957,8.146067415730338,27.93522267206478,True,-0.8174,0.5646,1,1,1,100.0,27.96352583586626,27.96352583586626,12.752808988764041,2.247191011235957,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
5,82.77179936986127,72.97994967970676,603221,爱丽家居,bottom_area,2023-09-14,8.15,2023-09-14,8.09,0.7416563658838133,2.1013597033374527,29.40663176265271,False,0.1229,2.6809,1,1,1,100.0,15.91895803183791,15.91895803183791,14.258343634116185,0.7416563658838133,历史1/1次成功; 当前距低点0.74%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
6,82.65037973520496,78.08960790262707,300588,熙菱信息,bottom_area,2023-09-14,12.91,2023-09-12,12.36,4.449838187702271,9.870550161812304,27.20848056537103,True,2.7049,21.5298,2,2,2,100.0,23.146446078431378,25.98039215686274,10.550161812297729,4.449838187702271,历史2/2次成功; 当前距低点4.45%; 最新日涨幅2.70%; 状态bottom_area; 底部已确认
7,80.38737990379215,75.50717360947394,002339,积成电子,bottom_area,2023-09-14,6.8,2023-08-25,6.53,4.134762633996931,9.494640122511488,27.201783723522855,True,-1.1628,1.1158,3,4,3,75.0,48.70662588702658,82.94930875576038,10.86523736600307,4.134762633996931,历史3/4次成功; 当前距低点4.13%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
8,77.43451390044035,67.72555665405113,603258,电魂网络,bottom_area,2023-09-14,29.13,2023-09-14,29.04,0.30991735537190035,6.887052341597796,28.613569321533927,False,-6.4247,5.7262,1,1,1,100.0,15.065420560747667,15.065420560747667,14.690082644628099,0.30991735537190035,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-6.42%; 状态bottom_area; 底部未确认
9,73.21199273820841,68.94439448242103,603326,我乐家居,bottom_area,2023-09-14,12.69,2023-09-13,12.17,4.272801972062446,8.874281018898934,30.29782359679267,False,-2.0833,12.5765,1,1,1,100.0,20.141843971631218,20.141843971631218,10.727198027937554,4.272801972062446,历史1/1次成功; 当前距低点4.27%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
10,72.75411381607351,66.90560187164307,002386,天原股份,bottom_area,2023-09-14,5.84,2023-08-31,5.67,2.9982363315696636,5.996472663139327,31.604342581423396,False,-1.0169,0.3814,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,12.001763668430335,2.9982363315696636,历史2/3次成功; 当前距低点3.00%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
11,72.59290638811042,65.5947261013871,002265,建设工业,bottom_area,2023-09-14,12.41,2023-08-25,12.16,2.055921052631579,7.1546052631578885,28.344136711844424,True,-1.0367,0.6546,2,4,2,50.0,24.09798979240379,32.75229357798165,12.944078947368421,2.055921052631579,历史2/4次成功; 当前距低点2.06%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
12,69.11498298649092,62.16417203867851,688191,智洋创新,bottom_area,2023-09-14,18.58,2023-09-14,18.25,1.8082191780821826,2.73972602739726,27.0,False,0.1617,3.5421,1,2,1,50.0,22.671568627450974,22.671568627450974,13.191780821917817,1.8082191780821826,历史1/2次成功; 当前距低点1.81%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
13,68.0963015346156,60.74471716600718,601778,晶科科技,bottom_area,2023-09-14,3.71,2023-08-29,3.66,1.36612021857923,7.377049180327869,28.79377431906614,True,-1.0667,1.0868,1,3,1,33.33333333333333,42.344827586206904,42.344827586206904,13.633879781420768,1.36612021857923,历史1/3次成功; 当前距低点1.37%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
14,64.80743209998712,60.30705581465323,002272,川润股份,bottom_area,2023-09-14,5.99,2023-08-25,5.78,3.633217993079584,10.553633217993069,29.42612942612942,True,-0.6633,1.865,1,2,1,50.0,48.337595907928375,48.337595907928375,11.366782006920415,3.633217993079584,历史1/2次成功; 当前距低点3.63%; 最新日涨幅-0.66%; 状态bottom_area; 底部已确认
15,64.76796852401856,59.28184281205785,002861,瀛通通讯,bottom_area,2023-09-14,11.6,2023-09-13,11.29,2.745792736935346,4.251550044286984,28.089171974522298,False,0.8696,12.3934,1,2,1,50.0,18.668012108980825,18.668012108980825,12.254207263064654,2.745792736935346,历史1/2次成功; 当前距低点2.75%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
