rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,100.35605644617746,89.79832029666733,603319,美湖股份,bottom_area,2025-01-02,19.89,2025-01-02,19.59,1.5313935681470174,5.564063297600816,30.185317177476833,False,0.9645,4.5172,4,4,4,100.0,26.182245333561973,43.981481481481474,13.468606431852981,1.5313935681470174,历史4/4次成功; 当前距低点1.53%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
2,95.49634265044195,85.02417617741966,000532,华金资本,bottom_area,2025-01-02,12.82,2025-01-02,12.66,1.263823064770933,5.292259083728277,28.99607403252944,False,-2.8788,2.8199,3,3,3,100.0,36.37469228546977,51.36986301369863,13.736176935229066,1.263823064770933,历史3/3次成功; 当前距低点1.26%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
3,92.72860622569088,82.29822802197803,600326,西藏天路,bottom_area,2025-01-02,6.47,2025-01-02,6.4,1.0937499999999907,4.218749999999993,28.491620111731837,False,0.1548,4.907,1,1,1,100.0,30.494505494505493,30.494505494505493,13.906250000000009,1.0937499999999907,历史1/1次成功; 当前距低点1.09%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
4,91.777110040269,82.05218424962854,300348,长亮科技,bottom_area,2025-01-02,13.66,2025-01-02,13.46,1.4858841010401134,7.057949479940559,28.594164456233422,False,-4.4755,5.9723,2,2,2,100.0,61.67178134052256,87.71331058020478,13.514115898959886,1.4858841010401134,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
5,91.33721624598779,81.99278690086167,002077,大港股份,bottom_area,2025-01-02,14.32,2025-01-02,14.08,1.7045454545454561,4.758522727272727,28.63659401926001,False,-2.3858,5.3555,3,3,3,100.0,25.479303963576843,26.22826908541193,13.295454545454543,1.7045454545454561,历史3/3次成功; 当前距低点1.70%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
6,90.51497137267344,81.92847368062046,000702,正虹科技,bottom_area,2025-01-02,6.66,2025-01-02,6.52,2.14723926380369,5.061349693251535,27.232142857142872,False,0.4525,3.0803,2,2,2,100.0,24.753651624155225,34.05275779376499,12.85276073619631,2.14723926380369,历史2/2次成功; 当前距低点2.15%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
7,89.21421043248215,79.08110600235048,601908,京运通,bottom_area,2025-01-02,2.95,2025-01-02,2.92,1.0273972602739811,5.13698630136986,29.807692307692314,False,-3.2787,3.4544,2,2,2,100.0,28.406299762231964,40.33898305084744,13.972602739726018,1.0273972602739811,历史2/2次成功; 当前距低点1.03%; 最新日涨幅-3.28%; 状态bottom_area; 底部未确认
8,89.01269785986716,78.8720107619076,000031,大悦城,bottom_area,2025-01-02,3.01,2025-01-02,2.98,1.0067114093959666,5.7046979865771785,29.383886255924168,False,-0.9868,0.7621,1,1,1,100.0,33.48017621145373,33.48017621145373,13.993288590604033,1.0067114093959666,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
9,88.09601690967527,78.75634730936115,300542,新晨科技,bottom_area,2025-01-02,19.85,2025-01-02,19.56,1.4826175869120792,5.572597137014315,29.513513513513516,False,-3.3593,4.6478,6,7,6,85.71428571428571,29.859453035825517,61.233480176211465,13.517382413087919,1.4826175869120792,历史6/7次成功; 当前距低点1.48%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
10,87.32581303700309,77.60312292358805,002016,世荣兆业,bottom_area,2025-01-02,6.09,2025-01-02,6.02,1.1627906976744233,4.318936877076424,30.804597701149422,False,-1.4563,0.9792,1,1,1,100.0,28.571428571428566,28.571428571428566,13.837209302325576,1.1627906976744233,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
11,86.37583022612002,77.07741654571845,000567,海德股份,bottom_area,2025-01-02,6.59,2025-01-02,6.5,1.3846153846153824,5.38461538461538,27.77777777777778,False,-3.5139,0.7738,1,1,1,100.0,38.67924528301886,38.67924528301886,13.615384615384619,1.3846153846153824,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
12,86.18159797963901,76.37192136341136,301566,达利凯普,bottom_area,2025-01-02,15.96,2025-01-02,15.8,1.0126582278481022,5.379746835443024,30.61045234958278,False,-2.9197,4.4477,1,1,1,100.0,20.111731843575413,20.111731843575413,13.987341772151899,1.0126582278481022,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
13,85.60264539607768,75.76397467950079,688280,精进电动,bottom_area,2025-01-02,4.27,2025-01-02,4.23,0.9456264775413509,6.382978723404245,29.499999999999993,False,-2.7335,1.0589,3,3,3,100.0,22.526898109113223,32.37518910741301,14.054373522458649,0.9456264775413509,历史3/3次成功; 当前距低点0.95%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
14,85.53186357579189,76.00571684672359,601216,君正集团,bottom_area,2025-01-02,5.23,2025-01-02,5.17,1.1605415860735107,4.642166344294008,28.591160220994478,False,-0.5703,1.5343,1,1,1,100.0,19.955654101995574,19.955654101995574,13.83945841392649,1.1605415860735107,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
15,84.76473571430512,75.32529185039003,603058,永吉股份,bottom_area,2025-01-02,8.71,2025-01-02,8.61,1.1614401858304464,4.878048780487805,28.960396039603957,False,-1.2472,2.2375,1,1,1,100.0,16.308470290771165,16.308470290771165,13.838559814169555,1.1614401858304464,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
16,84.61591544030045,78.34675803848667,002481,双塔食品,bottom_area,2025-01-02,5.53,2024-12-25,5.35,3.3644859813084222,7.4766355140186995,28.18791946308725,True,2.2181,4.4775,3,4,3,75.0,32.057989655214385,54.6583850931677,11.635514018691577,3.3644859813084222,历史3/4次成功; 当前距低点3.36%; 最新日涨幅2.22%; 状态bottom_area; 底部已确认
17,83.80007146353915,74.74105517751451,300486,东杰智能,bottom_area,2025-01-02,6.72,2025-01-02,6.63,1.3574660633484141,5.42986425339367,27.54098360655738,False,-1.7544,2.5928,3,4,3,75.0,19.73697742983275,21.839080459770123,13.642533936651585,1.3574660633484141,历史3/4次成功; 当前距低点1.36%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
18,82.89611115236876,76.45474078923873,000402,金融街,bottom_area,2025-01-02,3.27,2025-01-02,3.17,3.154574132492116,5.993690851735014,28.28054298642534,False,0.3067,1.5229,1,1,1,100.0,24.339622641509433,24.339622641509433,11.845425867507883,3.154574132492116,历史1/1次成功; 当前距低点3.15%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
