rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.5308525883424,79.10363878904818,002481,双塔食品,bottom_area,2024-06-27,3.88,2024-06-27,3.87,0.25839793281653195,3.1007751937984525,27.25563909774436,False,-2.7569,1.1561,3,3,3,100.0,32.057989655214385,54.6583850931677,14.741602067183468,0.25839793281653195,历史3/3次成功; 当前距低点0.26%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
2,90.36159843403608,80.43817293311018,301332,德尔玛,bottom_area,2024-06-27,8.88,2024-06-24,8.77,1.2542759407069695,4.332953249714946,30.507131537242472,False,-2.2026,1.4147,1,1,1,100.0,44.935064935064936,44.935064935064936,13.74572405929303,1.2542759407069695,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
3,90.3543548662788,80.16337288749604,002219,新里程,bottom_area,2024-06-27,1.88,2024-06-24,1.86,1.0752688172042901,6.451612903225799,28.735632183908038,False,-4.5685,0.6829,2,2,2,100.0,34.81175156302061,45.685279187817265,13.92473118279571,1.0752688172042901,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-4.57%; 状态bottom_area; 底部未确认
4,89.64824395801556,80.59857895279,000717,中南股份,bottom_area,2024-06-27,1.71,2024-06-24,1.68,1.7857142857142874,5.357142857142862,29.411764705882355,False,-2.2857,0.6083,2,2,2,100.0,35.64520174311065,56.020942408376975,13.214285714285712,1.7857142857142874,历史2/2次成功; 当前距低点1.79%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
5,89.60722054452269,80.40558861578266,002015,协鑫能科,bottom_area,2024-06-27,7.86,2024-06-25,7.73,1.6817593790426892,4.786545924967648,27.349624060150372,False,-2.7228,0.4226,1,1,1,100.0,65.95380667236954,65.95380667236954,13.318240620957312,1.6817593790426892,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
6,89.57096085922288,78.55997971998075,603368,柳药集团,bottom_area,2024-06-27,17.48,2024-06-24,17.4,0.4597701149425394,3.3333333333333446,27.800829875518684,False,-2.4009,1.758,3,3,3,100.0,31.603524634675978,42.85714285714285,14.54022988505746,0.4597701149425394,历史3/3次成功; 当前距低点0.46%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
7,87.4612026311193,79.23512195121947,002687,乔治白,bottom_area,2024-06-27,4.19,2024-06-24,4.1,2.1951219512195306,4.146341463414633,29.914529914529915,False,-0.9456,1.0489,1,1,1,100.0,64.00000000000001,64.00000000000001,12.804878048780468,2.1951219512195306,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
8,85.80136843939859,76.65439525554257,603233,大参林,bottom_area,2024-06-27,14.72,2024-06-26,14.51,1.4472777394900127,4.75534114403859,28.697788697788706,False,-2.9024,0.7636,4,5,4,80.0,20.29133602999884,27.64192139737992,13.552722260509986,1.4472777394900127,历史4/5次成功; 当前距低点1.45%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
9,85.7634075703699,77.88627312892211,600162,香江控股,bottom_area,2024-06-27,1.32,2024-06-24,1.29,2.325581395348839,4.651162790697678,32.81249999999999,False,-1.4925,0.39,2,2,2,100.0,27.68063822751323,28.90624999999999,12.67441860465116,2.325581395348839,历史2/2次成功; 当前距低点2.33%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
10,85.45279271373036,76.45862730784035,000516,国际医学,bottom_area,2024-06-27,4.65,2024-06-25,4.58,1.5283842794759888,4.5851528384279465,28.100470957613815,False,-2.9228,0.6013,1,1,1,100.0,26.89969604863221,26.89969604863221,13.47161572052401,1.5283842794759888,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
11,85.43824649184974,77.71269076305221,000718,苏宁环球,bottom_area,2024-06-27,1.7,2024-06-24,1.66,2.40963855421687,5.421686746987957,32.24489795918368,False,-1.7341,0.6643,2,2,2,100.0,27.77777777777778,36.111111111111114,12.59036144578313,2.40963855421687,历史2/2次成功; 当前距低点2.41%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
12,84.96046529073885,76.59773760876882,000862,银星能源,bottom_area,2024-06-27,4.74,2024-06-26,4.65,1.9354838709677389,4.731182795698919,27.34375,False,-2.268,0.8299,1,1,1,100.0,32.63785394932937,32.63785394932937,13.064516129032262,1.9354838709677389,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
