rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.65059694569251,75.75154930202623,603038,华立股份,bottom_area,2025-12-23,15.89,2025-12-17,15.58,1.989730423620029,5.0064184852374805,29.661399548532724,False,-0.5009,1.5351,1,1,1,100.0,28.753412192902637,28.753412192902637,18.010269576379972,1.989730423620029,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
2,87.62858576189093,77.06500044268466,603178,圣龙股份,bottom_area,2025-12-23,18.18,2025-12-05,17.66,2.9445073612684007,5.832389580973959,28.182187881252542,False,-1.8888,1.0311,1,1,1,100.0,47.51869476546566,47.51869476546566,17.0554926387316,2.9445073612684007,历史1/1次成功; 当前距低点2.94%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
3,84.91612522902427,73.84567057985862,603072,天和磁材,bottom_area,2025-12-23,40.41,2025-12-17,39.49,2.329703722461369,4.482147379083302,27.05947543405984,False,-1.2705,2.2282,1,1,1,100.0,22.674167027260935,22.674167027260935,17.670296277538633,2.329703722461369,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
4,83.87373392901463,74.19960784313726,600708,光明地产,bottom_area,2025-12-23,3.16,2025-12-17,3.06,3.2679738562091534,6.209150326797384,27.65957446808511,False,-2.1672,0.8939,1,1,1,100.0,36.07843137254903,36.07843137254903,16.732026143790847,3.2679738562091534,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
5,83.14500853611096,73.10595690424586,000692,惠天热电,bottom_area,2025-12-23,3.51,2025-12-17,3.41,2.9325513196480832,5.571847507331377,28.511530398322844,False,-1.4045,2.8717,1,1,1,100.0,26.08695652173914,26.08695652173914,17.06744868035192,2.9325513196480832,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
6,82.27221531792162,69.64701052176561,603322,超讯通信,bottom_area,2025-12-23,38.77,2025-12-23,38.44,0.858480749219577,4.214360041623321,30.500813596094744,False,-2.6369,6.5881,1,1,1,100.0,21.905089408528212,21.905089408528212,19.141519250780426,0.858480749219577,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
7,81.8912351595704,73.91080096398225,003038,鑫铂股份,bottom_area,2025-12-23,15.3,2025-12-17,14.66,4.365620736698503,5.866302864938604,32.098193608151924,False,0.0,1.5418,1,1,1,100.0,25.507614213197975,25.507614213197975,15.634379263301499,4.365620736698503,历史1/1次成功; 当前距低点4.37%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,81.34928319261688,72.39985648786669,603030,全筑股份,bottom_area,2025-12-23,2.88,2025-12-17,2.78,3.5971223021582768,10.071942446043176,30.845771144278604,True,-2.7027,2.6889,1,1,1,100.0,21.243523316062173,21.243523316062173,16.402877697841724,3.5971223021582768,历史1/1次成功; 当前距低点3.60%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
9,77.8442800370239,70.85093586397541,600403,大有能源,bottom_area,2025-12-23,6.95,2025-12-17,6.63,4.826546003016595,7.993966817496233,27.934782608695645,True,-1.2784,1.0297,1,1,1,100.0,27.98634812286689,27.98634812286689,15.173453996983405,4.826546003016595,历史1/1次成功; 当前距低点4.83%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
10,77.78476549651617,70.83868400953958,301024,霍普股份,bottom_area,2025-12-23,34.96,2025-12-17,33.34,4.8590281943611195,6.178764247150554,27.913513513513504,False,-0.1428,1.0893,1,1,1,100.0,37.51219512195122,37.51219512195122,15.14097180563888,4.8590281943611195,历史1/1次成功; 当前距低点4.86%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
11,63.17154196320405,56.88339790778768,605228,神通科技,bottom_area,2025-12-23,14.51,2025-12-16,13.92,4.238505747126435,10.272988505747124,28.247422680412367,True,-3.2021,1.7423,1,2,1,50.0,47.56554307116105,47.56554307116105,15.761494252873565,4.238505747126435,历史1/2次成功; 当前距低点4.24%; 最新日涨幅-3.20%; 状态bottom_area; 底部已确认
