rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,79.56054196832582,77.95685803167423,600250,南京商旅,bottom_area,2022-04-29,4.55,2022-04-28,4.42,2.941176470588233,7.013574660633496,31.472868217054266,False,2.9412,4.3734,2,2,2,100.0,13.133012820512816,14.8076923076923,5.058823529411767,2.941176470588233,历史2/2次成功; 当前距低点2.94%; 最新日涨幅2.94%; 状态bottom_area; 底部未确认
2,76.57802752573613,76.28406196901547,000605,渤海股份,bottom_area,2022-04-29,5.19,2022-04-27,5.0,3.8000000000000074,5.3999999999999915,27.849927849927848,False,1.5656,2.7136,2,2,2,100.0,14.666999833416622,20.521739130434778,4.199999999999992,3.8000000000000074,历史2/2次成功; 当前距低点3.80%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
3,76.46542702643427,75.0582008798766,002299,圣农发展,bottom_area,2022-04-29,16.3,2022-04-28,15.82,3.0341340075853376,5.941845764854622,27.096774193548384,False,1.3682,1.0352,1,1,1,100.0,15.354980737479357,15.354980737479357,4.965865992414662,3.0341340075853376,历史1/1次成功; 当前距低点3.03%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
4,76.18210557849491,77.1485212179511,000012,南玻A,bottom_area,2022-04-29,5.62,2022-04-27,5.37,4.655493482309125,6.145251396648046,29.527559055118108,False,1.8116,3.2897,1,1,1,100.0,46.467991169977914,46.467991169977914,3.3445065176908755,4.655493482309125,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
5,75.69166504000206,75.21530146406299,000576,甘化科工,bottom_area,2022-04-29,9.6,2022-04-29,9.26,3.6717062634989186,5.939524838012967,27.258444619010213,False,1.5873,2.0151,1,1,1,100.0,24.015009380863045,24.015009380863045,4.328293736501081,3.6717062634989186,历史1/1次成功; 当前距低点3.67%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
6,73.79674177716704,74.6347459421313,002479,富春环保,bottom_area,2022-04-29,4.56,2022-04-28,4.36,4.587155963302736,5.73394495412844,28.990228013029306,False,3.8724,0.7545,1,1,1,100.0,32.11538461538461,32.11538461538461,3.4128440366972637,4.587155963302736,历史1/1次成功; 当前距低点4.59%; 最新日涨幅3.87%; 状态bottom_area; 底部未确认
7,71.93177274505288,69.91624228722154,000715,中兴商业,confirmed_rebound,2022-04-29,6.91,2022-04-29,6.74,2.522255192878337,10.830860534124621,27.056277056277057,False,-7.7437,19.9992,1,1,1,100.0,24.33862433862435,24.33862433862435,5.477744807121663,2.522255192878337,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-7.74%; 状态confirmed_rebound; 底部未确认
8,71.07499933935522,72.33809136315723,001234,泰慕士,bottom_area,2022-04-29,24.97,2022-04-29,23.8,4.915966386554614,6.55462184873949,27.791262135922327,False,0.7667,46.5169,1,1,1,100.0,23.79835873388042,23.79835873388042,3.084033613445386,4.915966386554614,历史1/1次成功; 当前距低点4.92%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
9,71.05054873767938,71.21672108688209,302132,中航成飞,confirmed_rebound,2022-04-29,9.6,2022-04-28,9.22,4.121475054229924,13.882863340563983,32.255694342395294,False,2.6738,3.553,1,1,1,100.0,18.24561403508772,18.24561403508772,3.878524945770076,4.121475054229924,历史1/1次成功; 当前距低点4.12%; 最新日涨幅2.67%; 状态confirmed_rebound; 底部未确认
10,70.64343336244194,71.15223144202739,000652,泰达股份,bottom_area,2022-04-29,3.58,2022-04-27,3.43,4.373177842565594,6.413994169096203,28.985507246376805,False,2.2857,1.2507,1,1,1,100.0,10.769230769230779,10.769230769230779,3.626822157434406,4.373177842565594,历史1/1次成功; 当前距低点4.37%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
11,69.97994285714292,71.01285714285717,002274,华昌化工,confirmed_rebound,2022-04-29,8.36,2022-04-27,7.98,4.761904761904749,10.651629072681699,30.48780487804878,False,2.451,2.3757,1,1,1,100.0,24.999999999999993,24.999999999999993,3.238095238095251,4.761904761904749,历史1/1次成功; 当前距低点4.76%; 最新日涨幅2.45%; 状态confirmed_rebound; 底部未确认
12,69.97588002990193,70.68832933341984,603116,红蜻蜓,bottom_area,2022-04-29,5.08,2022-04-28,4.86,4.526748971193411,5.5555555555555465,30.96590909090909,False,2.4194,1.9814,1,1,1,100.0,10.157618213660246,10.157618213660246,3.47325102880659,4.526748971193411,历史1/1次成功; 当前距低点4.53%; 最新日涨幅2.42%; 状态bottom_area; 底部未确认
13,69.75383241284132,65.60584966013595,000809,和展能源,bottom_area,2022-04-29,2.48,2022-04-27,2.46,0.8130081300813016,6.910569105691054,32.602739726027394,False,-4.9808,0.0946,1,1,1,100.0,9.836065573770501,9.836065573770501,7.186991869918699,0.8130081300813016,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
14,67.45733137043545,68.36115390951929,000757,浩物股份,confirmed_rebound,2022-04-29,3.57,2022-04-28,3.41,4.6920821114369415,9.090909090909092,29.106029106029098,False,2.0,2.348,1,1,1,100.0,9.88764044943819,9.88764044943819,3.3079178885630585,4.6920821114369415,历史1/1次成功; 当前距低点4.69%; 最新日涨幅2.00%; 状态confirmed_rebound; 底部未确认
