rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.18,72.65,603777,来伊份,bottom_area,2025-01-22,16.82,2025-01-22,16.82,0.0,7.015457788347204,31.626016260162604,False,-10.0054,15.961,1,1,1,100.0,98.38709677419355,98.38709677419355,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
2,82.6061127598746,69.94386189887192,002246,北化股份,bottom_area,2025-01-22,9.28,2025-01-06,9.2,0.8695652173913052,6.521739130434799,27.38752959747435,False,-0.9605,0.9862,3,4,3,75.0,27.803605346903716,31.992687385740403,19.130434782608695,0.8695652173913052,历史3/4次成功; 当前距低点0.87%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
3,76.41977930190973,64.3599751608676,600325,华发股份,bottom_area,2025-01-22,5.23,2025-01-13,5.2,0.5769230769230818,5.769230769230766,29.539295392953925,False,-2.6071,1.4833,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,19.42307692307692,0.5769230769230818,历史2/3次成功; 当前距低点0.58%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
4,74.1969310468079,66.57636988989321,300358,楚天科技,bottom_area,2025-01-22,6.43,2025-01-13,6.18,4.045307443365696,9.223300970873792,28.637413394919175,True,-0.9245,0.848,2,3,2,66.66666666666666,34.317226850001745,38.205499276411004,15.954692556634303,4.045307443365696,历史2/3次成功; 当前距低点4.05%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
5,69.97630182351905,60.01617127199628,300682,朗新科技,bottom_area,2025-01-22,10.34,2025-01-13,10.18,1.5717092337917498,7.26915520628684,29.256428075052128,True,-0.5769,1.0339,1,2,1,50.0,21.503593145384194,21.503593145384194,18.428290766208253,1.5717092337917498,历史1/2次成功; 当前距低点1.57%; 最新日涨幅-0.58%; 状态bottom_area; 底部已确认
6,69.922930890551,58.51070734150896,600202,哈空调,bottom_area,2025-01-22,4.44,2025-01-22,4.43,0.22573363431152765,3.160270880361187,29.006410256410263,False,-2.8446,5.583,2,5,2,40.0,34.27623670827554,41.50485436893204,19.774266365688472,0.22573363431152765,历史2/5次成功; 当前距低点0.23%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
7,69.05541301122749,58.578386986937936,300347,泰格医药,bottom_area,2025-01-22,48.9,2025-01-22,48.43,0.9704728474086287,1.8790006194507614,29.913169319826334,False,-1.4113,1.3318,2,4,2,50.0,22.102500424890394,23.423271500843175,19.02952715259137,0.9704728474086287,历史2/4次成功; 当前距低点0.97%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
8,67.44480323873323,58.57275377054738,002571,德力股份,bottom_area,2025-01-22,4.08,2025-01-22,3.99,2.2556390977443574,4.511278195488715,28.749999999999993,False,0.2457,6.8729,1,3,1,33.33333333333333,28.291814946619215,28.291814946619215,17.744360902255643,2.2556390977443574,历史1/3次成功; 当前距低点2.26%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
9,63.57101852503374,57.93417944399627,002761,浙江建投,bottom_area,2025-01-22,8.14,2025-01-13,7.76,4.8969072164948555,9.020618556701045,30.71428571428571,True,-1.2136,1.0793,3,7,3,42.857142857142854,33.213437237505204,43.73730534867976,15.103092783505145,4.8969072164948555,历史3/7次成功; 当前距低点4.90%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
10,62.29913369878185,53.31319317459543,300601,康泰生物,bottom_area,2025-01-22,14.69,2025-01-13,14.48,1.4502762430939162,6.21546961325967,28.775209050664035,False,-1.6734,1.0002,1,5,1,20.0,24.837758112094402,24.837758112094402,18.549723756906083,1.4502762430939162,历史1/5次成功; 当前距低点1.45%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
11,61.273765278208465,55.11822615308313,000629,钒钛股份,bottom_area,2025-01-22,2.74,2025-01-13,2.63,4.182509505703434,7.604562737642592,27.348066298342545,True,-0.3636,0.4367,1,2,1,50.0,27.173913043478265,27.173913043478265,15.817490494296566,4.182509505703434,历史1/2次成功; 当前距低点4.18%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
12,60.24477595019727,52.00575411687773,000421,南京公用,bottom_area,2025-01-22,6.35,2025-01-22,6.23,1.9261637239165204,3.8523274478330545,27.726218097447784,False,-1.0903,4.2062,1,6,1,16.666666666666664,30.864197530864196,30.864197530864196,18.07383627608348,1.9261637239165204,历史1/6次成功; 当前距低点1.93%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
13,59.488701538461534,49.57391794871795,603177,德创环保,bottom_area,2025-01-22,7.67,2025-01-22,7.67,0.0,4.041720990873539,29.243542435424352,False,-9.9765,11.8864,1,3,1,33.33333333333333,37.04615384615384,37.04615384615384,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
