rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.8414573348585,85.39670121699632,000983,山西焦煤,bottom_area,2023-04-11,10.43,2023-04-11,10.25,1.756097560975607,1.756097560975607,27.715091678420308,False,1.0659,0.7619,3,3,3,100.0,21.938729333444627,27.212389380530986,8.243902439024394,1.756097560975607,历史3/3次成功; 当前距低点1.76%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
2,85.2678194204697,81.5893112487497,002006,精工科技,bottom_area,2023-04-11,22.18,2023-04-11,21.6,2.685185185185177,4.62962962962963,29.938371715861166,False,-1.4222,1.4904,3,3,3,100.0,35.330825112752166,61.48648648648647,7.314814814814824,2.685185185185177,历史3/3次成功; 当前距低点2.69%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
3,84.21896252236134,80.39996422182469,603030,全筑股份,bottom_area,2023-04-11,2.0,2023-04-11,1.95,2.5641025641025665,3.076923076923068,31.578947368421055,False,0.5025,3.4313,2,2,2,100.0,21.645796064400706,27.906976744186036,7.435897435897434,2.5641025641025665,历史2/2次成功; 当前距低点2.56%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
4,82.6438742925328,77.5357131728587,000887,中鼎股份,bottom_area,2023-04-11,12.31,2023-04-06,12.11,1.6515276630883657,6.853839801816681,28.512396694214885,False,-1.2039,1.9739,2,2,2,100.0,17.53331314354936,23.84615384615385,8.348472336911634,1.6515276630883657,历史2/2次成功; 当前距低点1.65%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
5,81.27257538028572,75.38045197797092,001299,美能能源,bottom_area,2023-04-11,16.35,2023-04-11,16.18,1.0506798516687375,3.4610630407910925,28.407079646017703,False,-2.0958,4.0302,1,1,1,100.0,15.247322794492616,15.247322794492616,8.949320148331264,1.0506798516687375,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
6,80.05676575823979,77.76397055752649,603356,华菱精工,bottom_area,2023-04-11,12.21,2023-04-06,11.8,3.474576271186441,7.711864406779662,30.3834808259587,True,-0.2451,0.8208,2,2,2,100.0,31.91400245070737,38.38297872340427,6.525423728813559,3.474576271186441,历史2/2次成功; 当前距低点3.47%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
7,79.80130620319136,74.18132604742785,000799,酒鬼酒,bottom_area,2023-04-11,123.02,2023-04-10,121.6,1.1677631578947383,3.4950657894736845,27.902288628009014,False,-1.2839,1.5644,1,1,1,100.0,10.235623910902333,10.235623910902333,8.832236842105262,1.1677631578947383,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
8,79.01158585056254,72.97775497528629,002347,泰尔股份,bottom_area,2023-04-11,4.85,2023-04-11,4.81,0.8316008316008323,1.4553014553014614,32.06214689265538,False,-0.2058,1.5576,2,2,2,100.0,22.816155222237516,29.585798816568047,9.16839916839917,0.8316008316008323,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
9,78.04122533322384,71.59125820269776,002329,皇氏集团,bottom_area,2023-04-11,6.36,2023-04-11,6.33,0.4739336492891035,1.8957345971563997,28.635851183765492,False,-0.9346,2.2338,1,1,1,100.0,27.644230769230756,27.644230769230756,9.526066350710897,0.4739336492891035,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
10,76.28505334014208,73.07745511925859,300530,领湃科技,bottom_area,2023-04-11,23.58,2023-04-06,22.95,2.745098039215682,6.753812636165581,28.393135725429016,False,-1.9135,0.2734,3,4,3,75.0,27.802573379948058,34.07510431154381,7.254901960784318,2.745098039215682,历史3/4次成功; 当前距低点2.75%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
11,75.7876753407367,69.29257336222845,002729,好利科技,bottom_area,2023-04-11,20.11,2023-04-11,20.05,0.29925187032418316,1.6458852867830338,32.3549257759784,False,-0.8871,2.1475,1,1,1,100.0,13.144449605202036,13.144449605202036,9.700748129675818,0.29925187032418316,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
12,75.76951597815041,75.11633049558016,002125,湘潭电化,bottom_area,2023-04-11,12.88,2023-04-10,12.32,4.545454545454549,7.629870129870126,29.236071223434806,False,-1.9787,1.832,3,3,3,100.0,23.333155157078114,32.067510548523195,5.454545454545451,4.545454545454549,历史3/3次成功; 当前距低点4.55%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
13,74.99355701628991,68.66411648708107,300767,震安科技,bottom_area,2023-04-11,40.28,2023-04-11,40.13,0.37378519810615146,1.6944928980812353,28.94830028328611,False,-1.3229,0.41,1,1,1,100.0,10.679283541737075,10.679283541737075,9.62621480189385,0.37378519810615146,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
14,74.09167527376358,73.94955276070829,603051,鹿山新材,bottom_area,2023-04-11,48.39,2023-04-04,46.13,4.899197918924774,6.004769130717529,31.14925373134328,False,0.1656,3.8621,2,2,2,100.0,15.58991406374611,18.738110336081178,5.100802081075227,4.899197918924774,历史2/2次成功; 当前距低点4.90%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
15,73.94289068139733,68.08156398104266,001227,兰州银行,bottom_area,2023-04-11,3.02,2023-04-11,3.0,0.6666666666666672,1.6666666666666607,28.571428571428577,False,-0.6579,1.0552,1,1,1,100.0,11.137440758293856,11.137440758293856,9.333333333333334,0.6666666666666672,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
16,72.27607445176402,69.89616595082234,601888,中国中免,bottom_area,2023-04-11,179.27,2023-04-06,173.64,3.2423404745450495,5.638101819857188,27.646985291053806,False,-0.3225,0.5666,1,1,1,100.0,12.627431359059372,12.627431359059372,6.757659525454951,3.2423404745450495,历史1/1次成功; 当前距低点3.24%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
