rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.10045706086812,84.55189098125395,000661,长春高新,bottom_area,2025-11-13,104.46,2025-11-13,102.75,1.6642335766423297,1.761557177615574,27.52345348099034,False,0.9861,1.943,3,3,3,100.0,16.270664172034742,25.03526756324649,8.335766423357672,1.6642335766423297,历史3/3次成功; 当前距低点1.66%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
2,89.51302618501138,84.22124861703814,002790,瑞尔特,bottom_area,2025-11-13,9.04,2025-11-12,8.88,1.8018018018017834,2.702702702702685,32.829046898638424,False,1.0056,3.8875,1,1,1,100.0,49.512670565302145,49.512670565302145,8.198198198198217,1.8018018018017834,历史1/1次成功; 当前距低点1.80%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
3,89.20866351072387,84.03619788331311,002338,奥普光电,bottom_area,2025-11-13,51.34,2025-11-12,50.4,1.8650793650793747,2.3809523809523867,28.35820895522388,False,0.6469,0.8863,3,3,3,100.0,15.960101267172554,20.995288574793882,8.134920634920626,1.8650793650793747,历史3/3次成功; 当前距低点1.87%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
4,87.44616079404966,82.9014441732379,603809,豪能股份,bottom_area,2025-11-13,12.55,2025-11-13,12.28,2.19869706840392,2.6872964169381115,27.764705882352946,False,0.9654,1.6069,2,2,2,100.0,30.615448866660387,31.661442006269603,7.801302931596081,2.19869706840392,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
5,85.67082891828518,80.69787365832542,002181,粤传媒,bottom_area,2025-11-13,9.85,2025-11-13,9.67,1.8614270941054778,2.6887280248190257,30.879199428162973,False,0.1016,5.0953,2,2,2,100.0,14.634018456375832,17.187499999999993,8.138572905894522,1.8614270941054778,历史2/2次成功; 当前距低点1.86%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
6,84.56813660551381,77.7653265253178,603759,海天股份,bottom_area,2025-11-13,11.74,2025-11-12,11.67,0.5998286203941755,7.36932305055698,29.14389799635701,False,0.0853,9.8304,1,1,1,100.0,39.90825688073395,39.90825688073395,9.400171379605824,0.5998286203941755,历史1/1次成功; 当前距低点0.60%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
7,82.3220724218213,77.51534215928096,603151,邦基科技,bottom_area,2025-11-13,19.9,2025-11-13,19.54,1.842374616171952,4.298874104401228,27.549128661475713,False,-0.0502,4.2925,1,1,1,100.0,36.42987249544626,36.42987249544626,8.157625383828048,1.842374616171952,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
8,82.1357285101743,81.62852215889573,002678,珠江钢琴,bottom_area,2025-11-13,5.15,2025-11-03,4.92,4.674796747967489,4.878048780487809,29.613733905579405,False,0.7828,1.5625,4,4,4,100.0,20.79063841000859,35.5191256830601,5.325203252032512,4.674796747967489,历史4/4次成功; 当前距低点4.67%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
9,81.89397853093162,81.11520484496896,300563,神宇股份,bottom_area,2025-11-13,38.33,2025-10-23,36.68,4.4983642311886545,6.27044711014176,28.776699029126213,False,0.4192,3.03,4,4,4,100.0,15.86814673160799,20.477137176938378,5.501635768811346,4.4983642311886545,历史4/4次成功; 当前距低点4.50%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
10,80.32990352599491,75.18191735826079,002123,梦网科技,bottom_area,2025-11-13,11.99,2025-11-13,11.81,1.5241320914479228,1.6088060965283615,31.93083573487032,False,0.6717,1.5789,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,8.475867908552077,1.5241320914479228,历史2/3次成功; 当前距低点1.52%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
11,79.82141734315088,74.68784598015569,688631,莱斯信息,bottom_area,2025-11-13,65.15,2025-11-13,64.18,1.511374259894046,5.952009971953869,31.788712934424485,False,-2.4701,6.2429,1,1,1,100.0,17.17085641244142,17.17085641244142,8.488625740105954,1.511374259894046,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
