rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.03334781579615,79.1356563092868,000856,冀东装备,bottom_area,2024-04-19,6.9,2024-04-19,6.82,1.1730205278592385,5.718475073313778,27.36954206602769,False,-2.4045,6.6461,2,2,2,100.0,20.269586627988584,25.237449118046136,13.82697947214076,1.1730205278592385,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
2,87.72286214811164,79.65774159851176,603268,松发股份,bottom_area,2024-04-19,13.23,2024-04-17,12.93,2.3201856148491933,10.672853828306271,31.478537360890307,True,-2.9347,0.8138,2,2,2,100.0,27.94497204498886,37.532133676092535,12.679814385150806,2.3201856148491933,历史2/2次成功; 当前距低点2.32%; 最新日涨幅-2.93%; 状态bottom_area; 底部已确认
3,87.58984095944548,79.4861269191402,300725,药石科技,bottom_area,2024-04-19,29.98,2024-04-16,29.31,2.285909245991135,9.757761856021846,27.053260328521656,True,-1.7049,2.4607,1,1,1,100.0,43.26881720430109,43.26881720430109,12.714090754008863,2.285909245991135,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
4,86.98915830601148,78.2079183508305,300567,精测电子,bottom_area,2024-04-19,57.0,2024-04-16,56.0,1.7857142857142856,8.017857142857146,28.19592255417361,True,-3.3898,1.4094,2,2,2,100.0,23.81369313042512,29.212752114508785,13.214285714285715,1.7857142857142856,历史2/2次成功; 当前距低点1.79%; 最新日涨幅-3.39%; 状态bottom_area; 底部已确认
5,84.05791250439651,79.18843498434704,603122,合富中国,bottom_area,2024-04-19,5.83,2024-04-16,5.59,4.293381037567088,8.586762075134176,29.150823827629914,True,-0.6814,2.6475,2,2,2,100.0,49.609375,72.1590909090909,10.706618962432913,4.293381037567088,历史2/2次成功; 当前距低点4.29%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
6,82.91068696147987,76.09230357898129,000042,中洲控股,bottom_area,2024-04-19,3.56,2024-04-17,3.46,2.890173410404627,6.358381502890179,32.81553398058253,False,-1.385,1.3208,2,2,2,100.0,24.956445993031362,28.57142857142858,12.109826589595372,2.890173410404627,历史2/2次成功; 当前距低点2.89%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
7,82.63450790123456,71.85609382716049,002310,东方新能,bottom_area,2024-04-19,1.25,2024-04-19,1.25,0.0,0.0,28.97727272727273,False,-10.0719,1.4673,2,2,2,100.0,29.065020576131683,39.2,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.07%; 状态bottom_area; 底部未确认
8,82.56075446127093,74.88343108504401,600358,国旅联合,bottom_area,2024-04-19,3.17,2024-04-17,3.1,2.2580645161290267,9.677419354838705,29.22374429223744,True,-2.7607,2.3545,1,1,1,100.0,18.181818181818198,18.181818181818198,12.741935483870973,2.2580645161290267,历史1/1次成功; 当前距低点2.26%; 最新日涨幅-2.76%; 状态bottom_area; 底部已确认
9,82.1747850678761,74.25132186242291,600241,时代万恒,bottom_area,2024-04-19,5.96,2024-04-16,5.84,2.054794520547947,9.07534246575343,28.34355828220859,True,-3.2468,1.8056,1,1,1,100.0,22.50673854447439,22.50673854447439,12.945205479452051,2.054794520547947,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-3.25%; 状态bottom_area; 底部已确认
10,82.12413657603759,77.47165525505265,300584,海辰药业,bottom_area,2024-04-19,14.82,2024-04-16,14.2,4.366197183098599,10.98591549295775,28.96448224112056,True,-2.5641,1.7348,2,2,2,100.0,41.271961465147655,54.23197492163009,10.6338028169014,4.366197183098599,历史2/2次成功; 当前距低点4.37%; 最新日涨幅-2.56%; 状态bottom_area; 底部已确认
11,81.43999436861215,76.50621301775148,600052,东望时代,bottom_area,2024-04-19,3.52,2024-04-16,3.38,4.14201183431953,9.467455621301783,27.311827956989255,True,-1.1236,0.678,1,1,1,100.0,56.0655737704918,56.0655737704918,10.857988165680469,4.14201183431953,历史1/1次成功; 当前距低点4.14%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
