rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.8967780215986,74.00717409999716,601966,玲珑轮胎,bottom_area,2022-02-10,28.78,2022-02-10,28.38,1.4094432699083936,4.474982381959125,31.614457831325304,False,-3.5199,1.3556,1,1,1,100.0,22.476907287033857,22.476907287033857,13.590556730091604,1.4094432699083936,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
2,82.86778319321753,76.84925548922341,300624,万兴科技,bottom_area,2022-02-10,41.39,2022-02-08,40.01,3.4491377155711134,5.223694076480888,27.557486873076225,False,-1.593,3.5681,2,2,2,100.0,35.87790043400834,51.195680123425035,11.550862284428886,3.4491377155711134,历史2/2次成功; 当前距低点3.45%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
3,80.3055261273648,74.38361620618767,300658,延江股份,bottom_area,2022-02-10,10.08,2022-01-27,9.75,3.384615384615385,6.871794871794871,32.57261410788382,False,-2.8902,1.686,2,2,2,100.0,21.830856360810415,26.72018348623853,11.615384615384613,3.384615384615385,历史2/2次成功; 当前距低点3.38%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
4,80.08311708872533,70.05933043896377,300562,乐心医疗,bottom_area,2022-02-10,12.42,2022-02-10,12.38,0.3231017770597669,4.200323101777056,27.004716981132077,False,-2.6646,4.2209,1,1,1,100.0,17.559153175591536,17.559153175591536,14.676898222940233,0.3231017770597669,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
5,77.90532558798758,71.01192463629859,603319,美湖股份,bottom_area,2022-02-10,21.53,2022-02-10,21.0,2.523809523809529,6.476190476190473,27.108642832349876,False,-3.712,3.5395,1,1,1,100.0,20.033388981636072,20.033388981636072,12.47619047619047,2.523809523809529,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
6,77.48241129819829,68.47033163265307,688356,键凯科技,bottom_area,2022-02-10,197.69,2022-02-09,196.0,0.8622448979591826,6.377551020408164,32.151758515646634,False,-2.0561,1.8053,1,1,1,100.0,15.625,15.625,14.137755102040817,0.8622448979591826,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
7,76.67621525492399,72.23038909094048,688311,盟升电子,bottom_area,2022-02-10,56.88,2022-01-28,54.54,4.290429042904297,6.784011734506789,28.882514017472943,False,-1.1298,0.573,2,2,2,100.0,21.357888756786508,23.893805309734503,10.709570957095703,4.290429042904297,历史2/2次成功; 当前距低点4.29%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
8,75.26536450020757,71.72124452234881,603368,柳药集团,bottom_area,2022-02-10,17.1,2022-01-28,16.3,4.907975460122704,6.871165644171786,30.282292557741652,False,-0.7545,2.1225,1,1,1,100.0,42.85714285714285,42.85714285714285,10.092024539877295,4.907975460122704,历史1/1次成功; 当前距低点4.91%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
9,67.42246456690017,59.810008078231455,300573,兴齐眼药,bottom_area,2022-02-10,99.35,2022-02-10,98.3,1.06815869786368,3.1434384537131264,28.50909090909091,False,-1.6531,1.4222,1,3,1,33.33333333333333,42.86062675283501,42.86062675283501,13.93184130213632,1.06815869786368,历史1/3次成功; 当前距低点1.07%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
10,65.87080372249669,58.46682165053889,300648,星云股份,bottom_area,2022-02-10,45.09,2022-02-10,44.6,1.0986547085201839,5.9417040358744355,29.183867894569698,False,-4.2065,2.2669,1,2,1,50.0,26.78362573099414,26.78362573099414,13.901345291479817,1.0986547085201839,历史1/2次成功; 当前距低点1.10%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
11,62.670589730716976,55.94750175015611,688039,当虹科技,bottom_area,2022-02-10,61.98,2022-02-10,61.12,1.407068062827224,7.14986910994764,32.081342371374596,False,-4.8949,3.06,1,2,1,50.0,17.019445878506282,17.019445878506282,13.592931937172775,1.407068062827224,历史1/2次成功; 当前距低点1.41%; 最新日涨幅-4.89%; 状态bottom_area; 底部未确认
