rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.68012043739017,86.57315630523719,002678,珠江钢琴,bottom_area,2025-11-21,4.99,2025-11-03,4.92,1.4227642276422823,7.113821138211375,29.613733905579405,True,-2.1569,1.1153,4,4,4,100.0,20.79063841000859,35.5191256830601,8.577235772357717,1.4227642276422823,历史4/4次成功; 当前距低点1.42%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
2,87.31664216958819,81.81940115451893,300559,佳发教育,bottom_area,2025-11-21,11.52,2025-11-21,11.34,1.5873015873015848,4.409171075837742,27.908455181182457,False,-1.9574,2.8404,3,3,3,100.0,23.109939642830778,29.09783989834816,8.412698412698417,1.5873015873015848,历史3/3次成功; 当前距低点1.59%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
3,86.22043758927627,78.38221599025115,000619,海螺新材,bottom_area,2025-11-21,6.19,2025-11-21,6.19,0.0,6.1389337641357,27.85547785547785,False,-5.4962,7.3768,4,4,4,100.0,30.81836553898465,43.133047210300425,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-5.50%; 状态bottom_area; 底部未确认
4,86.19150784150433,78.35591621954939,001309,德明利,bottom_area,2025-11-21,222.71,2025-11-21,222.71,0.0,3.2688249292802305,27.21895424836601,False,-10.0016,8.0203,7,7,7,100.0,30.676968922308458,64.1432791728213,10.0,0.0,历史7/7次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
5,86.04598804122462,78.32945567726479,002636,金安国纪,bottom_area,2025-11-21,14.13,2025-11-21,14.12,0.07082152974505357,5.7365439093484465,27.36625514403293,False,-6.2997,3.4729,3,3,3,100.0,35.811444973567276,69.0,9.929178470254946,0.07082152974505357,历史3/3次成功; 当前距低点0.07%; 最新日涨幅-6.30%; 状态bottom_area; 底部未确认
6,85.72734086195216,78.23086439325463,002160,常铝股份,bottom_area,2025-11-21,5.03,2025-11-21,5.02,0.1992031872510095,6.573705179282871,27.665706051873208,False,-7.024,10.3047,3,3,3,100.0,36.855094947241525,40.066225165562926,9.800796812748992,0.1992031872510095,历史3/3次成功; 当前距低点0.20%; 最新日涨幅-7.02%; 状态bottom_area; 底部未确认
7,85.03046148173756,80.05163997132583,300560,中富通,confirmed_rebound,2025-11-21,17.22,2025-11-21,16.91,1.833234772324061,11.235955056179767,31.70436187399031,False,-12.8101,29.5753,5,5,5,100.0,20.383952968949895,41.47727272727274,8.16676522767594,1.833234772324061,历史5/5次成功; 当前距低点1.83%; 最新日涨幅-12.81%; 状态confirmed_rebound; 底部未确认
8,83.7688296012526,76.15348145568419,600376,首开股份,bottom_area,2025-11-21,5.68,2025-11-21,5.68,0.0,7.218309859154933,28.911138923654573,False,-5.3333,8.7566,4,4,4,100.0,18.835921804753653,24.99999999999999,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-5.33%; 状态bottom_area; 底部未确认
9,83.67284422787871,77.71471600112572,688050,爱博医疗,bottom_area,2025-11-21,60.3,2025-11-21,59.63,1.1235955056179685,2.666443065571015,28.86794703566742,False,-1.1475,1.2413,2,2,2,100.0,12.024267494272554,12.90770757525636,8.876404494382031,1.1235955056179685,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
10,83.59985502608409,76.29438426135556,000661,长春高新,bottom_area,2025-11-21,98.91,2025-11-21,98.71,0.2026137169486403,2.7048931212643113,30.37313959229739,False,-2.7338,1.6844,3,3,3,100.0,16.270664172034742,25.03526756324649,9.79738628305136,0.2026137169486403,历史3/3次成功; 当前距低点0.20%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
11,83.53002840683432,75.93638946075846,301038,深水规院,bottom_area,2025-11-21,23.5,2025-11-21,23.5,0.0,3.4893617021276606,27.803379416282638,False,-2.6915,1.5444,3,3,3,100.0,24.12037344493796,39.102564102564095,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
