rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.60850378707313,80.32679820550443,300561,汇金科技,bottom_area,2023-09-15,12.88,2023-09-13,12.75,1.019607843137261,3.058823529411769,30.96913914455874,False,-0.9231,2.8304,2,2,2,100.0,24.79303273041607,27.62128325508607,18.98039215686274,1.019607843137261,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
2,93.17712755411658,80.90762029985315,601777,千里科技,bottom_area,2023-09-15,3.64,2023-08-25,3.56,2.247191011235957,8.146067415730338,27.93522267206478,True,0.0,0.5325,1,1,1,100.0,27.96352583586626,27.96352583586626,17.752808988764045,2.247191011235957,历史1/1次成功; 当前距低点2.25%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,84.63734407285047,75.85633134301145,002339,积成电子,bottom_area,2023-09-15,6.79,2023-08-25,6.53,3.981623277182232,9.494640122511488,27.201783723522855,True,-0.1471,0.7703,3,4,3,75.0,48.70662588702658,82.94930875576038,16.018376722817766,3.981623277182232,历史3/4次成功; 当前距低点3.98%; 最新日涨幅-0.15%; 状态bottom_area; 底部已确认
4,84.52706393628935,71.72114382682079,603106,恒银科技,bottom_area,2023-09-15,7.18,2023-09-11,7.11,0.9845288326300898,6.610407876230657,30.634146341463413,False,-0.4161,4.8312,1,1,1,100.0,34.60144927536232,34.60144927536232,19.01547116736991,0.9845288326300898,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
5,77.94976626733462,70.4319239500568,300749,顶固集创,bottom_area,2023-09-15,9.2,2023-09-11,8.81,4.426787741203164,8.626560726447217,28.663967611336027,True,-1.2876,4.5796,1,1,1,100.0,20.833333333333336,20.833333333333336,15.573212258796836,4.426787741203164,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
6,74.88044403557078,64.30176634633503,601778,晶科科技,bottom_area,2023-09-15,3.72,2023-08-29,3.66,1.6393442622950833,7.377049180327869,28.79377431906614,True,0.2695,1.0098,1,3,1,33.33333333333333,42.344827586206904,42.344827586206904,18.360655737704917,1.6393442622950833,历史1/3次成功; 当前距低点1.64%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
7,68.375490841796,60.70151948247329,002272,川润股份,bottom_area,2023-09-15,5.98,2023-08-25,5.78,3.4602076124567507,10.553633217993069,29.42612942612942,True,-0.1669,1.6787,1,2,1,50.0,48.337595907928375,48.337595907928375,16.53979238754325,3.4602076124567507,历史1/2次成功; 当前距低点3.46%; 最新日涨幅-0.17%; 状态bottom_area; 底部已确认
8,67.66307783497973,59.4344266055046,002265,建设工业,bottom_area,2023-09-15,12.51,2023-08-25,12.16,2.8782894736842075,7.1546052631578885,28.344136711844424,True,0.8058,0.5997,1,4,1,25.0,32.75229357798165,32.75229357798165,17.12171052631579,2.8782894736842075,历史1/4次成功; 当前距低点2.88%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
9,67.60700028944036,59.89976136923504,002386,天原股份,bottom_area,2023-09-15,5.86,2023-08-31,5.67,3.350970017636691,5.996472663139327,31.604342581423396,False,0.3425,0.3072,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,16.649029982363313,3.350970017636691,历史1/3次成功; 当前距低点3.35%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
10,66.38698872583859,57.485340802987864,603226,菲林格尔,bottom_area,2023-09-15,5.36,2023-09-12,5.25,2.0952380952381016,3.428571428571423,29.71887550200803,False,1.5152,3.2449,1,3,1,33.33333333333333,20.479302832244016,20.479302832244016,17.9047619047619,2.0952380952381016,历史1/3次成功; 当前距低点2.10%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
11,66.1982558188786,57.990008271298635,002069,獐子岛,bottom_area,2023-09-15,4.14,2023-09-14,4.03,2.7295285359801347,4.21836228287841,28.79858657243816,False,1.2225,1.6196,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,17.270471464019867,2.7295285359801347,历史1/3次成功; 当前距低点2.73%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
12,64.55991885814218,54.07122570543036,688191,智洋创新,bottom_area,2023-09-15,18.27,2023-09-15,18.22,0.27442371020856593,2.524698133918775,27.120000000000005,False,-1.6685,2.9347,1,2,1,50.0,22.671568627450974,22.671568627450974,19.725576289791434,0.27442371020856593,历史1/2次成功; 当前距低点0.27%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
