rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.09605249009871,80.20380882646162,000928,中钢国际,bottom_area,2023-11-24,6.12,2023-10-23,5.97,2.5125628140703578,7.705192629815745,31.06235565819862,True,-1.9231,1.6059,3,3,3,100.0,16.57232280936585,18.798449612403097,7.487437185929643,2.5125628140703578,历史3/3次成功; 当前距低点2.51%; 最新日涨幅-1.92%; 状态bottom_area; 底部已确认
2,83.21752150350035,77.94957428750112,300554,三超新材,bottom_area,2023-11-24,29.15,2023-11-23,28.7,1.5679442508710777,4.00696864111499,27.341772151898734,False,0.3097,13.7711,1,1,1,100.0,12.927350427350436,12.927350427350436,8.432055749128923,1.5679442508710777,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
3,81.68937527208126,77.08748595878414,301448,开创电气,bottom_area,2023-11-24,39.6,2023-11-24,38.84,1.9567456230689957,2.909371781668371,28.32625945746447,False,0.5076,20.7799,1,1,1,100.0,13.058419243986243,13.058419243986243,8.043254376931005,1.9567456230689957,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
4,77.53703475507815,70.92993331872036,605086,龙高股份,bottom_area,2023-11-24,27.59,2023-11-24,27.5,0.3272727272727267,4.9090909090909145,30.95656540296259,False,-3.6662,15.8321,2,2,2,100.0,15.839328693022429,17.79249448123621,9.672727272727274,0.3272727272727267,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
5,77.51320956509925,75.10057597833206,603326,我乐家居,bottom_area,2023-11-24,10.21,2023-11-02,9.88,3.340080971659919,9.00809716599189,30.909090909090907,True,-2.2031,3.7134,2,2,2,100.0,15.946024697401477,20.141843971631218,6.659919028340081,3.340080971659919,历史2/2次成功; 当前距低点3.34%; 最新日涨幅-2.20%; 状态bottom_area; 底部已确认
6,77.23067390537952,70.35613719648353,300683,海特生物,bottom_area,2023-11-24,36.69,2023-11-24,36.65,0.10914051841746016,2.537517053206002,29.027885360185905,False,-1.977,1.3978,1,1,1,100.0,16.532137518684582,16.532137518684582,9.890859481582542,0.10914051841746016,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
7,76.69691620003286,69.8512300601113,601022,宁波远洋,bottom_area,2023-11-24,10.52,2023-11-24,10.51,0.0951474785918153,3.52045670789725,27.567195037904895,False,-2.3213,13.7451,1,1,1,100.0,13.646055437100205,13.646055437100205,9.904852521408184,0.0951474785918153,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
8,74.09017562046736,73.49903060221897,600048,保利发展,bottom_area,2023-11-24,11.19,2023-10-30,10.7,4.579439252336451,6.448598130841134,28.139691067830768,False,-0.0893,0.5581,2,2,2,100.0,31.721247836269217,31.987577639751546,5.42056074766355,4.579439252336451,历史2/2次成功; 当前距低点4.58%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
9,73.66530295406484,69.94052323362608,002786,银宝山新,bottom_area,2023-11-24,12.13,2023-11-24,11.86,2.2765598650927603,6.9139966273187206,31.40543666859456,False,-7.8967,23.9208,3,4,3,75.0,15.409030785148293,18.75000000000001,7.72344013490724,2.2765598650927603,历史3/4次成功; 当前距低点2.28%; 最新日涨幅-7.90%; 状态bottom_area; 底部未确认
10,67.23912497939727,65.35598638854098,002080,中材科技,bottom_area,2023-11-24,17.11,2023-10-26,16.53,3.508771929824551,9.074410163339381,27.244718309859145,True,-1.2695,0.3165,2,3,2,66.66666666666666,21.179138289646758,28.579356270810223,6.491228070175451,3.508771929824551,历史2/3次成功; 当前距低点3.51%; 最新日涨幅-1.27%; 状态bottom_area; 底部已确认
11,64.93709375348777,60.76925960777607,300337,银邦股份,bottom_area,2023-11-24,8.69,2023-11-24,8.56,1.5186915887850352,3.2710280373831697,28.607172643869887,False,-2.6876,5.6328,1,2,1,50.0,34.09610983981694,34.09610983981694,8.481308411214966,1.5186915887850352,历史1/2次成功; 当前距低点1.52%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
12,63.804181554035054,61.888859030837004,002366,融发核电,bottom_area,2023-11-24,5.17,2023-10-23,5.0,3.399999999999999,9.2,28.469241773962807,True,-1.5238,0.8679,2,4,2,50.0,20.64977973568282,25.0,6.600000000000001,3.399999999999999,历史2/4次成功; 当前距低点3.40%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
