rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
46,72.60093290809765,65.9390495513621,688181,八亿时空,bottom_area,2024-01-24,21.34,2024-01-24,20.38,4.710500490677139,5.446516192345434,27.93493635077794,False,0.0,1.2413,2,3,2,66.66666666666666,25.76518281418983,28.477257745550418,15.289499509322862,4.710500490677139,历史2/3次成功; 当前距低点4.71%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
47,71.75353610825515,64.82289013945596,688302,海创药业,bottom_area,2024-01-24,39.47,2024-01-24,37.8,4.417989417989423,8.174603174603185,29.054054054054063,False,-2.9506,0.5376,2,3,2,66.66666666666666,38.6518244398128,40.24920312952768,15.582010582010577,4.417989417989423,历史2/3次成功; 当前距低点4.42%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
48,70.79160758410843,63.63402112103982,688246,嘉和美康,bottom_area,2024-01-24,25.64,2024-01-23,24.62,4.1429731925264,8.2859463850528,29.677235075692654,True,1.6653,1.1857,1,2,1,50.0,58.0508474576271,58.0508474576271,15.8570268074736,4.1429731925264,历史1/2次成功; 当前距低点4.14%; 最新日涨幅1.67%; 状态bottom_area; 底部已确认
49,70.78349187666903,64.14402284531215,688182,灿勤科技,bottom_area,2024-01-24,13.68,2024-01-24,13.08,4.58715596330275,7.033639143730887,27.090301003344486,False,-0.2915,3.113,2,3,2,66.66666666666666,37.0756547041707,49.999999999999986,15.412844036697251,4.58715596330275,历史2/3次成功; 当前距低点4.59%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
50,69.521271997434,62.10403048164528,688320,禾川科技,bottom_area,2024-01-24,30.31,2024-01-24,29.2,3.8013698630136967,6.5410958904109595,29.074568860820992,False,-0.9477,1.941,2,4,2,50.0,35.920181555465064,38.29133374308544,16.198630136986303,3.8013698630136967,历史2/4次成功; 当前距低点3.80%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
51,69.20690022857003,62.114730679156914,300446,航天智造,bottom_area,2024-01-24,13.33,2024-01-24,12.81,4.05932864949258,4.05932864949258,28.555493586168428,False,0.9848,3.4784,1,2,1,50.0,51.92697768762679,51.92697768762679,15.94067135050742,4.05932864949258,历史1/2次成功; 当前距低点4.06%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
52,69.20151200775578,61.71719746816081,300421,力星股份,bottom_area,2024-01-24,9.78,2024-01-23,9.43,3.7115588547189784,6.7868504772004306,28.015267175572518,False,1.5576,4.8279,1,2,1,50.0,43.59974009096816,43.59974009096816,16.288441145281023,3.7115588547189784,历史1/2次成功; 当前距低点3.71%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
53,68.94951463933162,61.63955318733214,002009,天奇股份,bottom_area,2024-01-24,11.08,2024-01-24,10.67,3.842549203373947,4.404873477038432,31.864623243933586,False,0.3623,1.937,1,2,1,50.0,44.78798586572438,44.78798586572438,16.157450796626055,3.842549203373947,历史1/2次成功; 当前距低点3.84%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
54,67.85672204879042,60.194290894529615,300637,扬帆新材,bottom_area,2024-01-24,8.17,2024-01-24,7.9,3.4177215189873364,4.936708860759478,27.12177121771217,False,0.3686,3.1957,1,2,1,50.0,31.810193321616865,31.810193321616865,16.582278481012665,3.4177215189873364,历史1/2次成功; 当前距低点3.42%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
55,67.77911166215098,59.76559713934713,688176,亚虹医药,bottom_area,2024-01-24,8.01,2024-01-24,7.77,3.0888030888030915,4.761904761904775,28.84615384615385,False,0.5019,2.1474,1,2,1,50.0,25.473484848484844,25.473484848484844,16.91119691119691,3.0888030888030915,历史1/2次成功; 当前距低点3.09%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
