rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,70.83246911589958,71.18111129366447,603222,济民健康,confirmed_rebound,2021-03-29,13.72,2021-03-25,13.16,4.255319148936175,8.35866261398176,31.458333333333332,True,-1.1527,5.8063,2,2,2,100.0,16.307736307736306,21.904761904761898,3.744680851063826,4.255319148936175,历史2/2次成功; 当前距低点4.26%; 最新日涨幅-1.15%; 状态confirmed_rebound; 底部已确认
2,69.13468046239872,68.5020973038215,002416,爱施德,bottom_area,2021-03-29,8.23,2021-03-25,7.95,3.5220125786163554,5.031446540880497,27.06422018348624,False,-0.3632,1.886,1,1,1,100.0,8.56067732831607,8.56067732831607,4.477987421383645,3.5220125786163554,历史1/1次成功; 当前距低点3.52%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
3,68.07724122920027,68.2734027455061,002353,杰瑞股份,bottom_area,2021-03-29,35.64,2021-03-24,34.22,4.149620105201642,5.873758036236114,27.438507209499573,False,-0.1401,1.1641,1,1,1,100.0,15.024390243902431,15.024390243902431,3.8503798947983587,4.149620105201642,历史1/1次成功; 当前距低点4.15%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
